,coefficient
AARSD1,0.0
ABHD14B,0.0
ABL1,0.0
ACAA1,0.0
ACAN,0.0
ACE2,0.0
ACOX1,0.0
ACP5,0.0
ACP6,0.0
ACTA2,0.0
ACTN4,0.0
ACVRL1,0.02738922708649844
ACY1,-0.026491695715026048
ADA,0.0
ADA2,0.00044210614813547296
ADAM15,-0.00391979676163937
ADAM22,-0.0026093459158798324
ADAM23,0.0
ADAM8,0.0
ADAMTS13,0.0
ADAMTS15,0.0
ADAMTS16,0.0
ADAMTS8,0.0
ADCYAP1R1,0.0
ADGRB3,0.0
ADGRE2,-0.004538774249592906
ADGRE5,-2.0041650543291216e-05
ADGRG1,-0.00419782995576679
ADGRG2,0.0
ADH4,0.0
ADM,0.0
AFP,-0.004326391833418413
AGER,-0.08113719947015102
AGR2,0.0
AGR3,0.0
AGRN,0.0
AGRP,0.0
AGXT,0.07384186699485758
AHCY,0.0
AHSP,0.0
AIF1,0.0
AIFM1,0.0
AK1,0.0
AKR1B1,0.01132327058746214
AKR1C4,0.0
AKT1S1,0.0
AKT3,-0.01784490078289118
ALCAM,0.0
ALDH1A1,0.0
ALDH3A1,0.0
ALPP,0.0
AMBN,0.0
AMBP,0.029858323773000277
AMFR,0.03070971110082745
AMIGO2,0.032236077513245816
AMN,0.0
ANG,0.018923641981606818
ANGPT1,0.0
ANGPT2,0.010993513954771111
ANGPTL1,0.0
ANGPTL2,0.0
ANGPTL3,0.0
ANGPTL4,0.0
ANGPTL7,0.0
ANKRD54,0.0
ANPEP,0.0
ANXA10,0.0
ANXA11,0.0
ANXA3,0.0
ANXA4,0.0
ANXA5,0.0
AOC1,0.0
AOC3,0.0
APBB1IP,0.0
APEX1,0.0
APLP1,0.0
APOH,0.0
APOM,0.0
APP,0.0
APRT,0.0
AREG,0.03032162760535146
ARG1,-0.010460734505408825
ARHGAP1,0.0
ARHGAP25,0.0
ARHGEF12,0.0
ARID4B,0.0
ARNT,0.0
ARSA,0.0
ARSB,0.0
ART3,-0.021050798067646075
ARTN,0.0
ASAH2,0.0
ASGR1,0.0
ATF2,0.0
ATG4A,0.0
ATOX1,0.0
ATP5IF1,0.0
ATP5PO,0.0
ATP6AP2,0.0
ATP6V1D,-0.00925138290815708
ATP6V1F,0.0
ATXN10,0.0
AXIN1,0.0
AXL,0.0
B4GALT1,0.0
B4GAT1,-0.0042409473311153965
BACH1,0.0
BAG3,0.0
BAG6,0.0
BAIAP2,0.0
BAMBI,0.016743583015811577
BANK1,0.0
BAX,0.0
BCAM,0.0
BCAN,0.0
BCL2L11,0.0
BCR,0.0
BGN,0.0
BID,0.0
BIN2,0.0
BIRC2,0.0
BLMH,0.0
BLVRB,0.0
BMP4,0.0
BMP6,0.0
BOC,0.044489503166133315
BPIFB1,0.0015064835124136556
BRK1,0.0314757664982998
BSG,0.0
BST1,0.0
BST2,0.02724077483508515
BTC,0.0
BTN2A1,0.0
BTN3A2,0.0
C19ORF12,0.0
C1QA,0.0
C1QTNF1,0.0
C2,0.0
C2CD2L,-0.00046594739525554154
C4BPB,0.0
CA11,0.0
CA12,0.0
CA13,0.0
CA14,0.0
CA2,0.0
CA3,0.0
CA4,0.0
CA5A,0.0
CA6,-0.007877006141949725
CA9,0.0
CALB1,0.0
CALB2,0.021553011157681767
CALCA,0.0
CALCOCO1,0.0
CAMKK1,0.0
CANT1,0.0
CAPG,0.03005536284119525
CARHSP1,0.0
CASP1,0.0
CASP10,0.0
CASP2,0.0
CASP3,0.0
CASP8,0.0
CBLIF,0.0
CBLN4,0.0
CC2D1A,0.0
CCDC80,0.0
CCL11,0.0
CCL13,0.0
CCL14,0.0
CCL15,0.003252214175677655
CCL16,0.0
CCL17,0.0
CCL18,0.0
CCL19,-0.004557362999784783
CCL2,0.0
CCL20,0.0
CCL21,0.053529001934524
CCL22,0.016671193116217828
CCL23,0.0
CCL24,0.0
CCL25,0.0
CCL26,0.0
CCL27,-0.058544963922559944
CCL28,0.0
CCL3,0.0
CCL4,0.014891940008543325
CCL5,0.0
CCL7,0.0
CCL8,0.0
CCN1,0.0
CCN2,0.0
CCN3,0.0
CCN4,0.0
CCN5,0.0
CCS,0.0
CCT5,0.0
CD109,-0.004861858153185539
CD14,0.0
CD160,0.0
CD163,0.0
CD164,0.0
CD177,0.0
CD1C,0.04627448964931738
CD200,0.0
CD200R1,0.0
CD207,0.0
CD209,0.0
CD22,0.0
CD244,0.03081312921176508
CD27,0.0
CD274,0.0
CD276,0.0
CD28,0.0
CD2AP,0.0
CD300C,0.0
CD300E,0.0
CD300LF,0.0
CD300LG,0.0
CD302,0.0
CD33,0.0
CD34,0.023557652696282703
CD38,-0.039323569679044865
CD4,0.0
CD40,0.0
CD40LG,0.0
CD46,0.0
CD48,0.0
CD5,0.0
CD58,0.0
CD6,0.0
CD63,0.0
CD69,0.0
CD70,0.0
CD74,0.0
CD79B,0.0
CD83,0.0
CD84,0.0
CD8A,0.0008446140409484675
CD99,-0.011490443106840354
CD99L2,0.0
CDC27,0.0
CDC37,0.0
CDCP1,0.0
CDH15,-0.027660121867681606
CDH17,0.0
CDH2,-0.023140014369695188
CDH3,0.0
CDH5,0.0
CDH6,0.0
CDHR1,0.0
CDHR2,0.0
CDHR5,-0.0033577153880058317
CDKN1A,0.0
CDKN2D,0.0
CDNF,0.0
CDON,0.03659530444235094
CDSN,0.0
CEACAM1,0.0
CEACAM21,0.02051507482847124
CEACAM3,0.0
CEACAM5,0.08072940000225838
CEACAM8,0.0
CEBPB,0.0
CELA3A,0.0
CEP164,0.0
CEP20,0.0
CEP43,0.0
CEP85,0.0
CERT,0.0
CES1,0.0
CES2,0.0
CES3,0.0
CETN2,0.0
CFC1,0.0
CGA,0.01891492854712869
CGREF1,0.010195453858231892
CHAC2,0.0
CHEK2,0.02211589358614676
CHGB,-0.028823861394900605
CHIT1,-0.0023453716764430086
CHL1,0.0
CHMP1A,0.0
CHRDL1,0.0
CHRDL2,0.0
CIAPIN1,0.0
CKAP4,0.0
CKMT1A_CKMT1B,-0.00961484679253403
CLC,-0.0442310915646043
CLEC10A,0.0
CLEC11A,0.0
CLEC14A,0.0
CLEC1A,0.0
CLEC1B,0.0
CLEC4A,0.0
CLEC4C,-0.004534869938681601
CLEC4D,0.05541608074095382
CLEC4G,0.0
CLEC5A,0.0
CLEC6A,0.0
CLEC7A,0.0
CLIP2,0.0
CLMP,0.0
CLPP,0.0
CLPS,0.0
CLSPN,0.0
CLSTN1,0.0
CLSTN2,0.0
CLTA,0.0
CLUL1,0.0
CNDP1,-0.04218747405353337
CNPY2,0.0
CNPY4,0.0
CNST,0.0
CNTN1,-0.0014229602551723126
CNTN2,0.0
CNTN3,-0.03871097817807582
CNTN4,0.0
CNTN5,0.0
CNTNAP2,0.0
COL18A1,0.0
COL1A1,0.0
COL4A1,0.025684977175796438
COL6A3,0.0
COL9A1,0.008498978274281763
COLEC12,0.0
COMP,-0.008879169748925083
COMT,0.0
COPE,-0.03508600528080961
COX5B,0.0
CPA1,0.0
CPA2,0.0
CPB1,0.0
CPE,-0.004058464924277934
CPM,0.0
CPPED1,0.0
CPVL,0.009717068954861715
CPXM1,0.0
CR2,0.0035654208829248475
CRACR2A,0.0
CRADD,0.0
CREG1,0.0
CRELD2,0.0
CRH,-0.020204096283051545
CRHBP,-0.016556112715673192
CRHR1,0.0
CRIM1,0.0
CRIP2,0.012891790006648057
CRISP2,0.0035034734553952033
CRKL,0.0
CRLF1,0.0
CRTAC1,-0.0832666402192984
CRTAM,0.0
CRX,0.0
CSF1,0.0
CSF2RA,0.0
CSF3,0.0
CST3,0.0
CST5,-0.004917257040781785
CST7,0.0
CTF1,-0.0005496232499721237
CTRB1,0.0
CTRC,0.0
CTSB,0.0
CTSC,0.0
CTSF,-0.01798197504149432
CTSH,0.0
CTSL,0.021913399035604
CTSO,0.0
CTSV,0.0
CTSZ,0.0
CX3CL1,0.0
CXADR,0.0
CXCL1,0.0
CXCL10,0.0
CXCL11,0.0
CXCL12,0.005155110855981399
CXCL13,0.012302432770506876
CXCL14,-0.04171756723752139
CXCL16,0.0030389396006966878
CXCL17,0.0
CXCL3,0.0
CXCL5,0.0
CXCL6,0.0
CXCL8,0.0
CXCL9,0.0
DAB2,0.0
DAG1,0.0
DAPP1,0.0
DARS1,0.0
DBI,0.0
DBNL,0.0
DCBLD2,0.0
DCN,-0.009395477077274466
DCTN1,0.0
DCTN2,0.023829322840113475
DCTN6,0.0
DCTPP1,0.0
DCXR,-0.06916265394458103
DDAH1,0.0
DDC,-0.022556471653442735
DDR1,0.0
DDX58,0.0
DECR1,0.0
DEFB4A_DEFB4B,0.0
DFFA,0.0
DGKZ,0.0
DIABLO,0.0
DKK1,0.0
DKK3,0.0
DKK4,-0.00710491884384624
DKKL1,0.0
DLK1,0.0
DLL1,0.0
DNAJA2,0.0
DNAJB1,0.0
DNAJB8,0.0
DNER,0.0
DNMBP,0.0
DNPH1,0.0
DOK2,0.0
DPEP1,0.0
DPEP2,0.0
DPP10,0.0
DPP4,0.0
DPP6,-0.016418506102405906
DPP7,0.0
DPT,0.0
DPY30,0.0
DRAXIN,0.0
DRG2,0.0
DSC2,0.0
DSG2,0.0
DSG3,0.0
DSG4,0.0
DTX3,0.0
DUOX2,0.0
DUSP3,0.0
EBAG9,0.0
EBI3_IL27,0.0
ECE1,-0.002518577387178142
EDA2R,0.0
EDAR,0.0
EDIL3,0.0
EFEMP1,-0.016375434866270546
EFNA1,0.0
EFNA4,0.0046084804101314495
EGF,0.0
EGFL7,0.0
EGFR,0.0
EGLN1,0.0
EIF4B,0.0
EIF4EBP1,0.0
EIF4G1,0.0
EIF5A,0.0
ELOA,0.0
ENAH,0.01298622975852178
ENG,0.0
ENO1,0.0
ENO2,0.0
ENPP2,0.0
ENPP5,0.0
ENTPD2,0.01977513062509511
ENTPD5,0.03750966247983635
ENTPD6,-0.018950863118696124
