"Name","r2_val","r2_train","concordance_val","concordance_train","ID","Notes","State","Created","Runtime","architecture","target","batch_size","add_age","beta","dset","gamma","lr","n_epochs","weight_decay","init","max_depth","n_trees","alpha","l1_ratio","cosim_train","cosim_val","training_loss","validation_loss","var_t","in_dim","combine_sets","nested_batch_size","seed","bootstrap","score_test","score_train"
"gentle-salad-1022","0","0","0.7454081349536652","0.8693950446049776","n9brx924","-","finished","2025-01-03T15:25:51.000Z","2696","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.48272569042915","7.062139240974564","0","344","true","1000","14","true","",""
"cerulean-moon-1015","0","0","0.7420912499358715","0.8675638356532752","h6xfqtkt","-","finished","2025-01-03T15:25:51.000Z","2706","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.463361123089188","7.0259878095056765","0","344","true","1000","11","true","",""
"lucky-pine-1032","0","0","0.7399197791256114","0.8647763313353881","e93vmedf","-","finished","2025-01-03T15:25:51.000Z","2687","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.517527259226194","7.013816352354622","0","344","true","1000","18","true","",""
"iconic-flower-1085","0","0","0.7376959584886814","0.8682104577778238","ylgtagk4","-","finished","2025-01-03T16:55:40.000Z","2685","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.480472782092537","7.044617421379055","0","344","true","1000","82","true","",""
"laced-moon-1093","0","0","0.7368897711579677","0.8729468378529294","vofthhhl","-","finished","2025-01-03T17:10:43.000Z","3107","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.451712976473614","7.075009937430393","0","344","true","1000","90","true","",""
"ethereal-wind-1103","0","0","0.736272043203265","0.8684499845077864","fbzirzx3","-","finished","2025-01-03T17:38:59.000Z","3175","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.437289261623349","7.077808485399265","0","344","true","1000","100","true","",""
"upbeat-gorge-1044","0","0","0.7354805138240187","0.8710248941810831","cfr7k0jt","-","finished","2025-01-03T16:10:46.000Z","2652","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.473079661063876","7.088189912107756","0","344","true","1000","41","true","",""
"playful-water-1008","0","0","0.735149662919466","0.8742300263714616","1s9dz6qf","-","finished","2025-01-03T15:25:50.000Z","3156","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.437095418547894","7.139704036785817","0","344","true","1000","6","true","",""
"peachy-lion-1029","0","0","0.7349549215642547","0.8687688946683455","495gkt76","-","finished","2025-01-03T15:25:51.000Z","2671","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.46271602961803","7.092226893376316","0","344","true","1000","23","true","",""
"upbeat-wave-1069","0","0","0.7348826788034505","0.8628746040942294","d29o1qp0","-","finished","2025-01-03T16:54:46.000Z","2638","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.508755016448433","7.150047879973499","0","344","true","1000","66","true","",""
"copper-forest-1068","0","0","0.7347444752610424","0.8722327640641709","zwtwe8uv","-","finished","2025-01-03T16:54:41.000Z","2625","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.457782493048787","7.055820953399603","0","344","true","1000","65","true","",""
"jolly-grass-1018","0","0","0.7345141360236956","0.8717512682829829","uxr3k5cu","-","finished","2025-01-03T15:25:51.000Z","2682","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.457126294347997","7.121714625441421","0","344","true","1000","27","true","",""
"upbeat-gorge-1015","0","0","0.7344052483842226","0.8659532373790624","09d7c7se","-","finished","2025-01-03T15:25:51.000Z","2696","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.45821016920833","7.02053625479222","0","344","true","1000","16","true","",""
"ruby-microwave-1030","0","0","0.734167580171142","0.8683381319893442","crwws4lr","-","finished","2025-01-03T15:25:51.000Z","2672","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.465727947054427","7.109513850656468","0","344","true","1000","29","true","",""
"astral-sunset-1059","0","0","0.7329153723172023","0.8717668923802641","na1g0kwn","-","finished","2025-01-03T16:18:17.000Z","3103","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.477939046308988","7.066278857358699","0","344","true","1000","56","true","",""
"lunar-galaxy-1079","0","0","0.73259080339185","0.8704660801450894","obugieg8","-","finished","2025-01-03T16:55:13.000Z","2646","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.432707713869272","7.03133654849597","0","344","true","1000","76","true","",""
"deft-waterfall-1048","0","0","0.7323845450747712","0.8630407612926718","9zpyc5kb","-","finished","2025-01-03T16:10:50.000Z","2640","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.489614829941566","7.064579483700253","0","344","true","1000","45","true","",""
"genial-energy-1064","0","0","0.7322201666190283","0.8606797159978089","xoqkiyg6","-","finished","2025-01-03T16:18:43.000Z","3132","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.486418374796425","7.045226988967259","0","344","true","1000","61","true","",""
"deft-thunder-1009","0","0","0.7319992503504821","0.8623502164627493","edzzij63","-","finished","2025-01-03T15:25:50.000Z","3160","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.508332806944683","7.044701133307989","0","344","true","1000","5","true","",""
"vibrant-salad-1098","0","0","0.7318945506971426","0.866185727890966","ud2pl55j","-","finished","2025-01-03T17:38:37.000Z","3009","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.483758748290722","7.045585182600269","0","344","true","1000","95","true","",""
"decent-flower-1081","0","0","0.7313365015448434","0.8686420465290479","ulytdlc0","-","finished","2025-01-03T16:55:16.000Z","2651","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.488368263166349","7.085521101517837","0","344","true","1000","78","true","",""
"lilac-planet-1042","0","0","0.7310695174288278","0.8668640171964576","q9l5z4c6","-","finished","2025-01-03T16:10:41.000Z","2640","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.464044487752233","7.070580212323089","0","344","true","1000","39","true","",""
"chocolate-plant-1076","0","0","0.7308140502746795","0.8716643115895195","y2betba5","-","finished","2025-01-03T16:55:09.000Z","2648","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.44341055839379","7.097354107503816","0","344","true","1000","73","true","",""
"pleasant-darkness-1102","0","0","0.7307774053960108","0.8697418248339178","k5l4nz94","-","finished","2025-01-03T17:38:55.000Z","3182","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.469486968870825","7.11627791475388","0","344","true","1000","99","true","",""
"atomic-terrain-1041","0","0","0.7305638181031983","0.8663765968080344","9zuf3w47","-","finished","2025-01-03T16:10:34.000Z","2642","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.49389195845049","7.046844053062275","0","344","true","1000","38","true","",""
"denim-jazz-1100","0","0","0.7297398318314168","0.865587281786096","v1mvj1yp","-","finished","2025-01-03T17:38:50.000Z","3014","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.493262849832064","7.141854085640333","0","344","true","1000","98","true","",""
"deft-frost-1057","0","0","0.7297115629250152","0.8727494185344824","95k1mjl0","-","finished","2025-01-03T16:18:12.000Z","3103","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.441062897511623","7.153014173624245","0","344","true","1000","54","true","",""
