type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,FI,aa_coefs_frailty_cmb_ffs,0,993,,0.030812286189620217,0.0018597041445701185,16.568380663980644,1.3054841050714363e-54,0.02716287590595279,0.034461696473287645,0.21691726601971761,,,,,0.03 (0.03; 0.03),0.22
linear,FI,aa_coefs_frailty_cmb_ffs,1,993,,0.027967876450432916,0.001904524295459532,14.684967010979875,2.5526307598575233e-44,0.02423051286513473,0.0317052400357311,0.17871675115011365,,,,,0.03 (0.02; 0.03),0.18
linear,FI,aa_coefs_frailty_cmb_ffs,2,993,,0.02866685984340708,0.0019396209264638336,14.779619796982844,8.165920868561687e-45,0.024860619308262714,0.032473100378551445,0.1815280190191989,,,,,0.03 (0.02; 0.03),0.18
linear,FI,aa_coefs_frailty_cmb_ffs,3,990,,0.027857063745989525,0.001962658084191672,14.193538839172062,9.610912125749308e-42,0.024005596817508162,0.03170853067447089,0.19122723376445838,,,,,0.03 (0.02; 0.03),0.19
linear,FI,aa_coefs_frailty_cmb_ffs,4,990,,0.0210894611755327,0.0022318139654832992,9.449470924412724,2.4034993443988516e-20,0.016709799114215544,0.025469123236849855,0.2288168298510519,,,,,0.02 (0.02; 0.03),0.23
linear,FI,aa_coefs_frailty_cmb_ffs,5,990,,0.020858338958753393,0.002238988029055014,9.315967163771239,7.713724100441971e-20,0.016464587654488532,0.025252090263018254,0.23175301284121563,,,,,0.02 (0.02; 0.03),0.23
linear,FI,aa_coefs_frailty_cmb_ffs,6,580,,0.02511180382829452,0.002761575805989417,9.093287887962743,1.5384706164550185e-18,0.019687837347840312,0.030535770308748725,0.16732217713198827,0.003739410924042393,-0.0016845555564118041,0.00916337740449659,0.17623904566240797,0.03 (0.02; 0.03),0.17
linear,FI,aa_coefs_frailty_cmb_ffs,7,580,,0.02511180382829452,0.002761575805989417,9.093287887962743,1.5384706164550185e-18,0.019687837347840312,0.030535770308748725,0.16732217713198827,0.003739410924042393,-0.0016845555564118041,0.00916337740449659,0.17623904566240797,0.03 (0.02; 0.03),0.17
linear,FI,aa_coefs_frailty_cmb_ffs,8,580,,0.026305803249919005,0.002824870528068352,9.312215547063294,2.6146137538442784e-19,0.020757500380275278,0.031854106119562735,0.172590856426876,0.0029943224350508523,-0.002470851438514184,0.008459496308615888,0.28232910640483394,0.03 (0.02; 0.03),0.17
linear,FI,aa_coefs_frailty_cmb_ffs,9,578,,0.02556745161975517,0.00283616172210189,9.01480737875802,2.9373564490581753e-18,0.019996910407206695,0.031137992832303642,0.18699972537124288,0.0027671816146208556,-0.00266319409126405,0.008197557320505762,0.3173160130231637,0.03 (0.02; 0.03),0.19
linear,FI,aa_coefs_frailty_cmb_ffs,10,578,,0.020127787197759525,0.003126267443092009,6.438280653894505,2.5642784824752854e-10,0.013987400135243607,0.026268174260275445,0.21559264375008114,0.001931405621470516,-0.0034603809817093344,0.007323192224650367,0.481984258200972,0.02 (0.01; 0.03),0.22
linear,FI,aa_coefs_frailty_cmb_ffs,11,578,,0.020060567641975047,0.003137718425574965,6.393361328558055,3.3844081913666193e-10,0.013897643380518666,0.02622349190343143,0.21626092266349173,0.0018093078744391919,-0.0036379743517420344,0.007256590100620418,0.5144148538256019,0.02 (0.01; 0.03),0.22
linear,FI,aa_coefs_frailty_cmb,0,993,,0.030642399578236692,0.0018625344694666976,16.45199059699044,5.92470195176241e-54,0.02698743517628983,0.03429736398018355,0.21453187031865062,,,,,0.03 (0.03; 0.03),0.21
linear,FI,aa_coefs_frailty_cmb,1,993,,0.027869668724826005,0.0019059764614568152,14.62225231445098,5.451742220646847e-44,0.024129455466078656,0.031609881983573354,0.1774638458506247,,,,,0.03 (0.02; 0.03),0.18
linear,FI,aa_coefs_frailty_cmb,2,993,,0.028532740658340872,0.0019399946100643484,14.707639139984238,1.9572327439806438e-44,0.024725766820287577,0.03233971449639417,0.1800879164516469,,,,,0.03 (0.02; 0.03),0.18
linear,FI,aa_coefs_frailty_cmb,3,990,,0.02775172264759006,0.001957729082145897,14.175466309756695,1.190370916086709e-41,0.023909928258876386,0.03159351703630374,0.19087788485449442,,,,,0.03 (0.02; 0.03),0.19
linear,FI,aa_coefs_frailty_cmb,4,990,,0.021516900085674237,0.002220820986552427,9.68871431599572,2.894283883470488e-21,0.01715881040158431,0.025874989769764163,0.23209273550436027,,,,,0.02 (0.02; 0.03),0.23
linear,FI,aa_coefs_frailty_cmb,5,990,,0.021262495793366556,0.002235763904657693,9.51017043842201,1.4159139937934168e-20,0.016875071454941624,0.025649920131791487,0.2343720658341092,,,,,0.02 (0.02; 0.03),0.23
linear,FI,aa_coefs_frailty_cmb,6,580,,0.024775299162938174,0.0027727544043144835,8.93526636343526,5.443113412567364e-18,0.019329376977888744,0.030221221347987604,0.16371061388148256,0.003793449722791483,-0.001652472462257957,0.009239371907840924,0.17180828881461419,0.02 (0.02; 0.03),0.16
linear,FI,aa_coefs_frailty_cmb,7,580,,0.024775299162938174,0.0027727544043144835,8.93526636343526,5.443113412567364e-18,0.019329376977888744,0.030221221347987604,0.16371061388148256,0.003793449722791483,-0.001652472462257957,0.009239371907840924,0.17180828881461419,0.02 (0.02; 0.03),0.16
linear,FI,aa_coefs_frailty_cmb,8,580,,0.025684513279992157,0.0028234583969899154,9.096827248233717,1.5018750243917536e-18,0.02013898396433505,0.031230042595649266,0.16761060226277558,0.0032004217458548134,-0.0022835486613647983,0.008684392153074426,0.25217382198433824,0.03 (0.02; 0.03),0.17
linear,FI,aa_coefs_frailty_cmb,9,578,,0.025045733138539906,0.0028245277979678275,8.867228411262102,9.48350436395635e-18,0.019498042263949036,0.030593424013130775,0.1837071740296441,0.002890273857877131,-0.002554156239609309,0.008334703955363572,0.29753409099632283,0.03 (0.02; 0.03),0.18
linear,FI,aa_coefs_frailty_cmb,10,578,,0.020226530603141137,0.0031088401723510786,6.5061339540799565,1.6874417493791647e-10,0.014120372917906753,0.02633268828837552,0.21671595729738113,0.0019079082483227329,-0.0034766767351313245,0.00729249323177679,0.48674648588558167,0.02 (0.01; 0.03),0.22
linear,FI,aa_coefs_frailty_cmb,11,578,,0.02017410051629852,0.003128776559642303,6.447919859961148,2.422957699173585e-10,0.014028739348474099,0.026319461684122945,0.21716021943375696,0.001868392118708189,-0.0035658347401252063,0.0073026189775415844,0.49975321892370306,0.02 (0.01; 0.03),0.22
linear,FI,aa_coefs_mort_cmb,0,993,,0.018110643992900535,0.002021272981157164,8.960018840469695,1.5789465865962394e-18,0.0141441773777287,0.02207711060807237,0.07494006461063962,,,,,0.02 (0.01; 0.02),0.07
linear,FI,aa_coefs_mort_cmb,1,993,,0.01685929708653758,0.0020321666773180365,8.296217664974083,3.483085811171481e-16,0.01287145311039534,0.020847141062679823,0.06494193181287145,,,,,0.02 (0.01; 0.02),0.06
linear,FI,aa_coefs_mort_cmb,2,993,,0.01977333656528296,0.0021410932311363433,9.235159066281597,1.5275751725988067e-19,0.015571734213666791,0.023974938916899127,0.0801796286914438,,,,,0.02 (0.02; 0.02),0.08
linear,FI,aa_coefs_mort_cmb,3,990,,0.018739603050796298,0.0021443475371511573,8.73906991573415,9.95733843323603e-18,0.014531593673600272,0.022947612427992325,0.09600111030797198,,,,,0.02 (0.01; 0.02),0.1
linear,FI,aa_coefs_mort_cmb,4,990,,0.016305211708570685,0.002239733388033908,7.279978856270833,6.824944494035536e-13,0.011910008748671095,0.020700414668470273,0.201825809040576,,,,,0.02 (0.01; 0.02),0.2
linear,FI,aa_coefs_mort_cmb,5,990,,0.015977117686448578,0.002252713312568701,7.092388364425455,2.5193056720469842e-12,0.011556432123689661,0.020397803249207494,0.2046003960346232,,,,,0.02 (0.01; 0.02),0.2
linear,FI,aa_coefs_mort_cmb,6,580,,0.010984748496106322,0.0029104151865556784,3.7742891621955104,0.00017706139619189207,0.005268448989916567,0.016701048002296076,0.07093128702839901,0.009793615454544652,0.004077315948354887,0.015509914960734419,0.000816207596034151,0.01 (0.01; 0.02),0.07
linear,FI,aa_coefs_mort_cmb,7,580,,0.010984748496106322,0.0029104151865556784,3.7742891621955104,0.00017706139619189207,0.005268448989916567,0.016701048002296076,0.07093128702839901,0.009793615454544652,0.004077315948354887,0.015509914960734419,0.000816207596034151,0.01 (0.01; 0.02),0.07
linear,FI,aa_coefs_mort_cmb,8,580,,0.012829826478434881,0.003120556116690781,4.1113910465549885,4.50491295000981e-05,0.006700770196000965,0.0189588827608688,0.07516422430593661,0.009240310316227579,0.00349297292561676,0.014987647706838397,0.001672974168831703,0.01 (0.01; 0.02),0.08
linear,FI,aa_coefs_mort_cmb,9,578,,0.012237041860084969,0.0030943993691933884,3.95457741554374,8.627085030661113e-05,0.006159292809371101,0.018314790910798837,0.0963572987980833,0.008671196284693958,0.0029690158514421167,0.0143733767179458,0.002939794143085658,0.01 (0.01; 0.02),0.1
linear,FI,aa_coefs_mort_cmb,10,578,,0.011804404589960436,0.0032045845458152033,3.6835990504215435,0.0002518289333201387,0.005510192772176745,0.018098616407744128,0.17817826570483308,0.003964373098394918,-0.0016245540263244975,0.009553300223114333,0.1640992663973207,0.01 (0.01; 0.02),0.18
linear,FI,aa_coefs_mort_cmb,11,578,,0.011684210430281505,0.0032275252136346843,3.620176344687113,0.0003206630881764956,0.0053448928925943886,0.018023527967968623,0.1788725947763521,0.0038458097272057387,-0.0017881743067984712,0.00947979376120995,0.18053941124267725,0.01 (0.01; 0.02),0.18
linear,FI,aa_coefs_mort_cmb_ffs,0,993,,0.02002933935844155,0.002002923079562098,10.000054202191626,1.700555267228991e-22,0.016098881868581848,0.023959796848301254,0.09165993096527902,,,,,0.02 (0.02; 0.02),0.09
linear,FI,aa_coefs_mort_cmb_ffs,1,993,,0.018323193074491206,0.002019339039632055,9.073856700076421,6.045602348554818e-19,0.014360521550119352,0.02228586459886306,0.07670940104485147,,,,,0.02 (0.01; 0.02),0.08
linear,FI,aa_coefs_mort_cmb_ffs,2,993,,0.02278565263663838,0.0021760798342400052,10.470963554789,2.0940315141445875e-24,0.01851539386607805,0.02705591140719871,0.10055019102674478,,,,,0.02 (0.02; 0.03),0.1
linear,FI,aa_coefs_mort_cmb_ffs,3,990,,0.021705330020425045,0.002182428542422698,9.945494021229266,2.833623388578756e-22,0.017422591512572992,0.0259880685282771,0.11478372356691147,,,,,0.02 (0.02; 0.03),0.11
linear,FI,aa_coefs_mort_cmb_ffs,4,990,,0.017579275200815626,0.0022852080288637373,7.692636722249082,3.490740556521687e-14,0.013094833817698581,0.02206371658393267,0.20655326641184657,,,,,0.02 (0.01; 0.02),0.21
linear,FI,aa_coefs_mort_cmb_ffs,5,990,,0.017275610595217816,0.0022918017935123565,7.538003785546245,1.0829604232851312e-13,0.012778218474898425,0.021773002715537206,0.20959223560427098,,,,,0.02 (0.01; 0.02),0.21
linear,FI,aa_coefs_mort_cmb_ffs,6,580,,0.014199146084096512,0.002868155940772003,4.950618577689545,9.725682650783535e-07,0.00856584728066596,0.019832444887527063,0.08678371458114187,0.008612006082368841,0.0029787072789382906,0.014245304885799392,0.002792485330123513,0.01 (0.01; 0.02),0.09
linear,FI,aa_coefs_mort_cmb_ffs,7,580,,0.014199146084096512,0.002868155940772003,4.950618577689545,9.725682650783535e-07,0.00856584728066596,0.019832444887527063,0.08678371458114187,0.008612006082368841,0.0029787072789382906,0.014245304885799392,0.002792485330123513,0.01 (0.01; 0.02),0.09
linear,FI,aa_coefs_mort_cmb_ffs,8,580,,0.017906823399506104,0.0031851851379727644,5.621909755268744,2.946203336894656e-08,0.011650829835990393,0.024162816963021815,0.09754261825086485,0.007466200256289404,0.0017958922342588939,0.013136508278319914,0.009949572361155002,0.02 (0.01; 0.02),0.1
linear,FI,aa_coefs_mort_cmb_ffs,9,578,,0.01702174142760061,0.0031675934166229907,5.373714106827414,1.1236896957894925e-07,0.010800231019929406,0.023243251835271816,0.11623268050834235,0.007058641919633857,0.0014296134545197688,0.012687670384747945,0.014073197571633288,0.02 (0.01; 0.02),0.12
linear,FI,aa_coefs_mort_cmb_ffs,10,578,,0.014831613874389022,0.003239627090994146,4.578185531174094,5.760137391190899e-06,0.008468574038858522,0.02119465370991952,0.18843907505146762,0.0033194709611094253,-0.0021971520070369543,0.008836093929255804,0.23775412204741683,0.01 (0.01; 0.02),0.19
linear,FI,aa_coefs_mort_cmb_ffs,11,578,,0.01473262456104248,0.003247509395190051,4.536591821062398,6.977122912867758e-06,0.008354055254825384,0.021111193867259577,0.18928324482141046,0.0031154995886647973,-0.002460976965195259,0.008691976142524854,0.27295753972762254,0.01 (0.01; 0.02),0.19
linear,FI,aa_nn_cmb_mort,0,993,,0.015334796237554302,0.002044315792114324,7.501187583985917,1.4033992692899901e-13,0.011323111316278674,0.01934648115882993,0.053728200518607494,,,,,0.02 (0.01; 0.02),0.05
linear,FI,aa_nn_cmb_mort,1,993,,0.015368150948705792,0.0020440630297173467,7.518433005870128,1.238948635630264e-13,0.01135696203841855,0.019379339858993032,0.053962183098735794,,,,,0.02 (0.01; 0.02),0.05
linear,FI,aa_nn_cmb_mort,2,993,,0.018056969328884606,0.0021544207935725117,8.381356781718631,1.7796663139676545e-16,0.013829213460523446,0.022284725197245767,0.06713074846500222,,,,,0.02 (0.01; 0.02),0.07
linear,FI,aa_nn_cmb_mort,3,990,,0.017213198167716447,0.002147127859485636,8.016848224325134,3.0550111717974287e-15,0.01299973276147083,0.021426663573962064,0.08558499558926513,,,,,0.02 (0.01; 0.02),0.09
linear,FI,aa_nn_cmb_mort,4,990,,0.01480362855119335,0.002215307984273692,6.682424591200509,3.928566035573183e-11,0.010456357460094396,0.019150899642292305,0.19535191543344765,,,,,0.01 (0.01; 0.02),0.2
linear,FI,aa_nn_cmb_mort,5,990,,0.014418454103374034,0.0022259969337617013,6.477301870765994,1.4739487443804712e-10,0.010050196299363802,0.018786711907384266,0.1981168822653605,,,,,0.01 (0.01; 0.02),0.2
linear,FI,aa_nn_cmb_mort,6,580,,0.007641755433608092,0.002887395380514329,2.646591279178009,0.008352706315040405,0.001970668757022377,0.013312842110193807,0.05941217423961431,0.011421476281028861,0.005750389604443144,0.01709256295761458,8.583184206942942e-05,0.01 (0.0; 0.01),0.06
linear,FI,aa_nn_cmb_mort,7,580,,0.007641755433608092,0.002887395380514329,2.646591279178009,0.008352706315040405,0.001970668757022377,0.013312842110193807,0.05941217423961431,0.011421476281028861,0.005750389604443144,0.01709256295761458,8.583184206942942e-05,0.01 (0.0; 0.01),0.06
linear,FI,aa_nn_cmb_mort,8,580,,0.009044295471939827,0.003110553637481161,2.9076159828780974,0.0037822315718407185,0.002934884969215409,0.015153705974664245,0.06179410955716502,0.01103991377468096,0.005337303054580472,0.016742524494781447,0.0001586108092155927,0.01 (0.0; 0.02),0.06
linear,FI,aa_nn_cmb_mort,9,578,,0.008623532932633227,0.0030794886815157622,2.800313241738761,0.00527753544538988,0.002575070152715686,0.014671995712550769,0.08422725256129282,0.010351962513405815,0.004692202969317359,0.016011722057494272,0.0003557396880659484,0.01 (0.0; 0.01),0.08
linear,FI,aa_nn_cmb_mort,10,578,,0.008413081272302048,0.0031465607096643113,2.6737387416242138,0.007715773299672933,0.0022328356520059586,0.014593326892598138,0.1690523904917831,0.005185960134914297,-0.0003830441260389353,0.010754964395867529,0.06791623707548176,0.01 (0.0; 0.01),0.17
