outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,996,68,0.5753178675746742,0.11114888441600235,1.7776955088744737,1.4297077563501641,2.210382722088609,2.2657066334160992e-07,0.6839942408062871,,,,,,1.78 (1.43; 2.21),nan (nan; nan),0.68
died,aa_coefs_frailty_cmb_ffs,1,996,68,0.6572578588530686,0.10527453536091938,1.9294941282655427,1.5697612866127668,2.3716648020060345,4.2850296081568003e-10,0.7195392645029696,,,,,,1.93 (1.57; 2.37),nan (nan; nan),0.72
died,aa_coefs_frailty_cmb_ffs,2,993,68,0.7040877273865372,0.10891850781130817,2.022001226926229,1.6333144821262806,2.5031853978106535,1.0173286155150991e-10,0.7188468598597695,,,,,,2.02 (1.63; 2.5),nan (nan; nan),0.72
died,aa_coefs_frailty_cmb_ffs,3,993,68,0.7529378685812477,0.12814607866023478,2.1232286293909084,1.651652281593492,2.729448481926136,4.212595855807349e-09,0.7233607174024255,,,,,,2.12 (1.65; 2.73),nan (nan; nan),0.72
died,aa_coefs_frailty_cmb_ffs,4,993,68,0.7352788374261571,0.12920550942225004,2.086063584017087,1.6193756801702879,2.68724628253316,1.2646775977710704e-08,0.7283560530829647,,,,,,2.09 (1.62; 2.69),nan (nan; nan),0.73
died,aa_coefs_frailty_cmb_ffs,5,583,38,0.30823382369901225,0.17535348497638664,1.3610191902756903,0.9651683938977705,1.9192228506551126,0.07878400330536,0.649779056623163,0.4229012971389055,1.5263836300995843,1.1119082636549273,2.0953589989318004,0.008891659260208455,1.36 (0.97; 1.92),1.53 (1.11; 2.1),0.65
died,aa_coefs_frailty_cmb_ffs,6,583,38,0.3514525910485644,0.1735157490921733,1.4211303712678114,1.011432833018103,1.9967826495342174,0.04281815237332949,0.6544034528825403,0.3635530094916938,1.4384311053860357,1.0459881615475004,1.9781142091330746,0.02531449490878152,1.42 (1.01; 2.0),1.44 (1.05; 1.98),0.65
died,aa_coefs_frailty_cmb_ffs,7,581,38,0.4418993816418316,0.18317134421838005,1.5556592046840096,1.0864224519392285,2.227564016923923,0.015843890104041067,0.66405201775209,0.3361560459565347,1.3995574030456506,1.020433184328953,1.9195386376110322,0.037028475385239415,1.56 (1.09; 2.23),1.4 (1.02; 1.92),0.66
died,aa_coefs_frailty_cmb_ffs,8,581,38,0.5127944490182688,0.21019349857894745,1.6699512744354867,1.1060805848999515,2.5212785551614725,0.014702295408156967,0.657240169264114,0.3293590411161229,1.3900768607481448,1.011798112991025,1.9097818566543991,0.04211933099326078,1.67 (1.11; 2.52),1.39 (1.01; 1.91),0.66
died,aa_coefs_frailty_cmb_ffs,9,581,38,0.5073175043690941,0.21160551303557418,1.6608300447743019,1.0969990550403885,2.51445653025057,0.01650881049746767,0.6869645990298276,0.3115721914290484,1.3655703653416646,0.9788256019345981,1.9051222393588005,0.06665578208420517,1.66 (1.1; 2.51),1.37 (0.98; 1.91),0.69
died,aa_coefs_frailty_cmb,0,996,68,0.5539042081971182,0.10932941805757092,1.7400332255662037,1.4044173037771646,2.1558518382900296,4.0545543226356365e-07,0.6584378187053812,,,,,,1.74 (1.4; 2.16),nan (nan; nan),0.66
died,aa_coefs_frailty_cmb,1,996,68,0.6301941719904185,0.10325055674091489,1.877975194045593,1.5339203820197045,2.299200708714019,1.0374289804456187e-09,0.6958425820385146,,,,,,1.88 (1.53; 2.3),nan (nan; nan),0.7
died,aa_coefs_frailty_cmb,2,993,68,0.6727862777602427,0.10592214606583539,1.959689961378922,1.5923050546461779,2.411839825241705,2.1294069961297807e-10,0.6945623062802805,,,,,,1.96 (1.59; 2.41),nan (nan; nan),0.69
died,aa_coefs_frailty_cmb,3,993,68,0.6765469718622972,0.12092132009517681,1.9670736310178092,1.5520017347515833,2.493153572708428,2.2070395796042737e-08,0.7043122385724173,,,,,,1.97 (1.55; 2.49),nan (nan; nan),0.7
died,aa_coefs_frailty_cmb,4,993,68,0.6574951865184328,0.12327878802752615,1.9299521049454562,1.5156936696486079,2.4574326606819703,9.639023211783819e-08,0.7124973669164335,,,,,,1.93 (1.52; 2.46),nan (nan; nan),0.71
died,aa_coefs_frailty_cmb,5,583,38,0.27087223762637885,0.1685031010164775,1.311107549470788,0.9423412850652462,1.8241830571609456,0.10794017309930597,0.6421744938855205,0.42978002026385276,1.5369193952359128,1.1195084298852562,2.1099628769159238,0.00785625845972693,1.31 (0.94; 1.82),1.54 (1.12; 2.11),0.64
died,aa_coefs_frailty_cmb,6,583,38,0.31388720310193796,0.16806719711732387,1.3687353387392647,0.9846013404623561,1.9027360115454932,0.061813774902555574,0.6442297811119104,0.3724807241836611,1.451330503293297,1.0562990202604674,1.994094654438076,0.021570287892702003,1.37 (0.98; 1.9),1.45 (1.06; 1.99),0.64
died,aa_coefs_frailty_cmb,7,581,38,0.4026350395024618,0.17554752307146473,1.495760898394979,1.0603173145833134,2.1100293604528906,0.021813734114305355,0.6533181958922489,0.3462620515496162,1.4137730486975189,1.0332978495134335,1.9343447140286458,0.030407371955813656,1.5 (1.06; 2.11),1.41 (1.03; 1.93),0.65
