,variable,model,N,Coef,Std Err,t-value,P,LL,UL,R-squared,Age_coef,Age_LL,Age_UL
0,en_mort_cmb,0,4320,    0.0218,    0.002,    9.603, 0.000,    0.017,    0.026,0.020906251224645733,,,
1,en_mort_cmb,1,4320,    0.0218,    0.001,   19.210, 0.000,    0.020,    0.024,0.7553753092036061,    0.0022,    0.002,    0.002
2,en_mort_cmb,2,4320,    0.0243,    0.001,   21.016, 0.000,    0.022,    0.027,0.7600448747275937,    0.0024,    0.002,    0.002
3,en_mort_cmb,3,4264,    0.0229,    0.001,   19.478, 0.000,    0.021,    0.025,0.7613680985051632,    0.0026,    0.002,    0.003
4,en_mort_cmb,4,4243,    0.0202,    0.001,   16.992, 0.000,    0.018,    0.023,0.7796926185610595,    0.0010,    0.001,    0.001
5,en_mort_cmb,5,4122,    0.0198,    0.001,   15.848, 0.000,    0.017,    0.022,0.7791329841911838,    0.0010,    0.001,    0.001
6,en_mort_cmb_sub,0,4320,    0.0207,    0.002,    9.089, 0.000,    0.016,    0.025,0.018767219905754917,,,
7,en_mort_cmb_sub,1,4320,    0.0207,    0.001,   18.122, 0.000,    0.018,    0.023,0.7532362778847173,    0.0022,    0.002,    0.002
8,en_mort_cmb_sub,2,4320,    0.0234,    0.001,   20.053, 0.000,    0.021,    0.026,0.7580338722503566,    0.0024,    0.002,    0.002
9,en_mort_cmb_sub,3,4264,    0.0219,    0.001,   18.479, 0.000,    0.020,    0.024,0.7594011889823455,    0.0026,    0.002,    0.003
10,en_mort_cmb_sub,4,4243,    0.0189,    0.001,   15.899, 0.000,    0.017,    0.021,0.777927437863891,    0.0010,    0.001,    0.001
11,en_mort_cmb_sub,5,4122,    0.0183,    0.001,   14.706, 0.000,    0.016,    0.021,0.7773541338518353,    0.0010,    0.001,    0.001
12,en_mort_cmb_met,0,4320,    0.0215,    0.002,    9.459, 0.000,    0.017,    0.026,0.02029545224714302,,,
13,en_mort_cmb_met,1,4320,    0.0215,    0.001,   18.904, 0.000,    0.019,    0.024,0.7547645102261019,    0.0022,    0.002,    0.002
14,en_mort_cmb_met,2,4320,    0.0243,    0.001,   20.856, 0.000,    0.022,    0.027,0.7597066139530668,    0.0024,    0.002,    0.002
