,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C
0,en_mort_cmb,0,4320,464,0.5966771223471952,0.034333296785559866,1.8160741708918977,1.6978879514678358,1.9424870712637081,1.1908577307860172e-67,0.6982157207459391
1,en_mort_cmb,1,4264,456,0.6054150744964322,0.03612957983185483,1.8320124727463711,1.7067694944957863,1.966445797819806,5.053390995296019e-63,0.695035620210728
2,en_mort_cmb,2,4243,453,0.583476655264859,0.03839928240000308,1.792258677224498,1.6623220408634045,1.932351907226175,3.817304542273247e-52,0.702278874156358
3,en_mort_cmb,3,4122,440,0.5811689414154771,0.040984592024446785,1.7881274257599318,1.650107796724207,1.9376914024055376,1.215323413994706e-45,0.7036024978788237
4,en_mort_cmb_sub,0,4320,464,0.5819703371521019,0.036073785786039474,1.7895609978080171,1.6674024831457444,1.920669182903993,1.501163021211065e-58,0.6898200846587517
5,en_mort_cmb_sub,1,4264,456,0.5886057496180358,0.03774394162441105,1.8014749564633359,1.673017669307009,1.9397954237439934,7.908414645124114e-55,0.6866372896141215
6,en_mort_cmb_sub,2,4243,453,0.5601595079464661,0.04004593987810074,1.7509517687437341,1.6187769711777469,1.8939187738977126,1.8472938944725765e-44,0.6942644783072766
7,en_mort_cmb_sub,3,4122,440,0.5564721871780179,0.043256427298501605,1.7445073365683146,1.6027023087802623,1.8988590898435687,7.130441262127361e-38,0.6956631560577236
8,en_mort_cmb_met,0,4320,464,0.5856307644162437,0.03611000017613957,1.7961235592371312,1.673398292647441,1.927849367494449,3.764549625974451e-59,0.6931068604989867
9,en_mort_cmb_met,1,4264,456,0.5923849877473465,0.03790333049994798,1.8082960404395343,1.6788278223047604,1.9477486174729959,4.631771922203893e-55,0.6892211446360154
10,en_mort_cmb_met,2,4243,453,0.5632523605698039,0.04029421260591345,1.7563755877278495,1.6230014064021048,1.900710124463111,2.1090730701693147e-44,0.6958000932183136
11,en_mort_cmb_met,3,4122,440,0.5589966343840068,0.04342800313238834,1.748916816648035,1.6062131252001408,1.9042989896955103,6.487125782608732e-38,0.696876732963711
12,en_mort_cmb_met_pca,0,4320,464,0.5356074382850228,0.038050514378436186,1.7084857267582545,1.5857061054271986,1.840772050095819,5.3178627997059146e-45,0.6689776701696687
13,en_mort_cmb_met_pca,1,4264,456,0.545715549366056,0.04022637030721554,1.7258428664256067,1.5949993238769864,1.8674199762995465,6.360538963144715e-42,0.6676202449370553
14,en_mort_cmb_met_pca,2,4243,453,0.5189051798660808,0.04176544857608951,1.6801871396597519,1.5481279160468142,1.8235113487822747,1.9298166123512788e-35,0.6757970868736286
15,en_mort_cmb_met_pca,3,4122,440,0.496041144325622,0.04412183720635171,1.6422071239333607,1.5061608540458495,1.7905419800635614,2.520491908763228e-29,0.6738842153484756
16,en_mort_cmb_met_pca20,0,4320,464,0.5566654163833571,0.037408384269242256,1.7448444589045597,1.6214913796920365,1.8775814807897235,4.394386344740587e-50,0.6756576133999641
17,en_mort_cmb_met_pca20,1,4264,456,0.5618291037644751,0.03939615797091615,1.753877592286083,1.6235482843409497,1.8946690026973296,3.8285872750247345e-46,0.6731482194170771
18,en_mort_cmb_met_pca20,2,4243,453,0.5273705172233533,0.0418673733359028,1.6944708635913808,1.5609771031458104,1.8393809247898487,2.2151688425582665e-36,0.6787028595961333
19,en_mort_cmb_met_pca20,3,4122,440,0.5071066334079303,0.04494439949836601,1.6604798608695366,1.5204665508109882,1.8133864022741442,1.5926316604363024e-29,0.6766006987539309
20,en_mort_cmb_met_ajive10,0,4320,464,0.48760099276391644,0.04218540618203516,1.6284049749604965,1.4991812353385272,1.7687673110965263,6.684859175151445e-31,0.6461747589663286
21,en_mort_cmb_met_ajive10,1,4264,456,0.47588633597441865,0.04348339242605126,1.6094400701241516,1.4779565923209366,1.7526207148300024,7.092319754732057e-28,0.6429576320470717
22,en_mort_cmb_met_ajive10,2,4243,453,0.4400284124554963,0.04442086757187562,1.5527513353628117,1.4232814869130834,1.6939985039081957,3.924436918138468e-23,0.6585343961518788
23,en_mort_cmb_met_ajive10,3,4122,440,0.41377384725935906,0.04596761897992354,1.512515028783621,1.38220350654701,1.6551120739169616,2.228166956606025e-19,0.6598299155318326
24,en_mort_cmb_mh,0,4320,464,0.5820875506245574,0.03605499465554543,1.789770770760609,1.667659355296736,1.9208235792848996,1.242794566387916e-58,0.6898892908125216
25,en_mort_cmb_mh,1,4264,456,0.5887693167269008,0.03772557525316343,1.801769642613481,1.6733515776173131,1.9400428986154996,6.560627942612902e-55,0.6867078458538588
