type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,FI_0,aa_coefs_frailty_cmb_ffs,0,2160,,0.03254763369241707,0.0015045772259981841,21.632411504051536,4.344094103880888e-94,0.029597061636146168,0.035498205748687964,0.1782056881051477,,,,,0.03 (0.03; 0.04),0.18
linear,FI_0,aa_coefs_frailty_cmb_ffs,1,2160,,0.03316314750642197,0.0014983358516319832,22.13332042365586,5.419253425148905e-98,0.030224815183997514,0.03610147982884643,0.18500957612827273,,,,,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,2,2160,,0.033144093759385554,0.001518098773620525,21.832633248454552,1.2254081940416098e-95,0.030167004309901196,0.036121183208869916,0.18501191775877956,,,,,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,3,2136,,0.03210271889292951,0.0015432710440280704,20.80173733392849,1.188152859610923e-87,0.029076245075595156,0.035129192710263865,0.19264438927555994,,,,,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,4,2125,,0.03120667912599706,0.0018010856133478556,17.326593969061875,5.296055424386311e-63,0.02767459869965896,0.034738759552335165,0.19176186547197038,,,,,0.03 (0.03; 0.03),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,5,2075,,0.03088507054401011,0.0018403171103346778,16.782472091667607,2.3262108007880192e-59,0.02727600196135198,0.03449413912666824,0.19317926921534612,,,,,0.03 (0.03; 0.03),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,6,2160,,0.03259237197452149,0.0016357547547658704,19.92497462077469,3.212875866223024e-81,0.029384551569829807,0.03580019237921318,0.18529545220307542,0.001423089121600044,-0.0017847312830916542,0.004630909526291742,0.38440305825450316,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,7,2160,,0.03259237197452149,0.0016357547547658704,19.92497462077469,3.212875866223024e-81,0.029384551569829807,0.03580019237921318,0.18529545220307542,0.001423089121600044,-0.0017847312830916542,0.004630909526291742,0.38440305825450316,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,8,2160,,0.03260346361053695,0.001639919028218035,19.88114233052375,6.771965933327011e-81,0.02938747595999109,0.0358194512610828,0.18529919758964397,0.001456787993198708,-0.001819714073391051,0.004733290059788467,0.38334775443214775,0.03 (0.03; 0.04),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,9,2136,,0.031528112311880754,0.0016590680237688375,19.003507909374097,1.6399586524382722e-74,0.028274550798535365,0.03478167382522614,0.19298169184230352,0.0015783357538214546,-0.0017013661321012411,0.004858037639744151,0.34540119069766684,0.03 (0.03; 0.03),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,10,2125,,0.030609655328730535,0.001907157499709381,16.04988331241386,8.54197291743147e-55,0.026869557999419813,0.03434975265804126,0.19210764588847806,0.0015950350432980523,-0.0016903036422226062,0.004880373728818711,0.34115061603167374,0.03 (0.03; 0.03),0.19
linear,FI_0,aa_coefs_frailty_cmb_ffs,11,2075,,0.030395325178271447,0.0019405988077808058,15.662858833264137,2.45917660171633e-52,0.026589591842657436,0.03420105851388546,0.19342662602248561,0.0013543575479320782,-0.0019824470511797957,0.004691162147043952,0.4261319165513928,0.03 (0.03; 0.03),0.19
linear,FI_0,aa_coefs_frailty_cmb,0,2160,,0.035718538132631955,0.0014708651325623585,24.2840334860665,2.2881008350701987e-115,0.032834077645200035,0.038602998620063875,0.21461994288850395,,,,,0.04 (0.03; 0.04),0.21
linear,FI_0,aa_coefs_frailty_cmb,1,2160,,0.036402296230126814,0.0014630765162042935,24.880651030177468,2.3731720133382794e-120,0.033533109716929,0.03927148274332463,0.22291550745462752,,,,,0.04 (0.03; 0.04),0.22
linear,FI_0,aa_coefs_frailty_cmb,2,2160,,0.03645944436481669,0.0014820405820015466,24.600840764816954,5.338635187786867e-118,0.03355306735097993,0.03936582137865345,0.22293693118973168,,,,,0.04 (0.03; 0.04),0.22
linear,FI_0,aa_coefs_frailty_cmb,3,2136,,0.03557985382200017,0.0015123171939913566,23.52671381596652,5.307937533243889e-109,0.03261408289742358,0.03854562474657676,0.22895921914008122,,,,,0.04 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_cmb,4,2125,,0.03519892777186757,0.0017338382074305618,20.301160524101117,7.1566081366633515e-84,0.03179872516655152,0.03859913037718361,0.2275019567405009,,,,,0.04 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_cmb,5,2075,,0.0347588112447453,0.0017670125029507443,19.670948104046442,4.19833684552893e-79,0.03129350123173136,0.038224121257759244,0.22779863110458298,,,,,0.03 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_cmb,6,2160,,0.03663901884890633,0.0016054803040079883,22.821219766719747,1.936132227962878e-103,0.03349056859160319,0.03978746910620947,0.22296179630582358,-0.0005755023083863656,-0.0037239525656895143,0.0025729479489167827,0.7200333187062348,0.04 (0.03; 0.04),0.22
linear,FI_0,aa_coefs_frailty_cmb,7,2160,,0.03663901884890633,0.0016054803040079883,22.821219766719747,1.936132227962878e-103,0.03349056859160319,0.03978746910620947,0.22296179630582358,-0.0005755023083863656,-0.0037239525656895143,0.0025729479489167827,0.7200333187062348,0.04 (0.03; 0.04),0.22
linear,FI_0,aa_coefs_frailty_cmb,8,2160,,0.036657011863552996,0.001609132617963487,22.78060332276776,4.13394391895472e-103,0.033501398361656935,0.03981262536544906,0.22297282271866625,-0.0005174669349273593,-0.003733143187485858,0.0026982093176311393,0.7523558449361707,0.04 (0.03; 0.04),0.22
linear,FI_0,aa_coefs_frailty_cmb,9,2136,,0.03571014222311538,0.0016342449744317495,21.851156210856523,1.125696913562551e-95,0.03250526064140025,0.03891502380483051,0.22897527079937607,-0.0003460314731335456,-0.003567789306405297,0.002875726360138206,0.8331971565023496,0.04 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_cmb,10,2125,,0.035316330502631485,0.0018447928142685478,19.1437923161221,1.7932537579579228e-75,0.031698535601670866,0.038934125403592104,0.22751466129233977,-0.0003071476417699844,-0.003534497143228607,0.0029202018596886387,0.8519632015177345,0.04 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_cmb,11,2075,,0.03494394263702073,0.0018723554152551068,18.663092675842023,5.85762765662159e-72,0.03127204229812357,0.0386158429759179,0.22783216402430062,-0.0005010205073152972,-0.003781317056503004,0.00277927604187241,0.7645633619792497,0.03 (0.03; 0.04),0.23
linear,FI_0,aa_coefs_frailty_allprot,0,2160,,0.04053177186930956,0.0014118691397516064,28.70788143753919,8.689164632095573e-154,0.03776300629258845,0.04330053744603068,0.27635918424991635,,,,,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,1,2160,,0.04095880379773859,0.0014061468104534887,29.12839789789033,1.3433991895566038e-157,0.03820126007432753,0.043716347521149654,0.28221315376307565,,,,,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,2,2160,,0.040925218839929826,0.0014176696038329126,28.867952539351545,3.1747627163687625e-155,0.03814507745930012,0.043705360220559535,0.282225011329042,,,,,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,3,2136,,0.04036154452278979,0.0014522509813404605,27.792402994649844,2.4588194545621466e-145,0.037513568084540046,0.043209520961039534,0.28707400746053957,,,,,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_frailty_allprot,4,2125,,0.04082866388889094,0.0016404210155665222,24.88913730161564,3.606180658902076e-120,0.037611660256694844,0.04404566752108704,0.2859884993235198,,,,,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_frailty_allprot,5,2075,,0.0405567390462247,0.00167391215480869,24.22871411126105,2.337299086346534e-114,0.037274009274206786,0.04383946881824261,0.28601402589710967,,,,,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_frailty_allprot,6,2160,,0.04162150027924609,0.001526404145096138,27.26768032762688,6.398866197027976e-141,0.038628123461493115,0.044614877096999066,0.28262704980834163,-0.001702816105957131,-0.0046961929237101085,0.0012905607117958465,0.26472898162040054,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,7,2160,,0.04162150027924609,0.001526404145096138,27.26768032762688,6.398866197027976e-141,0.038628123461493115,0.044614877096999066,0.28262704980834163,-0.001702816105957131,-0.0046961929237101085,0.0012905607117958465,0.26472898162040054,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,8,2160,,0.04159936118106229,0.001527513043966422,27.23339178370822,1.3092478738479245e-140,0.03860380896115684,0.044594913400967745,0.2826918533462841,-0.0018525971842232845,-0.004919616434101025,0.0012144220656544558,0.2363226696352767,0.04 (0.04; 0.04),0.28
linear,FI_0,aa_coefs_frailty_allprot,9,2136,,0.04098631948945956,0.001558447439287507,26.299455763614166,2.958627575793387e-132,0.037930082773186144,0.04404255620573298,0.287481938585465,-0.0017327864148028057,-0.004809256213075265,0.0013436833834696538,0.26947731052158647,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_frailty_allprot,10,2125,,0.041423312473695045,0.0017329221113924426,23.903735892902,5.333349567234286e-112,0.0380249054927771,0.04482171945461299,0.2863701149529858,-0.001671774876414962,-0.0047523698198125314,0.001408820066982607,0.2873413463676638,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_frailty_allprot,11,2075,,0.04123508683085835,0.001763179081269804,23.386783151466226,1.6510367845353362e-107,0.037777293607786505,0.0446928800539302,0.2865308189956369,-0.00195587486141653,-0.005091381732119692,0.0011796320092866317,0.22135280338345503,0.04 (0.04; 0.04),0.29
linear,FI_0,aa_coefs_mort_allprot,0,2160,,0.021018692429869895,0.0015968489013533562,13.162605686772368,4.065759271316893e-38,0.01788716972368626,0.02415021513605353,0.0743180170239176,,,,,0.02 (0.02; 0.02),0.07
linear,FI_0,aa_coefs_mort_allprot,1,2160,,0.022388924730569595,0.0015881953727589482,14.097084725587928,3.085802099799009e-43,0.019274372146768255,0.025503477314370936,0.0843236108765929,,,,,0.02 (0.02; 0.03),0.08
linear,FI_0,aa_coefs_mort_allprot,2,2160,,0.02472685394181382,0.0016107528575792023,15.351115986207697,1.4835811170208512e-50,0.021568063867443796,0.027885644016183847,0.10291994051709474,,,,,0.02 (0.02; 0.03),0.1
