outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,2160,274,0.5110479400600566,0.054718335143837574,1.6670372350136078,1.497507372025967,1.855759240211357,9.668910693424866e-21,0.6243577451631143,,,,,,1.67 (1.5; 1.86),nan (nan; nan),0.62
died,aa_coefs_frailty_cmb_ffs,1,2160,274,0.5653897368266254,0.04909504471967553,1.7601336379601067,1.5986591031679778,1.9379181073309493,1.0929119363685548e-30,0.7009682551389167,,,,,,1.76 (1.6; 1.94),nan (nan; nan),0.7
died,aa_coefs_frailty_cmb_ffs,2,2136,268,0.549889935939238,0.049925029449523026,1.7330622594999336,1.5715127276859644,1.911218879993192,3.260115935116892e-28,0.7017779510955126,,,,,,1.73 (1.57; 1.91),nan (nan; nan),0.7
died,aa_coefs_frailty_cmb_ffs,3,2125,265,0.5470127220165646,0.05789187410803867,1.7280830352197358,1.5427194469845953,1.9357187610820816,3.4251214276032456e-21,0.7078557059691009,,,,,,1.73 (1.54; 1.94),nan (nan; nan),0.71
died,aa_coefs_frailty_cmb_ffs,4,2075,256,0.5306704359477284,0.06131391827574904,1.7000717158180998,1.507567409003292,1.917157283756581,4.930192857986838e-18,0.7069731200749245,,,,,,1.7 (1.51; 1.92),nan (nan; nan),0.71
died,aa_coefs_frailty_cmb_ffs,5,2160,274,0.4818987354021864,0.05642941564555192,1.619145814850124,1.4496166078168755,1.80850105856255,1.3439638457209625e-17,0.6780419963545563,0.1589662681252207,1.1722984021908598,1.0421737263030355,1.3186703033229599,0.008094755029968596,1.62 (1.45; 1.81),1.17 (1.04; 1.32),0.68
died,aa_coefs_frailty_cmb_ffs,6,2160,274,0.4824334055622973,0.055241764718073585,1.6200117552778175,1.4537719683952837,1.8052611718296148,2.4772434492256193e-18,0.7080870551627982,0.2023445721006694,1.2242697846524544,1.091864726042352,1.3727309527122036,0.0005303596509693212,1.62 (1.45; 1.81),1.22 (1.09; 1.37),0.71
died,aa_coefs_frailty_cmb_ffs,7,2136,268,0.4738343265247891,0.05589475923943766,1.606140870044188,1.4394809705416096,1.792096281380979,2.3056216123735336e-17,0.7089850802316681,0.19076674449992004,1.2101771386833342,1.0774824350099634,1.3592135327739607,0.001284729221768146,1.61 (1.44; 1.79),1.21 (1.08; 1.36),0.71
died,aa_coefs_frailty_cmb_ffs,8,2125,265,0.4727755580393856,0.06386769260843407,1.604441238624731,1.4156618790148945,1.8183944389256084,1.33723607581261e-13,0.7138612150031076,0.17562668628923794,1.19199298825475,1.0594228820999267,1.3411521575144452,0.003505362573263839,1.6 (1.42; 1.82),1.19 (1.06; 1.34),0.71
died,aa_coefs_frailty_cmb_ffs,9,2075,256,0.4719561528340213,0.06646641419265083,1.6031270896059036,1.4073160430504161,1.8261828806112925,1.2415243520968255e-12,0.7134177001408673,0.15167577491012965,1.1637828476575922,1.0287620665792139,1.316524549748965,0.01592457184576033,1.6 (1.41; 1.83),1.16 (1.03; 1.32),0.71
CVD_inc,aa_coefs_frailty_cmb_ffs,0,2063,191,0.2507804623942078,0.07103956496962195,1.2850279414042052,1.1180045825163665,1.4770036152024055,0.00041532098555044947,0.5678756285633956,,,,,,1.29 (1.12; 1.48),nan (nan; nan),0.57
CVD_inc,aa_coefs_frailty_cmb_ffs,1,2063,191,0.3940468086531971,0.06422442682240793,1.4829699628768418,1.3075684209072214,1.6819004463790015,8.49097460470407e-10,0.6771661527541563,,,,,,1.48 (1.31; 1.68),nan (nan; nan),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,2,2041,191,0.3912000735811983,0.06496321763625174,1.478754343495484,1.3019647981820046,1.6795495634445519,1.72412990056582e-09,0.6800557697957128,,,,,,1.48 (1.3; 1.68),nan (nan; nan),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,3,2030,190,0.3455092069105699,0.07657123571002238,1.412709097782102,1.2158365308825516,1.6414599695467675,6.414095656980768e-06,0.6836149134512465,,,,,,1.41 (1.22; 1.64),nan (nan; nan),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,4,1982,189,0.34493301590795705,0.07833674461461025,1.4118953419725522,1.2109386683101324,1.6462010082357446,1.0666159149091887e-05,0.6909777923809892,,,,,,1.41 (1.21; 1.65),nan (nan; nan),0.69
CVD_inc,aa_coefs_frailty_cmb_ffs,5,2063,191,0.32323475854841643,0.07177111547986509,1.3815896528192204,1.2002933161822122,1.5902695974750953,6.6784027549356766e-06,0.6183404543631863,0.0467038715616977,1.0478116762974055,0.9001537145859742,1.2196909163343979,0.5467449522532678,1.38 (1.2; 1.59),1.05 (0.9; 1.22),0.62
CVD_inc,aa_coefs_frailty_cmb_ffs,6,2063,191,0.34923708308860135,0.07107585352599755,1.4179853308356243,1.2335929021084058,1.6299399867074784,8.94269932032807e-07,0.6776777607241787,0.1118351280531486,1.1183284644534295,0.9632757004017382,1.298339150344157,0.14193552874073337,1.42 (1.23; 1.63),1.12 (0.96; 1.3),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,7,2041,191,0.35015727366775584,0.07151520510481192,1.4192907481026604,1.233665781609129,1.6328459925526588,9.76761765463806e-07,0.6799951504525467,0.10453241205992152,1.1101913768725036,0.9565046855387839,1.2885717256970923,0.16912726678894818,1.42 (1.23; 1.63),1.11 (0.96; 1.29),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,8,2030,190,0.30402931148924434,0.08261583299233545,1.355308781626237,1.1526979685370964,1.5935326891261723,0.00023320023317324593,0.6843127731908694,0.10195426087493999,1.1073328221351735,0.952519927482371,1.2873074290622037,0.1845472256818849,1.36 (1.15; 1.59),1.11 (0.95; 1.29),0.68
CVD_inc,aa_coefs_frailty_cmb_ffs,9,1982,189,0.3015258154327391,0.08359855077598641,1.3519200150878437,1.1476032840078327,1.592612841619091,0.00030995980809797266,0.6916204410599355,0.11542945420446088,1.1223553343054593,0.9631820845326203,1.3078331882129783,0.13907746434609808,1.35 (1.15; 1.59),1.12 (0.96; 1.31),0.69
cancer_inc,aa_coefs_frailty_cmb_ffs,0,1955,341,-0.01204197753705962,0.055625731302714726,0.9880302369155215,0.8859751222427289,1.101841038818574,0.8286119427175557,0.5289601547564173,,,,,,0.99 (0.89; 1.1),nan (nan; nan),0.53
cancer_inc,aa_coefs_frailty_cmb_ffs,1,1955,341,0.0887125053653983,0.05127255980852313,1.0927664466714087,0.9882892457193857,1.208288476418289,0.08359203202650523,0.5223457284558866,,,,,,1.09 (0.99; 1.21),nan (nan; nan),0.52
cancer_inc,aa_coefs_frailty_cmb_ffs,2,1935,334,0.11494923460450995,0.05269665659800631,1.12181648666877,1.0117339950438147,1.2438765880426534,0.0291584045691628,0.5598679224856555,,,,,,1.12 (1.01; 1.24),nan (nan; nan),0.56
cancer_inc,aa_coefs_frailty_cmb_ffs,3,1924,334,0.08747944154118424,0.06198250079678357,1.091419826302756,0.9665676115928011,1.2323992889475894,0.15813935066588938,0.5694839153397957,,,,,,1.09 (0.97; 1.23),nan (nan; nan),0.57
