,coefficient,coefficient
AARSD1,0.0,0.000979069334131126
ABHD14B,-0.0008994874550798511,-0.0013090788081105058
ABL1,0.0,0.0009612101288181226
ACAA1,0.00037575253759748983,0.0007292746390854653
ACAN,0.0010522327611148456,0.0013513128838343405
ACE2,0.00191271147257367,0.002875259595227322
ACOX1,-0.0001478151946815725,-0.00017338463203967099
ACP5,0.0,0.0011039020293014056
ACP6,-0.0006152979083757707,0.0
ACTA2,-0.00013171443380417287,0.00027388144047523063
ACTN4,-0.00042857803248501906,-0.000503866811974582
ACVRL1,-0.002073749555417671,-0.0010393777040297782
ACY1,-0.000971761020991452,-0.0004986569688067503
ADA,5.839338634610013e-05,0.0010156479448311469
ADA2,0.0018577736876818002,0.003165081272726203
ADAM15,-0.0007097002595458805,-0.0011485865161907267
ADAM22,-0.00041565188830019887,0.0
ADAM23,0.0002336183928368144,-1.1441587811112725e-05
ADAM8,0.0007626689645361693,0.0009192829452969717
ADAMTS13,0.0007913249102855501,-0.0
ADAMTS15,2.4381965981752058e-06,0.0006105158610026046
ADAMTS16,0.0003017383381865084,0.0
ADAMTS8,-0.0019934247561513526,-0.0014105783613856373
ADCYAP1R1,2.7628187594001697e-05,-0.0
ADGRB3,-0.0,-0.0005147624129773272
ADGRE2,-0.0027079325461219256,-0.004269145883450168
ADGRE5,-0.002355946517981376,-0.0009580149682439381
ADGRG1,0.0003386804004150299,-4.8283096089856305e-05
ADGRG2,0.002017135245469332,0.001925572217472355
ADH4,0.0,0.0
ADM,0.0,0.0
AFP,-0.0,4.957169441900056e-05
AGER,-0.0019085946457158248,-0.0007038099895302632
AGR2,0.0012838012665787096,0.0007252995561745515
AGR3,-0.0,-0.0
AGRN,-0.00018282383036950155,4.3517521639992496e-05
AGRP,-0.0014296582217247613,-0.0026234975355614912
AGXT,-0.0016236985199181754,-0.0012291409197526027
AHCY,0.0010133915358790625,0.0002215374316877905
AHSP,0.0007592160847320939,2.8223055523722937e-06
AIF1,-0.0004387338113658038,0.0
AIFM1,-0.0015661524424934344,-0.0011136140328700495
AK1,-0.0,-0.0004245548552019269
AKR1B1,0.00040196562336858224,0.0
AKR1C4,-0.00020282381903617786,-0.0005940285310434442
AKT1S1,0.001003024948168305,0.0
AKT3,-0.0004718817892270372,-0.0
ALCAM,0.0025039204830303342,0.0004649894019475974
ALDH1A1,-0.0013408644529470774,-0.0
ALDH3A1,0.0003538130974091389,0.0006487473252409069
ALPP,0.0,0.0002694900555322493
AMBN,2.4837283536402083e-05,-0.00036892082336342416
AMBP,0.0023019655850743054,0.0014601839116519556
AMFR,0.0,0.00013928290726368672
AMIGO2,-0.0014764901224870943,-0.0013253741231639773
AMN,0.0002214120162699041,0.0012853861990990635
ANG,0.001271902995608402,0.0
ANGPT1,0.0,-0.0
ANGPT2,0.00021979498480124526,-0.0
ANGPTL1,0.0,3.174546805541104e-05
ANGPTL2,-0.00028407612293374036,-0.0007481367872786531
ANGPTL3,-0.0006792723663774947,-0.0005259198963478587
ANGPTL4,-0.0007241086256507444,-0.00047223385267884286
ANGPTL7,0.0003007109917825524,0.0005919829920027457
ANKRD54,-0.0002518682776114187,0.0
ANPEP,0.0,0.0009927887036533037
ANXA10,0.003727888912361873,0.004157730256508742
ANXA11,-0.00011871043596554264,0.0
ANXA3,-0.0,-0.0
ANXA4,-0.0,-0.0
ANXA5,0.00010649273674314739,-0.0
AOC1,0.00015857815734178507,0.0001097692670154634
AOC3,0.0,-0.0
APBB1IP,-0.0,0.0
APEX1,0.00020351948174003186,-0.0
APLP1,0.0,0.0005696832526919124
APOH,0.0007712858828833667,0.0012659898250817587
APOM,-0.0012474021478012752,-0.00044295351404586533
APP,0.0,-0.0
APRT,-0.0,0.0
AREG,0.0015441561083766823,0.0011598007777452353
ARG1,-0.0,-0.0
ARHGAP1,0.0,0.0
ARHGAP25,-0.0013646735595409009,-0.0008740745430573621
ARHGEF12,9.132860167641075e-05,0.0
ARID4B,0.0006242931319600917,0.0
ARNT,0.00126181867253835,0.0008614916517666716
ARSA,-0.0007419252418896946,0.0
ARSB,0.0016844013884035603,0.0
ART3,-0.0029923678524978394,-0.002490027259428269
ARTN,0.00032122048412369056,-0.0001940623963512652
ASAH2,0.0004069157312010866,0.0006489898153791133
ASGR1,0.001506714434212438,0.002727615174514484
ATF2,-0.00018182349147373203,-2.3274619159949447e-05
ATG4A,-0.0,0.0010940577721605378
ATOX1,0.0022936259453433827,0.0024679193700138016
ATP5IF1,0.0,0.0
ATP5PO,0.00014693455002343122,9.991567194494585e-05
ATP6AP2,-5.787135423981412e-05,0.0
ATP6V1D,0.00036506642002737474,0.0007716978653615023
ATP6V1F,0.0005051952269895155,-0.00029329353151860156
ATXN10,0.0,-0.0
AXIN1,0.002003976329169298,0.0010004421342273816
AXL,-0.0,0.000561873164895654
B4GALT1,0.0006375463051648718,0.001780191865165437
B4GAT1,-0.0,0.0
BACH1,3.0372332187108326e-05,0.0
BAG3,-0.0,0.0008738499738918941
BAG6,0.0,-0.0005802837872027837
BAIAP2,-0.00021337579308938434,0.0
BAMBI,0.0003665620421393835,0.0006699709684676135
BANK1,0.0009632034444288092,0.0004213113030787888
BAX,0.0017482414574658003,0.0
BCAM,0.00020970954471640776,0.00033567910385318383
BCAN,-0.0014285375146157228,-0.0011883235935591513
BCL2L11,0.0014392261354770957,0.00045554872002910026
BCR,-0.0,8.978012632669208e-05
BGN,-0.00018736684695606112,-0.000977969363393607
BID,-0.00026831742929664284,-0.0006749050342802255
BIN2,-0.0,0.0016422553333685565
BIRC2,0.0,-0.0
BLMH,-0.0,0.0
BLVRB,0.0008388038026369179,0.0
BMP4,-0.0,-0.0
BMP6,-0.0019531474169147936,-0.0008568060604197449
BOC,0.00016933760705687496,0.00016803943040419252
BPIFB1,0.0007128164820436415,0.0009934232903323007
BRK1,0.0003589011301745245,0.000993978679613742
BSG,-0.0,-0.0005272643677428217
BST1,0.0005494321423992617,0.001148356749496956
BST2,0.0026685936041979962,0.0031329624833749165
BTC,-0.0012710226659452136,-0.0006239826373357089
BTN2A1,0.0008271678366097607,0.0010715759653854907
BTN3A2,0.0002327696378123811,0.0016718815603886908
C19ORF12,-0.00016714059785460046,-7.231077016673909e-05
C1QA,-0.0,0.0
C1QTNF1,-0.0,-0.0
C2,-0.00013426544901958072,-0.0001571849986774129
C2CD2L,0.0001424813418746191,0.0
C4BPB,0.0,0.0008460182121879793
CA11,0.0007305180363183949,1.5585013655548484e-05
CA12,-0.00032066425445974035,-0.0
CA13,-0.0,-0.0
CA14,-0.003543434545447526,-0.0033059074629843356
CA2,0.0,0.0
CA3,0.00239623677220785,0.0020066792159318617
CA4,0.00014283709921614993,0.0005994439886261734
CA5A,-5.8937342606448326e-05,0.0
CA6,-0.0,-0.00024995504277810853
CA9,-0.0,0.00027847087593952296
CALB1,0.0005776786911530871,0.00030198325540192083
CALB2,0.0,-0.0
CALCA,-0.001557152004112342,-0.0017861438495177298
CALCOCO1,-0.0,0.0005821558628853027
CAMKK1,0.0011512815292799433,0.0009330608452014464
CANT1,-0.0008206418673721614,0.0
CAPG,4.103645908834642e-06,0.0
CARHSP1,0.0002675813825216843,0.00014057476062836053
CASP1,-0.0008815362291377058,0.000415795844551933
CASP10,-0.0,-7.27491584305097e-05
CASP2,0.0,0.0
CASP3,0.0,0.0
CASP8,0.0,-0.0
CBLIF,1.500132192353971e-05,0.0005650956021103412
CBLN4,0.0,0.0006708490966191784
CC2D1A,-0.0,0.0
CCDC80,-0.0009719888754547131,-0.0
CCL11,0.0011377997352113216,0.0017860705156612234
CCL13,0.0,0.0
CCL14,-0.0007382024210518704,0.00023070032683599685
CCL15,0.0006373943470694525,-0.0002149749711000623
CCL16,0.00032868649413672797,0.000503089093835475
CCL17,0.0017678060627038068,0.0016282328805131124
CCL18,0.0,0.0010600605877982214
CCL19,0.0007843044386021774,0.0007712942107565826
CCL2,-0.0,-0.000882669345957407
CCL20,-0.0011229016232003938,-0.0
CCL21,0.0025436410247536108,0.0018293711458897035
CCL22,-0.00018981311939780294,0.0003736839887444418
CCL23,-0.001532731400899458,-0.0010905497232072336
CCL24,-0.00019114032759982172,-0.0006198664185395492
CCL25,0.0005633856000347275,-0.0
CCL26,-0.0005871462876507934,-0.0005620964675160868
CCL27,0.0015694970785649492,0.0
CCL28,0.00042332061377870563,0.0006516589594236871
CCL3,0.0,3.551881280527678e-05
CCL4,0.000141479492283508,-9.990695770599476e-05
CCL5,0.0,0.0008572690664161814
