,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
AARSD1,0.0,0.000979069334131126,-0.0,0.0007626243705399065,-0.0,0.0005730879758649263,0.0,-0.00022586961446785186,0.0010156146123033942,0.0,0.0011075144971260276,-0.0,0.001288617155578772,2.9554065603434294e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031853855965444425,-0.0,0.00041793753166002683,0.0,-0.0,-0.00035332704561379395,0.0,0.00013381774931580756,0.0007000587584218711,0.0,0.0,-0.0,0.0010418063450713655,-0.0,0.0,0.00017008380198742497,-0.0,-0.00010698034990892892,-0.0,0.0003603582986834954,-0.0003763775745347129,-0.0,-0.0,0.0,-0.0,0.0006649884211127701,0.0,0.00024534722390836964,-0.0,0.0014085058198691344,0.0,0.0010069387004606027,0.0,0.00044734047689038207,0.0006923096296350505,0.0009328023755922559,0.0,0.0,0.0,-0.0001821108830519332,0.0,0.0,0.0,2.7680572834304364e-05,0.0004506142394727666,0.0007818134982122332,-0.0,0.0006258368182945073,0.0,-0.0,-0.0011080738668590763,0.0,0.0010576987543643407,0.0,-0.0,0.0,0.000423467211406283,5.872448958104682e-05,0.0,0.0,0.0010716097252755953,0.0,0.0005908509109973525,0.0,0.0,0.0005992576990343584,-0.0,0.00023687011619950317,-0.001538703183813439,0.0,0.0,0.0009532200247785872,0.0001285623788451112,0.0010605244182403533,-6.0299135971173536e-05,7.378578946052977e-05,0.0,0.0
ABHD14B,-0.0008994874550798511,-0.0013090788081105058,-0.0033408689675450288,-0.0011603987935997755,-0.001143049001527477,-0.0010539198486895925,-0.0012851576455038202,-0.00169357473473882,-0.0025018778152844246,-0.001183294959819679,-0.001995626121387106,-0.0015542844369741764,-0.001920202126880869,-0.002549279306092981,-0.0018846888463744656,-0.001719232323652034,-0.00028660625865728484,-0.0009316739978047196,-0.0019927235057806314,-0.001459227473510751,-0.0012830826630168236,-0.0008770884416160957,-0.0003396274338079067,-0.0028730960649600294,-0.0027451300975514085,-0.0010786509141505172,-0.0017311950670128786,-0.001674813491110078,-0.000565835663899301,-0.002316883490534027,-0.0006977768541092457,-0.0005783210224665113,-0.0,-0.0024985012614748715,-0.0017918769868741557,-0.0014694633562967662,-0.0017854441697197352,-0.0006829132132341378,-0.0011497901239408417,-0.0017532359387354049,-1.669442740882652e-05,-0.0008749327089124932,-0.00012578906865058455,-0.0003424495582701506,-0.000622557456883331,-0.0015937954465760722,-0.0006081775435590326,-0.002174704049089425,-0.002227466650122352,-0.0019489183523897617,-0.001380612439702449,-0.0011462563158228635,-0.0018461470346324996,-0.0008158389101631369,-0.0029118072390728615,-1.7158645574474687e-05,-0.0016019989320623601,-0.0015667174669579936,-0.0014079588431251517,-0.0026431640092423694,-0.002383294368502118,-0.0004069626385961211,-0.0,-0.0027593157258515274,-0.0031033245298806647,-0.0016309564699518444,-0.0020185836863574817,-0.0014521491395241809,-0.0016554533284123408,-0.0014876038252322268,-0.00140365122034749,-0.003261005145620755,-0.002802338237218026,-0.000617407663267417,-0.0009225565108670389,-0.0023974980675021615,-0.000519024390114817,-0.002652296294570396,-0.00035990968263208454,-0.0016482212650982665,-0.0020070503923108017,-0.0019887409533561875,-0.001633750106496085,-0.0017327342272766106,-0.0005855519039964035,-0.0013722655317642126,-0.0008516090859463689,-0.001894260304694611,-0.00023249485154872907,-0.0014070889912556252,-0.002321741428759952,-0.0005191310986845351,-0.002543900444120954,-0.0011568206900785833,-0.0006268354051527907,-0.0020152693331619074,-0.0,-0.0018858714756731236,-0.0005029527463707193,-0.0009287202924104416
ABL1,0.0,0.0009612101288181226,0.0,0.0,-0.0,0.0,0.0002765754984236894,5.741122040281754e-06,0.0,0.001841449712665582,0.0,0.0011120163383106726,0.0,6.088818220869021e-05,0.0,0.0008802508085387936,0.0012721988176200728,0.0013111569909384658,0.0,0.0,0.0,0.00022812639707580376,0.0017181089502547244,2.8758101253839624e-05,0.0,0.0033308551142077797,0.0,0.0,0.0012849156028935055,0.0,-0.0,0.0001418675210836072,0.0,0.0,0.0009757066071695705,0.00015996927345201785,0.0,0.0,0.0006418442526478324,0.0,0.0,0.00016411696142965343,0.0,0.0,0.0,0.0,0.0,0.0,0.002142646844733916,0.0,0.00014695735191274856,0.0,0.0010907746640673361,0.0004204206750115933,-0.0,0.0,0.0,0.0,3.778330218550394e-05,0.0015430899106812712,-0.0,0.0005084600914574806,0.00038304285759688906,0.0,0.0,0.0,0.0006900789184084413,-0.0,0.00032187891340697316,0.002884566151607931,0.0,0.0,0.0,0.0,-0.0,0.0,4.242062459728434e-05,0.0,0.0,0.0,0.0003037730415268471,0.0,0.0008375183649923239,0.0,0.001342879339953664,-0.0,0.0,0.0003988372644211609,0.0003143970802999648,-0.0,0.0,0.0,0.0,0.0005518927635171237,0.0010364230204635645,0.0019138530923330673,-0.0,0.0007377394820763615,0.0019681301423485646,0.0
ACAA1,0.00037575253759748983,0.0007292746390854653,0.0,0.0,0.0002679725533930383,0.0,-0.0,0.0008826152882013431,0.0,0.00021179899179550363,0.00012162064186279796,0.0,0.0,0.0005493072977540896,0.0,0.0002895503133638242,0.0004259907710031632,0.00036007198268638355,0.00040036353155249304,2.9535170401091415e-05,0.0011348181461366881,0.0,-0.00014191913365680834,0.00031811217787092004,0.00046162703404667026,0.0018126904340984272,0.0,0.0006205168065788819,0.00031975990986357643,0.0,0.0,0.00043161293416918016,0.0015125242233816466,0.00026896269705425533,0.0007259344944236969,0.0,0.00033383387888444494,0.0013800135277405657,0.0,0.000979833166327465,-0.0,0.0,0.000403527990946287,0.0,-0.0,0.00044060525466502204,0.0,0.0006232626276820482,9.573821959103836e-05,0.0,0.0,9.020931612395053e-05,0.0,0.0,0.0,0.00022267769172413528,0.0,0.0006172517877577098,0.0004783543530992968,0.0005375844804855589,0.0006515321615810964,0.0,0.00048087667139006614,0.0,0.0,0.0009572140253603631,0.00048307183429208286,0.0007474072304506058,0.0,0.0,0.00019174992606245197,-2.0617753776405706e-05,0.0,0.0001706487481092671,0.0,0.0,0.00042023896957739474,0.00024021560980671362,0.0,0.0001553971438857469,0.0005268020269041927,0.0007383830935902353,0.0,0.0001554401758541902,0.0005752343348459288,0.0005834023016747892,0.0008029328946848098,0.00018736839687595927,-5.3925618198561775e-05,0.0,0.000655922666920115,0.0,0.0005563207421745789,0.0,0.0006492400499414853,0.0010248358701250883,0.0,0.0006050044621284413,0.0007770747667468274,0.0005583898543262351
ACAN,0.0010522327611148456,0.0013513128838343405,0.0016125032516145128,0.0010664276540854466,0.0009310648469119191,0.0002862295275595196,0.0010308041569999343,0.0018640365603417848,0.0009403513870111807,0.0020794605820888645,0.0010620102290637065,0.0014991001082326066,0.0019525642808796554,0.0013780727193337982,0.0011906935858699427,0.001873496342915062,0.002775683311380993,0.0013263182838226168,0.0010287447363758067,0.0,0.0003587063403896447,0.0016687733214627257,0.0020093747737842853,0.0021042265749596726,0.002456207114678294,0.001244352327577639,0.0016430925886554417,0.002435562190615362,0.002118094156677709,0.002307900312827709,0.0006663908149284261,0.0,0.0012264004883371753,0.0009811962077327014,0.0011256138354954896,0.0017959347864734201,0.001806807836607779,0.0015884389775405038,0.0009470241157849972,0.0009903485456657843,0.002026760595927346,0.001973410994623321,0.002332304114727989,8.395310318070527e-05,0.0018859565206284163,0.0014585168501060543,0.0013722969118529476,0.001471623648166601,0.000980905626754106,0.0012471170483947108,0.0014150894728283054,0.00099872897830674,0.0008959306584123108,0.0031065982142760326,0.002059992076818155,0.0010901534848856277,0.001973309419147833,0.0017755774720391313,0.0017672869771457635,0.0022710561090299414,0.001737915679131134,0.001530545256315131,0.0006762880983379919,0.00173599744968877,0.000868778151232036,0.0027128488599351933,0.000861263115478055,0.0006383020749317223,0.0019629777456853723,0.0015982589211569215,0.0014090300243970117,0.001141368759978562,0.0014436631676077209,0.0015590035914282326,0.0010216001046547104,0.0005214519850460014,0.001497236635564085,0.001892216142362671,0.0005073863537983706,0.0015931724848623854,0.0018580460822070588,0.0022060919205381794,0.0012738538418387388,0.0023135924391257897,0.0010575686528364386,0.0010687647296768964,0.002239901125917743,0.0003598104758963787,0.0023322811872980246,0.0010486444202709908,0.0018738330717090784,0.0010260667058788937,0.0008056105574877642,0.000666385590736648,0.0016486981767727985,0.00010087540388755312,0.0011564913720107709,0.0007596440269534269,0.0019048011756773889,0.0016746749813808207
ACE2,0.00191271147257367,0.002875259595227322,0.001903614321342622,0.0005358342610068282,0.001942003109081724,0.0017458832595468893,0.001262453127524571,0.0028777913183147628,0.0012298651862426725,0.0029486321438081968,0.002065888824181658,0.0023055940994784747,0.0023224560915839584,0.0012723852415858282,0.0013772704588252706,0.0022496676535847704,0.001726810800311018,0.0026597352832528304,0.002514056491672998,0.0018651061523377408,0.0008900226187564018,0.0025460680590198253,0.001235481583055886,0.0019685945515541445,0.0025235600627297066,0.0011915816845997412,0.0019941516205225144,0.0023581516387096804,0.002908799905227275,0.003198204078113303,0.0010322941634828182,0.0006472268619441248,0.0021817055915459398,0.0010543561841039179,0.001367043886996117,0.0015283961257620458,0.0032598680332095557,0.0019614207623086196,0.0014735608997112318,0.001687866653646729,0.002281111338810876,0.0010650059343906935,0.0008019192456012152,0.0027362983483851127,0.0020244393896498357,0.0028131640638708755,0.0015941814444468722,0.0018671022745339711,0.0011950431003740702,0.0007968394034660957,0.001393114303823087,0.0007783037905914772,0.002450477086727705,0.0030087534849957413,0.002895886404512242,0.0019397012671251237,0.0019153553612063594,0.0020296578620287386,0.0024109670272043065,0.0018442769706988862,0.0,0.0024565999107497762,0.0018083674829924028,0.0015019428724723626,0.0014039559786034686,0.0026021162407614323,0.0010667521969731078,0.0025971912392115416,0.0022428516662615756,0.002114464314279934,0.0006043743067910039,0.0015277305830293908,0.0009582299148881275,0.0029225206702442846,0.0012147989406041902,0.002748181721465306,0.0015643588219829867,0.002320637043496784,0.0016438448204705717,0.001609933885210666,0.0011214826087057941,0.001566640258082006,0.00033595519531938044,0.0021362408217313433,0.0013676709428159396,0.002877433892356602,0.0015054584112669047,0.0017269873308327448,0.0018451952424464796,0.0006291330987005585,0.002085160553075982,0.001672632489111447,0.0025739647749015975,0.0016794908631911334,0.0024825272908443417,0.0024576122599901454,0.001327953061470106,0.0027827422816479974,0.0010283826674264247,0.0020715601056005106
ACOX1,-0.0001478151946815725,-0.00017338463203967099,-0.000432650894478249,2.299724045182008e-05,-0.0,-7.090061917641911e-05,-0.0002953173200132546,-0.0002679210516022956,-0.0,-0.0,-0.0007816100219707805,-0.0003128626495746419,-0.00012170680627407796,-9.426840673169818e-05,0.00040156263895811683,-0.0003009353728952287,-0.0002488425851716691,-0.0001281416712076092,-0.0009959818506147162,-0.0,-2.1984769015432085e-05,-0.0002335300954687988,-0.0,0.0,0.0,-0.0009385960331132953,-0.0,-0.0009986305132890887,9.343305634947226e-05,-0.0,-4.525898529301289e-05,0.0,-0.0,-5.10443652061077e-05,0.00032861234172540567,0.0,-2.2473398047137738e-05,-0.0,0.0,-7.076545562564063e-05,-0.0006536733152167801,-0.0,-0.00024774647331201065,-0.0003224548047799263,-0.0,-0.0,-0.00012940066207288957,-0.00038461509807685294,-2.0187394683255396e-05,-0.00016284947524560653,-0.00010829027370942304,-0.0,-0.0,-0.0005122972094857816,0.0,-0.0005138543288472299,-0.0007269458298070924,0.0,0.0,-0.0003737023493176934,-0.0004127816164735097,-0.0,-0.00014403876930659307,-0.00032004073009093807,0.0002080666796771514,-0.0,-0.00027681637584308364,-3.523120086502807e-05,-0.00012956286995154372,8.660284633142504e-05,7.83551767248477e-05,-3.745771345458905e-05,-0.000913552247948677,-0.00014630779372470527,-0.0004660552536224159,-0.00010238144272895561,-0.0001328351980554212,-0.0,-0.0009553736941896595,-0.0012171179838524032,-7.550622730343956e-05,-0.0,-0.0,-0.0001514936281639922,-0.00012338846451210876,-0.0,-6.366335513471965e-06,-3.7168220009473077e-05,-0.00010905385024885585,-2.3720516010641222e-05,-0.00044292882317713316,-0.00042269044341358345,-0.0,0.0,-0.0,-2.4420696277309416e-05,1.2896748156542674e-06,-7.415779708334028e-05,-0.00012692225355741542,-0.0003557816909975384
ACP5,0.0,0.0011039020293014056,0.00044318520818014155,0.000452935410487183,-0.0,0.0007261263133209586,0.0006298131644176855,0.0011135940788236849,0.0009902295637146132,0.0007844308244133819,0.0005847272152999758,0.0003754166418782641,0.0,0.00033424072463341477,0.000502642399385086,0.0005416731132974098,-0.0,0.000842298036637764,0.00046591489461313184,0.0005168888119597259,8.123024575218113e-05,0.0,0.0011733877564138369,0.0007742884055851481,-0.0,0.0002737032800918127,-0.0001338059794034077,0.0002496484688694386,0.00015902910808155083,0.0,0.0,0.000317212165965955,0.00019703544367839882,0.00035738106625957133,0.0008067612982829204,0.0007631953968298767,0.0004585731597036121,0.00045164956225322085,0.0003809658051564421,0.0006421660741314234,0.00035454761595734457,0.00041788676365962557,-0.0004574605000528429,0.0005332677726789701,0.0008570559816343182,0.0012406882102534206,0.0013669263677981683,0.0009493716823493055,0.0006956190614836724,0.00046897832424026717,0.00034766544838584705,0.00027940372937144357,0.0006056325051373334,0.0,0.0006469878224605805,0.00018907999966344473,-0.0,0.00031897995328184446,0.00042272432025942334,-0.0,0.00030378274815822824,0.00010978290213347114,0.00024095044936313782,0.0,0.0005050954999794963,0.0004118004506310093,0.0,0.0003403942021515306,0.0007417266411724186,0.0,3.30173525069917e-05,0.0004737743221554783,0.0004929825486262312,-0.0002452737816344574,0.0,9.614347430349531e-05,0.0,0.0,-3.597095027167855e-05,0.00020130690761826356,0.0,0.00033698828052330313,-0.0,0.0,0.0006297262683941263,0.0012535006835765843,0.0007487902144500588,0.0003716083104318053,0.0,0.0,0.0006304123576548846,0.0010914246337468524,-0.0,-0.0,0.00045914126970060564,0.00039382846650014145,1.6262194072672532e-05,-0.0,0.0011063046554451255,1.77500778230779e-06
ACP6,-0.0006152979083757707,0.0,-0.0008238439034249379,-0.00021328904084290498,-9.555044574666402e-05,-0.0,0.0,-0.00041585598455824203,-0.0006691407372230438,-3.629622017361944e-05,-0.00037939365980701936,-0.001229486483126655,-0.0003412387896656041,-0.00028593952370015207,-0.0004638760346906368,-0.0008818446844326273,-0.0002235074503191091,-0.0005671874800508539,-0.0007341101830317686,-0.0007181262558321597,-0.000461174871643585,0.0001147095713783777,0.0,-0.0007207616095978539,-0.0005669208182433037,-0.0,-0.00036585107988097867,-0.0005453123444752684,-0.0006333716817978349,-2.3696303302879165e-05,-0.0,-8.484657083856971e-05,-0.0008658484115559577,-0.0007951411066655966,-0.00010337069891075877,1.6176991143732062e-05,-0.00030496292840452815,-0.000590159440582847,-0.00035374540188364565,-0.0007832104485687732,-3.979828217541504e-05,-0.0003357936925064966,-0.0009031212382527501,0.0,-0.00025941100642738936,-0.0006682346068292326,-0.0007075124050926874,-0.0002986403168305409,-0.0003071176719666323,-0.000261428970963116,0.0,-0.00043943164114074515,-0.00044935925038906,-0.0001934788829379556,-0.0003200732988960501,-0.00015390626767989156,9.67515612726998e-05,-0.0,-0.0003546799340105696,-0.0010954393880990537,-0.0007035944832785935,-0.0009584199858177688,-0.00018905742316870376,-0.0001237224927076161,-0.0009511588127836383,-0.0008530915855344251,-0.0,-0.0008275981481577948,-0.00023860394795755853,-0.0,-0.0006567794100509788,-0.0001674451666694492,-0.0002413022216239966,-2.0079292895677606e-05,-0.0,0.0,-0.00021686758451464226,-0.0,-0.0002545487243933515,-8.209796987239009e-06,-0.00020887327345061406,-0.0002908050927545393,-0.0006451268236541232,-0.0007590250384713659,1.8280992272388315e-05,-0.0009494819162610623,-0.0,-0.0003760359980842167,-0.0008308888242630531,-2.0139558158822257e-05,-0.001120703723731747,-0.0003223202864796271,-0.0,-2.648918203228203e-06,-0.0,-0.0004522917811913446,0.0,-0.000645544433115222,-0.0012654632619164348,-0.0005744073798613601
ACTA2,-0.00013171443380417287,0.00027388144047523063,0.0007585215942197967,0.0,0.00016022609099671425,0.0,0.0,0.0,0.0,-0.000498254340571696,0.0,0.0002991083736627073,0.0,-0.0,-0.0004476192464914901,-0.0,0.0,0.0002664323652161397,-0.0,0.00012558230277680924,-0.0,0.0,0.0007584640688043601,0.0,-0.0,4.040119374217516e-05,3.583073992679249e-05,0.0,-0.0001579565194240577,0.0,0.00040123638599833363,-2.36120603300447e-05,0.00041202226424184337,-0.0,4.9798932104778005e-05,-0.0,0.0,-0.0006665549726446179,-0.0,0.0,-0.0,0.0001802790020990408,0.0006440902740464825,1.2595303926286972e-05,0.0,0.0004784073454972443,-2.025691542841613e-05,-1.050946150682355e-05,-8.406924552090533e-05,-0.0,0.0005735562543774358,-0.0,0.0,-0.0,-0.00023856867280643834,0.0,0.0005561250586758197,0.0005104641959252125,2.5124436424881442e-06,0.0,0.0,0.0003899985655820351,0.0,0.00018774141195246954,0.0,0.0,0.0007119184233447648,6.0402305440522025e-05,-0.0,0.0,0.00047603702073557,0.0,0.0005861095898149639,0.00020518844341676316,-0.0008338241035252154,0.0003312993988899203,-7.308423313818063e-05,-0.0,5.7347050996444316e-05,-0.0,0.0002812141780074407,9.070110900710774e-05,-0.0,-0.00019581036030421567,0.00021851877787950385,-0.0,0.00021393713269257856,-0.0,0.0008119686272988487,-0.0,-0.0,0.0003980945275170198,0.00027164180298332906,-0.0,0.00029304004551055984,0.0,0.0,0.0006133800287377081,0.0,0.0007234116730308591
