,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACE2,0.004767944404479819,0.006189859894768967,0.005751409186444434,0.005302640530089463,0.006164617126574391,0.005769859920824228,0.005392896987821657,0.006170668242244212,0.006008999692853862,0.006348587103664208,0.005928916275366944,0.005978268903002246,0.005830672133498499,0.00551249489481829,0.0059146023457025965,0.0055201273102634075,0.0053958598775370225,0.006016263145196322,0.006220742293564037,0.0055661355434966035,0.005570900657387581,0.00533533526047432,0.005210480878369216,0.006058397788720607,0.006108282410970827,0.005578303857380511,0.005538633908834332,0.005757797647945222,0.005979897637502423,0.006503627551045605,0.005382088884542031,0.005184602670366964,0.005661759355331067,0.005526427054310311,0.006243943399635965,0.005598090535202661,0.006152691007289366,0.005938319150879746,0.005470481134234612,0.006024657588677562,0.005759961585552855,0.004769974399400715,0.005815166443392521,0.006295376282204429,0.005695868463165448,0.006356357234010455,0.005938636828672328,0.005639624572254015,0.005149074441123012,0.005557327855111631,0.0052238574205448135,0.004927010380204281,0.00588745401213113,0.00570614641318679,0.006129301038624963,0.005328471804907631,0.005790374909881043,0.005768955975057574,0.006040993419892654,0.006372032741018406,0.005688400452154964,0.006260947275412984,0.0050049466160748,0.005934422783707533,0.005480068297661406,0.006614883755735006,0.00541652031045512,0.005425406750727071,0.006360313858219687,0.00625039130795128,0.005458937832505852,0.005180556060845067,0.005037165301187691,0.006787204808156858,0.005624887941028228,0.00580293372170807,0.005571752253737249,0.005536873810556999,0.005727948605029779,0.005114630921085058,0.005098276414326991,0.006328362143502999,0.005528180743180611,0.005685058538412469,0.005521680584169144,0.007033694776858497,0.005392313732972976,0.00476606776583259,0.0059167099671325754,0.005255060953289251,0.00550612263963775,0.005634553841704491,0.00569238823400287,0.005692703409682726,0.006099034702907168,0.006309971465727479,0.0055390971080708186,0.006206719924147759,0.006279249088288815,0.006340026577618695
ADGRE5,-0.005025818517246126,-0.0057489471883741955,-0.005570865264900178,-0.005743928065650333,-0.005314598042631657,-0.00612110113680282,-0.005041335310066209,-0.005783093025768048,-0.005730259708902618,-0.006000465740938867,-0.0059397031391394415,-0.005572332242218948,-0.006148697220107623,-0.005749540440823127,-0.005907970786830621,-0.005355414684416294,-0.005257111805078161,-0.005627853153431891,-0.004787116736695607,-0.005805434690392727,-0.005830249749064724,-0.004913043805919071,-0.0060007846737173565,-0.006325126556215011,-0.00599268816109862,-0.005111626996135501,-0.00569771062685231,-0.006408768684830465,-0.005154112380538729,-0.005632438237359554,-0.006196781395750052,-0.005379094267097161,-0.00601387682954362,-0.00516415143111237,-0.006255469733856639,-0.005271441398555552,-0.006372784219278079,-0.0058338949396004505,-0.0058823239950058425,-0.004958039091685619,-0.006221453666800364,-0.005925168831171416,-0.005224142526230004,-0.005807870321257307,-0.006216477420113763,-0.006144037618155872,-0.005679870949041843,-0.00589848779817108,-0.005478743568203212,-0.005904977960188702,-0.00598092048775977,-0.006001275470950416,-0.005564940601285723,-0.004974235708265652,-0.005598834559124206,-0.006191080058359591,-0.005549719712294138,-0.006256375009808095,-0.004774431184616869,-0.00622922258736208,-0.005939050512629557,-0.005689996515026674,-0.005754317648236516,-0.004815803529523085,-0.00568092946487383,-0.005763896219658639,-0.005336722876932125,-0.005952325702996291,-0.0056115311739214765,-0.005104044080735293,-0.005339576148197428,-0.006640552075325218,-0.006181805427746518,-0.006009938188836696,-0.004950852333187521,-0.005523794391735054,-0.00563489377396987,-0.00573703885829152,-0.005566291655117765,-0.0052637041798005,-0.006368996552190155,-0.005434300445345755,-0.004935229008605333,-0.005685345546864146,-0.005741995339410952,-0.005795291451037963,-0.0044297829710728655,-0.005521926879156005,-0.0058230553462011135,-0.005673324308204006,-0.0057444038552467765,-0.006248174991822827,-0.006150239845092113,-0.005539962293997224,-0.006310999129100383,-0.005519152709885764,-0.005892584339034334,-0.005490490111860242,-0.005791508840372199,-0.0053496680252910845
ALCAM,0.006887669016095783,0.0060081140860608825,0.004960932207311035,0.00565841530113974,0.006087891358056205,0.007204371523900058,0.006038048244845098,0.006519855874452156,0.007215253223303802,0.006511365009068004,0.007052061813949085,0.006773507350373549,0.0059431947500020715,0.006569570549819528,0.006486436714217718,0.00758164273496373,0.006817405086624179,0.005870882375620538,0.006180320938777353,0.005638377776900745,0.0066923621766530475,0.006686865912762363,0.00658334463015079,0.0059492225623093324,0.006532531003474296,0.006074341662448781,0.0060043475828168,0.006226470384574238,0.006259665949809189,0.007101231113579063,0.007519763072330598,0.0066073527509476655,0.0068428780820791795,0.0071860310149699305,0.006218272951286668,0.0057931337729270685,0.005876318122551868,0.005222086626182996,0.0066538024299248036,0.006645147921667481,0.006921660886228528,0.00727517046703019,0.00648790435524071,0.0072385839721027904,0.007010527064313964,0.006608092460392264,0.006723493345092208,0.005850077575242637,0.006842238451343248,0.004894185677489257,0.0069400901195003535,0.005248764718417494,0.006415483714646991,0.005948637747971892,0.004916357820095333,0.006977224331043086,0.007483862552937362,0.006362575357885629,0.005611152627093826,0.007455973782184962,0.007425349797291778,0.00727922859128757,0.006481007581045591,0.006572105001453757,0.005892653703745566,0.005642245396195586,0.006219429755494685,0.005861867928235579,0.007477517193590682,0.0070865307753284,0.0059599687896516726,0.007285581555541706,0.007568276591786709,0.006023172824431679,0.006430772433248274,0.006603551171382454,0.006687478001074235,0.0056761494122757414,0.006249384625810266,0.006703071637269256,0.005784192388581975,0.005705831745472267,0.006210873247247447,0.006734840436803648,0.00678403952949694,0.007525152953633981,0.006904175253495546,0.006074899615348622,0.00606195067416275,0.00615247170504435,0.005554384841452837,0.006285233445098879,0.006476874242685644,0.005858443185010761,0.006419307675234098,0.0060153650638972225,0.006916972052086478,0.006028151432309307,0.007518737912643958,0.006674014056029884
ART3,-0.007348546099980643,-0.006689396614182923,-0.007110681776257649,-0.006022039385579746,-0.007079618129792923,-0.006751518892347719,-0.005599412569092895,-0.0060672036302250746,-0.006458577215167618,-0.006772196110397506,-0.006958646101775849,-0.00659201636174685,-0.006024083331009147,-0.00702263190467828,-0.00727933828130532,-0.00661788130697496,-0.007066533316963976,-0.0062649597815981305,-0.006600057947256044,-0.005728777369752875,-0.006257537827555658,-0.006563254593408945,-0.0061324803940287324,-0.006178695230960845,-0.006807497562252566,-0.006084141937097757,-0.006047408013142777,-0.006322558957711727,-0.006299549027893009,-0.005667928048659998,-0.005476217560255268,-0.006704721143353165,-0.005718269669053244,-0.005966106950975846,-0.006458987429979991,-0.006913873009770349,-0.007089284858354515,-0.007373153578513085,-0.0053656653831349755,-0.006005816457987165,-0.006293669802386065,-0.005795236498178083,-0.0062733810346043,-0.006104380303427605,-0.006845662743083078,-0.006460458856984598,-0.006237127441267289,-0.006020394338096011,-0.0067870610624605945,-0.006370843101847974,-0.0064898881503948624,-0.006063861509425014,-0.005741185842627942,-0.006508934492527629,-0.00598143990662271,-0.006447234902698447,-0.006183984163123596,-0.006383904818565403,-0.00688987934766108,-0.007171808787163653,-0.005961414647898091,-0.006248919144532609,-0.006014953648237005,-0.007127262024778449,-0.005474507885066083,-0.005812220520175613,-0.006275365303260221,-0.005915123207073232,-0.00512792550279559,-0.006213193005376097,-0.0069187627370681255,-0.006237342015638113,-0.00572549531756744,-0.006797378961273175,-0.005906100069396065,-0.006213359536379026,-0.007070366672244392,-0.006376147422137115,-0.006447132250069844,-0.0068475217774837185,-0.006326966167008778,-0.006685232615268301,-0.0060596008662361185,-0.005856526191228518,-0.006528354531284354,-0.007064995422249687,-0.00602237908398377,-0.006293200955936946,-0.006405893092755334,-0.0071360124600638114,-0.006448190586785834,-0.005826158883352324,-0.005945561192893022,-0.0062760684193758215,-0.0059967170838291246,-0.006040402758564183,-0.0068267514994280335,-0.006704304868479265,-0.006729754797588079,-0.006429816183246206
CHRDL2,-0.0062979232383695545,-0.006428826746759977,-0.005564261753278017,-0.0057987657049923015,-0.005087095134719311,-0.005303195510557213,-0.005656218393813696,-0.0057317863299554545,-0.005267511991209607,-0.006150097279864851,-0.0051369407412977216,-0.00537740727998085,-0.0053725144978009395,-0.006053970778428574,-0.004952173706856218,-0.005808475974216437,-0.006142959047447258,-0.005672875153489565,-0.005573680908335706,-0.005209122615200005,-0.005855623473096386,-0.006038146087029612,-0.005378862437313965,-0.005885568174839846,-0.005263562660621803,-0.0055732847913650225,-0.0056274631801787964,-0.0056397950138172784,-0.005745376293688937,-0.005105243293303512,-0.006363074348123856,-0.006004796462829951,-0.005437869357471387,-0.00465141869110268,-0.005297277849985267,-0.005608630365028348,-0.005678601721573091,-0.005742079754506574,-0.005908342862368225,-0.005892747312471925,-0.006480542576000015,-0.006034853403246616,-0.005837682286800501,-0.0052238243466147605,-0.0054653078354193274,-0.005253550298827516,-0.005215828545079273,-0.0055844468850190345,-0.0056952050989081526,-0.005878034157511776,-0.004510146798925259,-0.00548727897256965,-0.00547577579275485,-0.0053332582964663484,-0.005284259894774574,-0.00607537803107777,-0.005402340186457781,-0.005145831481599776,-0.0059707599361932,-0.006357186711199005,-0.005651187614023794,-0.005176997835395677,-0.006237170669762741,-0.005957349768060012,-0.005694681608113321,-0.005882768094344134,-0.00554080781060733,-0.005044540369449415,-0.006118127714794036,-0.005510352325967924,-0.005473144680546434,-0.0058102725633018045,-0.004937987815484922,-0.005478591143017491,-0.006100699139232752,-0.006534416333124039,-0.006091652926755206,-0.005109812628580837,-0.005777242937831836,-0.005944297330249961,-0.005572638917506502,-0.005276523736472434,-0.006167522182753374,-0.005510948530619592,-0.0056343894156843126,-0.0056157648335277135,-0.0054278791749708104,-0.005921714746010364,-0.0058355108782432346,-0.005214313737358905,-0.006401463549724895,-0.005805530232888154,-0.004515234476185023,-0.005134576461450462,-0.005518886999475913,-0.005793235533936294,-0.005222067336643628,-0.005997653323695633,-0.005279320677046107,-0.0057583337583167185
COL6A3,0.0034855149764091756,0.005024133374023333,0.0050760901508301185,0.0034847846247300753,0.004064910862173082,0.004309655412236365,0.004201154374200008,0.0032858315906330172,0.002818351907467546,0.004249805166926792,0.004688137668932101,0.004181876301998531,0.00325317624809739,0.0043730562946679,0.004335653169687785,0.004361201030611314,0.003393046325249163,0.0044629052833471345,0.004822359758176448,0.0033792752962414937,0.0042584554537860924,0.0038449866423502983,0.003647492179062077,0.004638015051487917,0.003907879225945292,0.005174310240525611,0.003418899890109891,0.0036372756977294846,0.004738036112752662,0.003486907389475678,0.0040116595931450035,0.003621999148710681,0.0036452646259929164,0.0031563085896135355,0.0035983648263637775,0.003924159416201991,0.004638592634647569,0.003484291447081932,0.0037458975635906314,0.003309252932969719,0.0033170457675273457,0.004357092474412805,0.003249973733796342,0.0034991874527952843,0.003983834877815616,0.004201140899725272,0.0036811979985852143,0.0032062995626786724,0.003167027869613463,0.0026575424875432936,0.003226688330258027,0.0048355126477645045,0.002785812299930686,0.0043332617403220855,0.0048349878118205,0.004113100413220615,0.0035906469365268247,0.005090255342648518,0.0035082895808364236,0.0048374825041905475,0.003736630119134855,0.004362576511064056,0.0033057172500317858,0.0039594276459685605,0.0038389643728868462,0.003258942464246079,0.003532512879830307,0.0032406370372673157,0.0038346067186061316,0.0036964289147856993,0.003374012620753597,0.003383201203299601,0.0029919020632077375,0.0038633539707540764,0.003577504055792198,0.0032450061665106945,0.005472316277878589,0.005855048487329234,0.0028381607474618612,0.003927783357288957,0.004158495475892799,0.003287962638523415,0.004055568845668921,0.004170334415594426,0.0037030112087871156,0.003772866823138843,0.0031275752282087445,0.004249347737268603,0.004023551253902872,0.004182476018845372,0.002974456431727803,0.0029729960979812337,0.003737484557641988,0.003667556251839911,0.004631818052023608,0.0029170906375460904,0.0026240415769470692,0.004502766792585765,0.003681427028433678,0.003485978041350762
CTSB,-0.0031709663050267308,-0.0038864273472769897,-0.003134045805772408,-0.003297090633558824,-0.003637763319100064,-0.00326021565132702,-0.004128353887738373,-0.002600413446614821,-0.003397116381980079,-0.0030733401245155766,-0.0038736183828246627,-0.0030225097071446723,-0.003284984134908371,-0.003766678412310118,-0.0030855508028907715,-0.0027758544263509267,-0.0036323410644169235,-0.002932581232300914,-0.0035447073658190476,-0.003927532708063785,-0.0029953899550174794,-0.004094238400729242,-0.003188484374450653,-0.003569226812422963,-0.003231321557478427,-0.004359455050412027,-0.003040700572016786,-0.003286518255206594,-0.0033565294366698665,-0.002957257276543048,-0.004009365464016796,-0.003315915685983505,-0.003522281470696252,-0.003182342979333692,-0.0030874219006892007,-0.003279044671794847,-0.0032345985902261904,-0.003135788640424491,-0.003083382920713205,-0.0036881645138684607,-0.003683237746914183,-0.0036504737871766234,-0.0034567917141422066,-0.004165157391767938,-0.002749635400553972,-0.003296996931631074,-0.003172783414341601,-0.0037299893256122233,-0.00365118013064764,-0.0033477464564250882,-0.0035300549478399614,-0.0035296503965603597,-0.003757409371264977,-0.0035170013090905145,-0.0030324251088794138,-0.0031958481247366605,-0.0034020209663361287,-0.0038290811416860212,-0.0033976541766713893,-0.0035659236378738825,-0.003472372508582789,-0.003282656652214101,-0.0035801157834099875,-0.003543938625802781,-0.003997226704917011,-0.00304888808214055,-0.0034221634334368127,-0.0038877457197274224,-0.0034044517570400164,-0.0033529972307156514,-0.002623349520591054,-0.0027602479325486177,-0.0029851100389138197,-0.0025760729889243764,-0.003013067592897265,-0.003039203729848614,-0.003108483898859776,-0.00352909593571339,-0.002822444150606943,-0.003239024154077826,-0.0034663922270025097,-0.002826536737166293,-0.003694844788967192,-0.003362442627689632,-0.002672755990094062,-0.0034370758755470033,-0.00343678282452841,-0.0030881136016411674,-0.003630280379482867,-0.003278666998590429,-0.0033351383098928393,-0.0037256156945113185,-0.002967047342857535,-0.003518470650529632,-0.0030396867694298633,-0.0035719074305664775,-0.003644030895692464,-0.0027524048673869816,-0.003680859550439132,-0.003525818350552828
CTSL,0.002603187717497322,0.002815386433431482,0.00307456909780618,0.00329252078067069,0.0037144815783883875,0.002486738697688794,0.0032191850673997818,0.0030305212164050428,0.0028570046054681966,0.002867217076210034,0.002346300457820272,0.0028453773875118504,0.00340710019494542,0.003065542899444381,0.003183837287850208,0.002509330606929457,0.0030513777026064115,0.0036479332453446586,0.0024199932752163988,0.002464788933475005,0.0024727759664710356,0.0022884612197078377,0.0029044438325060715,0.00300870559410692,0.0030256281420280233,0.0028595717512292004,0.0027022200145006892,0.0026551314373861614,0.0036463948094626465,0.0030497997618753937,0.0031862105640742718,0.0027810613826964765,0.0026827025539267607,0.002051022324223732,0.003420220548901283,0.0034650021647584686,0.0031054103288161703,0.00296584832509782,0.0025201877764406268,0.0021013759108318543,0.003685475439299132,0.003134983749451642,0.002744304528908318,0.0033152642651063063,0.003310103073777077,0.002923980999400857,0.0021119548119809036,0.0032411426920514103,0.003021306089284994,0.003467762582059406,0.0026154230377825813,0.002724980501407462,0.003098092691392607,0.0017836479728014147,0.0027682901410352634,0.0036614989710059115,0.0021941888267533786,0.0036601940124623895,0.0029680526459764612,0.0032645803141829292,0.0029701355685704616,0.003632557042029035,0.0036004854580821482,0.00315883885018985,0.003548705208237448,0.0030469665734268445,0.0026028780175645274,0.0024494374373196246,0.00333676822277218,0.0021798752603753,0.002739846045580835,0.003576468638779727,0.004248751541659344,0.003782106511688426,0.0029088482936745603,0.002580413067085442,0.0019756059224713073,0.0018239888563150557,0.003419705802655702,0.003515098993024166,0.0034285308950534965,0.003239324405412891,0.0032855745126200452,0.0025141257960259815,0.0025971353979463954,0.003470052781755794,0.0031107523912753125,0.0028714941501874515,0.0018818671231692896,0.0024640663486267316,0.0029736238561189595,0.0033761515610306898,0.003390067679434008,0.002291932241652788,0.002400398431432676,0.003007780332436766,0.0032023940979519837,0.002959140392723383,0.0035622124566420618,0.0018693107500447582
EGFR,-0.004959347033676354,-0.0053370301859947565,-0.004405624868390454,-0.004736718958624556,-0.004746871288158128,-0.005168271803204211,-0.005616245715702906,-0.005834726814473104,-0.0057052704775081104,-0.005064852630865799,-0.005039706571168826,-0.004712203574034114,-0.006104379439120775,-0.0052066887921861345,-0.004480170424833245,-0.0057579008785580135,-0.006385079110233794,-0.005506904836797168,-0.0057791058584733684,-0.005639994603478386,-0.004984380787205374,-0.005157107099835801,-0.0047373920130266796,-0.005333841327606569,-0.004130468288719774,-0.004414312210773822,-0.0054173516029762964,-0.005809027397628229,-0.004925666913933527,-0.006225354780774153,-0.006165189760868523,-0.005080659565370774,-0.005546335080728238,-0.006228256662913542,-0.005564821772446246,-0.004601754905712373,-0.0062095093543696,-0.00474897179005168,-0.0053099086316996755,-0.005326233046968392,-0.006168546205018557,-0.005409727493260364,-0.0045699568275942935,-0.005268819298254296,-0.0053730509203204595,-0.004248049243099994,-0.005598349103263084,-0.004559147950449359,-0.006140192704347035,-0.005627972678509148,-0.005126832803791073,-0.005049194142324278,-0.0061203647957460815,-0.005118910762148603,-0.005260454679713514,-0.005497541797307612,-0.0048891303255643075,-0.005092971892461414,-0.005467130292216035,-0.004463757746019659,-0.005686249713763355,-0.005379158302114632,-0.005326813134119461,-0.00598520967335537,-0.005913208140933107,-0.004848819055610607,-0.005036565820234628,-0.005784159694549505,-0.005200582297962144,-0.006125327525858128,-0.005982020040306617,-0.005917271491655833,-0.006623581826172126,-0.005404353254184685,-0.005273466226598986,-0.004838150918259889,-0.004839014234211413,-0.004576871365540399,-0.005421875297801785,-0.005457091035587593,-0.005349436109454965,-0.005600681572555427,-0.0045075118155999145,-0.0061962578419642285,-0.005675131405712708,-0.005024152591289368,-0.005441445965750359,-0.004951813315145273,-0.005599079163629224,-0.0054955429261060946,-0.006680586013606996,-0.0055939360485009046,-0.00461434529085518,-0.004722275400080384,-0.004532159703919263,-0.005474210454605633,-0.00557404992604259,-0.004516454464904491,-0.004896736116657967,-0.0057018613287646795
ENPP2,-0.003190028746722048,-0.002775785962954515,-0.003526275647185169,-0.004236859406274483,-0.0033866295611271824,-0.0034680269960606254,-0.0029940227897959234,-0.004003585527390918,-0.002744225793996587,-0.003679073709388809,-0.003878277614143343,-0.0035050545335567522,-0.0028852169228330195,-0.0038189487265902758,-0.0033821741868276926,-0.0038117826804138187,-0.0036353418596560276,-0.0034750528840929323,-0.0030572407097215993,-0.002675978355844638,-0.0034921602900735145,-0.0038786029024544537,-0.003539912442212721,-0.003011464217017953,-0.0033475857578706292,-0.0027810775459910448,-0.0030996724004568204,-0.002369079690275452,-0.0036411408096506,-0.0030333180775993906,-0.0030928770846022557,-0.002921352131955989,-0.00425435741835802,-0.0025925063296987684,-0.0030869616142616524,-0.0030042834754269543,-0.0031127387687305864,-0.0026070467933932704,-0.00361073117328906,-0.0028617673703844786,-0.004340859484975648,-0.0038614590557283154,-0.004222407452588707,-0.0032679267869154182,-0.0039774136796439565,-0.0032968403032865527,-0.004415919763623905,-0.0032823026254480796,-0.0036669847079502126,-0.0033699308342314323,-0.003121029501831678,-0.00296432719483145,-0.003967415118267534,-0.002676061615198749,-0.002603768038707392,-0.002696698135282714,-0.0024880492372341624,-0.0034439622680544537,-0.0036332438568360726,-0.002958155273744752,-0.003937940534954505,-0.003049621628442231,-0.002547738064222994,-0.0031120701116732494,-0.003078210780528802,-0.0038232744398101677,-0.0037665641159114185,-0.003063371848471686,-0.00322248069807647,-0.003231682017338039,-0.003381066821306768,-0.0035299370512994017,-0.003831829806560899,-0.0031730758260161388,-0.0033492858057355855,-0.0031386714160283767,-0.0037848315716160225,-0.003843772128452638,-0.0037259828227055045,-0.0031629477753853806,-0.003082041545687846,-0.0037250535560776456,-0.0029110310056920676,-0.0027317759752158903,-0.003688567963541272,-0.0038790660766783915,-0.0031862082659443952,-0.00433010475670975,-0.002709783406112436,-0.003837508494330687,-0.0036333072556793246,-0.0032606439226792595,-0.0031963846217154747,-0.0024418621841255095,-0.002934563309781467,-0.0024997056674100192,-0.004816122835738612,-0.0036960392231959985,-0.003984891917047215,-0.0022201080319645284
