,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACAN,0.0006635491582603661,0.0009392828923917349,0.0013715968632997907,0.00120491339884594,0.001084010108873449,0.0008700443133382175,0.0010190154779670976,0.0015512856788534024,0.0008000270811036066,0.0019525660581646332,0.0011996815614483485,0.0018267573322806516,0.001993673376138983,0.0014886619138322207,0.0006606758383263642,0.0018536518797747366,0.0026576374783557543,0.0011655502521608595,0.0011500659310801425,0.0,0.00035243103256362904,0.001984456682288678,0.001320034031088832,0.0014381380888694234,0.0016551506761628614,0.0012045925030973056,0.0016281051193820606,0.0022225747409846605,0.001834011728363812,0.0019098036652029679,0.0006089594914851253,0.0002815287374345243,0.0012292045172702117,0.0006884842616593665,0.0012163057714656084,0.0019909347016618026,0.001738410020206369,0.0014744647713182027,0.0009520591310907127,0.0009110923838288761,0.0013508019374707861,0.002041345819809309,0.0022915755136305913,8.883793018032914e-05,0.0017851842444902388,0.0011445029643004988,0.0011405046334451402,0.0016908830117813624,0.0010073226307153124,0.0015538146373864888,0.0013244765348288156,0.001297871442577104,0.0010983443774314657,0.0026600087592545,0.001661515818402798,0.000621231379153411,0.0014274364416130387,0.0015519892433932406,0.0014857430369618193,0.0020853571556321065,0.0011245374690457943,0.0008778972280712895,0.0005877913869122982,0.001516936302470663,0.0007021381313667567,0.002186316853493462,0.0007008544408498173,0.0005478831308082392,0.001607862304775531,0.0013139562445377815,0.0012177178175024116,0.0008897655313118589,0.0012608653944795368,0.0016084372422891838,0.000699288956348306,0.00015479723500837783,0.0016214797085654948,0.0019741318976276155,0.00043351608927241514,0.00111553507641758,0.002139911801065976,0.00186293480358802,0.00043892123644434966,0.002395060044017981,0.001036160063712506,0.0015032274228529933,0.002503325460524231,0.000344449369174946,0.0020160175132574944,0.0011387259874637077,0.0016554868978450794,0.001878277826436243,0.0004457002446494676,0.0007716128689422879,0.0015056854029825383,0.0,0.0008046009404179538,0.0012428924734219841,0.001723977857493976,0.0011510884863964851
ACE2,0.004375117935260146,0.005782999823964908,0.005134444199880167,0.004312736327314271,0.005074403918861759,0.0051283255906697306,0.004581759367630608,0.005981651380408324,0.00523779364152034,0.005879194786619335,0.0058003682675628766,0.005413773188441677,0.004984940210832089,0.00493186944616507,0.0046013495540412576,0.005024236027235157,0.0050652402300918,0.005572192979164274,0.005827738283939179,0.004878824394269449,0.004302634188002251,0.005279590093467904,0.0042558347849014876,0.00537648127598126,0.004909191075233018,0.004306330633186324,0.005214811909028296,0.005578389163155987,0.005487315713068651,0.006812135467971158,0.004525782429701908,0.0038011161698508896,0.005225171184236647,0.004625312335805752,0.005245643776455972,0.00482946131126643,0.005779293496085913,0.005329494174267203,0.004602615959493898,0.0049537148069833765,0.004982713760681352,0.003960915801975136,0.004765756237444634,0.006075604087390428,0.004991794051353096,0.006183972734238566,0.004862037621178633,0.005135222014365709,0.00436271991668264,0.004154261931346736,0.004455781651221183,0.0041626070171648395,0.005374474097515144,0.005444644613391139,0.005494767113628799,0.005389143689807567,0.0047371979557084345,0.005674923732819876,0.005343994061731943,0.005317198362616453,0.004194422452463533,0.005733564264817523,0.004892655463929402,0.004487113135473125,0.0045486359059772165,0.006258149827520077,0.004286551676482275,0.005330695182296932,0.005117178715661448,0.005561133685539183,0.004086727822455785,0.0038341074415986862,0.004348636231816758,0.0060316652979123305,0.0047244497162972484,0.0056208427969337196,0.004784271763497278,0.004657112893044988,0.0049016134575943,0.004878203721935185,0.004043987606133841,0.004768575608476211,0.0042809188471100825,0.004962135067849347,0.0043854305792952785,0.006332857975965923,0.0044258509732844524,0.004077088920013775,0.005073182401954053,0.004388127492045722,0.005445102270713213,0.00491721956675945,0.005190748390997609,0.004811910058814637,0.005258262917927271,0.005087562487445285,0.004564012186804609,0.005632457997811779,0.0042905652909117084,0.005275235395137255
ACOX1,-0.00035011224372595394,-0.00042419947477550894,-0.0007559639864177038,0.0,-0.0004900315145633584,-7.38451900533712e-05,-0.0007863883086295709,-0.0006078688682253058,-7.422411938364235e-05,-0.00015972151403823975,-0.0009863317975379326,-0.0007152835985940574,-0.0004718020009076145,-0.00041697729381069644,7.987174679438303e-05,-0.0005826272505347246,-0.0002991554087527619,-0.00031749848950881113,-0.0012652988500066248,-0.0,-0.000610746868610411,-0.0006097497526923991,-5.208526521715762e-05,0.0,-0.0,-0.0008892777921269205,-0.00030004085097800687,-0.0011856163323750472,9.326047019775216e-05,-7.871554018060896e-05,-0.00038638600235631795,-0.0,-0.0,-0.0004933084397496263,0.0,0.0,-0.0002418980658220232,-0.0,-0.00015165465902620883,-0.0005532419102367237,-0.0009110214737886236,-0.00025566193909612586,-0.0007789338472276421,-0.0006845427688798333,-0.0,-0.0003794763735083707,-0.00040088132857276834,-0.0005426167347832879,-0.0003740286445289275,-0.0002983283727519988,-0.000497188263526991,-0.00030955500332630775,-7.759295032478308e-05,-0.000797510175292965,7.17756704678242e-05,-0.0005877111065624173,-0.00118818384678958,-0.0,-0.0,-0.0005973246775342521,-0.0005974729560369534,-0.0,-0.0006333128147817686,-0.00036406653474486484,3.276986469981977e-05,-0.00023241503146642425,-0.0004089894573963313,-9.407985738540222e-05,-0.00037076208226915726,0.00016846493223819694,0.0,-0.00042806692954517906,-0.0013858378865948423,-0.0004173833439559198,-0.0009629163066132131,-0.00022160599913664732,-0.00018205861961764007,-0.00036280501554177664,-0.0013414992121194712,-0.0008366501811816253,-0.00046492860991240224,-0.000419756162029354,-8.288840368047907e-05,-0.0005754190160311742,-0.0,-0.00019259160972692,-0.0002431725841240656,-0.00022943714602833833,-0.0006809974937182744,-0.00037417571346367445,-0.000629212539249341,-0.00043005673813376256,-3.308377217158114e-05,0.0,-0.00033727024706645993,-0.00022411650628294068,-9.672168183043953e-05,-0.0003365216637032741,-0.00046361310452054487,-0.0005389944668588425
ACP5,0.0005106602852323966,0.0011757403143309957,0.000510316038744739,0.0007423196112787258,-4.206376432046209e-05,0.0010386674013200044,0.0008662300457913521,0.001500169284073128,0.001546879806736749,0.000523262015060956,0.0010572615843104812,0.0009000997843112899,0.0007793682190192015,0.0008620328873235322,0.0010268324318913732,0.0007527444265411949,0.0,0.0012998081265854684,0.0006785818188251405,0.0008305116900881608,0.00032431116919639456,0.00030348728968270877,0.001413520673530722,0.0016608169740411577,0.00015264229336499544,0.0007296296535377435,-9.794755568474856e-05,0.0007826898501412032,0.0005596947220564316,6.194134357984262e-05,0.0005641592415378404,0.0004709443543695109,0.000978330738667407,0.0007226567145815146,0.0010107501971128785,0.0010261812013504176,0.0007066402594049279,0.001247743189094145,0.0007202690708289557,0.0011248087074295565,0.0006594511215500903,0.001051654360342242,0.00021480903554051185,0.0008366109276755818,0.001207037071136712,0.0012773063258017252,0.0013729260414111733,0.0009697054532003179,0.000980150870839928,0.000696950320962835,0.0008581286942601722,0.0002205977102817292,0.0007468212783433158,0.0008400891765641403,0.0011251611439638918,0.0006025863397478126,0.0002791411973951461,0.0006196618501690618,0.0008636833306791508,0.0,0.0009107745488384427,0.0002306522760283435,0.0009422637324741624,0.0007237367616851998,0.0012370200817919312,0.0010131600177456016,0.0003288403522133017,0.0007870314844469711,0.00128777448114639,0.00017187592467963835,0.0003997877468375608,3.6109085045780574e-05,0.0010158907773887636,0.0,0.0006871637026389644,0.0006938858783953909,0.0005521569552483575,0.0006373784789760428,0.00018069634908433822,0.0002815205210361013,0.0007196946514531038,0.001228337586531731,-0.0,1.153150674911972e-05,0.0007144521452659318,0.0018660495687589918,0.0011892671184530518,0.0004668800097137243,0.0002826324640701266,0.0003834372823166778,0.0009575348358351318,0.0010666710187736802,0.0002403919608196786,0.0003937575220665113,0.0006082773319636985,0.000678292688362968,0.000997018695862704,0.0,0.0013331741993049102,0.0007157971738454898
ACTA2,-0.0,0.00030462929992843327,0.0009811502712644984,0.00014167287565387663,0.0009501492225196674,0.0,0.00021774414039041687,0.0003693970462228724,9.875178219971454e-05,-0.00019481903608030145,0.0002076461744790888,0.0004408295381045995,0.0,0.0,-0.0002402374117076815,-0.0,0.0004007808931453256,0.000340498346473229,0.00021878694959343915,0.00021109684529654814,0.0005244380149449928,0.00011270680426652297,0.0008725124463022729,0.0,0.00013707267248294638,0.0008219614656931557,0.0007488821488651932,0.0004380089187918104,-2.5154795349024813e-05,0.0,0.00026831675699730945,0.0,0.000544562907990831,5.2711600559487425e-05,0.00036418234894914335,0.0,0.0006218405589093279,-0.00034493819481455824,-0.0,0.0,0.0004823410060600388,0.0005761400161008593,0.0010479201913353654,2.2662665532817266e-05,0.00019155368069752286,0.0002727497013671704,-0.0,0.00014631284299640448,0.0,-0.0,0.0010546868766188797,6.115724815426562e-05,0.00012676109919087023,0.0,-0.0,-0.0,0.0011647635502683733,0.00034092111854966796,0.0004672611646248919,4.51961771927384e-05,0.0005633168929743646,0.0011520469906685206,0.0002990814572842683,0.0006651964985886412,0.00015289561989732984,0.0005663166760842647,0.0009369453493170642,0.00010475588582844243,0.0,0.00045096671724439806,0.00016017206950495896,0.0005466299550573665,0.0011730649974302876,0.0007451734958121708,0.0,0.0012569594487885504,0.0,0.00037215937979706966,0.0006632359166539877,-0.0,0.0009009200024528713,0.0005573948175886179,0.0,0.0,0.00027497784029978487,-0.0,0.0007956304712119548,0.00054108913952456,0.0011307259736661986,-0.0,0.0,0.0002749779070815724,0.0011270490281675382,1.8648784368541854e-07,0.0012550647526215976,0.0003677762751747807,0.00040594177768697606,0.0008410704352787169,0.0,0.0008818368232651983
ACY1,-0.0012280762816404913,-0.0012573794147596692,-0.0,-0.0018414580894909557,-0.002228034863544057,-0.0006217148491720086,-0.002144400266798609,-0.0010298088614319014,-0.001050702387139576,-0.0009880355333622558,-0.0005167171370391333,-0.0022153415736375277,-0.0017925786475295122,-0.0015185899151465392,-0.001417336530724627,-0.0023878620367730093,-0.0012749854602427026,-0.0018733834664102175,-0.0007652562929871822,-0.002024847298724328,-0.0010472210663047732,-0.0010937965225863886,-0.0004599885321925163,-0.0010849702717768961,-0.001034927216636574,-0.0008058966574527194,-0.0005107012027699306,-0.0020910004791784096,-0.002099373571055935,-0.0021210840304482733,-0.001949119192651573,-0.002868886417383239,-0.0014237239446004597,-0.0016491061657809038,-0.0015083856940984084,-0.002086001140365965,-0.0027782342075317076,-0.0033755112703410207,-0.0017152559386286927,-0.0020522462046175262,-0.0017282508549123015,-0.0,-0.0022342030482954056,-0.0016447591421089982,-0.0009209920350304596,-0.0008084098086815218,-0.0018733885774922566,-0.0017186739169652138,-0.0026907578647133892,-0.0007385056859673886,-0.0007837702479486185,-0.0,-0.0,-0.00031916100225566944,-0.002064040532569721,-0.0005170990536676104,-0.001964030049611935,-0.0011706721151744312,-0.000933968849955491,-0.0017557073052482297,-0.00013521496504299193,-0.0015990875417757054,-0.0017981899630078431,-0.002071103592316274,-0.0023036565632865375,-0.0022337183242853212,-0.0009647872661805216,-0.0015535869275640928,-0.002809143488831616,-0.0004425973189067678,-0.002050857307368376,-0.0007663617785650919,-0.0,-0.0006020893090380067,-0.0,-0.00112113869108082,-0.0,-0.0016407442041503973,-0.0,-0.002059659532699873,-0.0010365329407585285,-0.0017279794283633998,-0.0029005848817153035,-0.0014681307008254474,-0.0026556815556193912,-0.001444348651842622,-0.0006468446205127192,-0.0008341679861122035,-0.00188592469061301,-0.001068828484355314,-0.002009168549334383,-0.0020694362257017663,-0.0011012849707188407,-0.0012185918928123004,-9.287134889340086e-05,-0.0005946119309373085,-0.0017001751248085241,-0.0011494803955706524,-0.0018922517766495725,-0.0025165656487486426
ADA2,0.000963406003173757,0.0020742240490508788,0.0016407664906275357,0.0017481129423822554,0.0007958712353537202,0.002366695627404928,0.0012584002191212142,0.0016614210192455485,0.0018932247790581006,0.0020943078947280704,0.0021509407631225374,0.0015282707874039597,0.0029006714126789024,0.0007744272947576248,0.001254613333466767,0.001233301775239099,0.001071975511852324,0.00123685993882834,0.0020434882054914403,0.0017617472156566353,0.0003965930283144227,0.000350360152430258,0.0018882214882614229,0.0014232744579088653,0.0014012528170362134,0.0014285897570539138,0.0016686506075243317,0.002488257849137035,0.0016606709486568644,0.0013942925790264929,0.0022308779477494107,5.898803450823792e-05,0.0029872861265437226,0.0021652484941034078,0.001273937532157581,0.0003586537737222086,0.0009162195096306803,0.0004031420025937629,0.001516819136396627,0.00025378845430162525,0.0019204647682830554,0.0021751075896262817,0.00204844627554068,0.0010459789896710818,0.0023558672127051753,0.0018070708246604357,0.001042690437179903,0.0014361682274190387,0.002335602553880674,0.0012295253840021738,0.0021204970623190495,0.002026458161256221,0.0026402683567484622,0.0011518408600597729,0.0017609668951755809,0.00128252263956852,0.0010482496890666547,0.0014253587710160974,0.002456282737691604,0.0015574595270671195,0.0016477595037742644,0.0014044797330486462,0.0018060389956862175,0.0023738380644558244,0.001256913704465138,0.0023503991602330672,0.001953839932043806,0.0017683376501002892,0.002663999196934542,0.0010524531472005448,0.0015922329871576842,0.0030260875617903154,0.0014033172260144063,0.002306966766329261,0.0014187975235883015,0.0022600623686767564,0.0010388981661928138,0.0007074752254228346,0.003107360654263242,0.0011636408982808493,0.0016847344307845786,0.00043636307260013255,0.0014899826320133548,0.001374252254506387,0.0006509583344664102,0.0004820130983987852,0.0013150515396170585,0.003201371318871756,0.0005183596530060336,0.0011391481403639687,0.0012689554660167493,0.0015909472918584236,0.0011702872514298354,0.00258540977968838,0.0018067861108851597,0.002003351582491418,0.0009261681278248507,0.0015259479555559965,0.0022230757711451683,0.0017607106456801796
ADAM15,-0.0008050850525666182,-0.001069752792619081,-0.000730385267783324,-0.000545190490945655,-0.000561192775555199,-0.000911204385952526,-0.0,-0.0007093823039779669,-0.0001392623587459241,-0.0007538246549399911,-0.000290285786586698,-0.0010418403138280784,-0.00195526573043407,-0.0012553190881417695,-0.0,-0.00017451168148320577,-0.0004637341872776035,-0.0,-0.0016808918004141647,-0.0005840115120054913,-0.0005002741881783379,-0.0007419101604445646,-0.0,-0.0003552830028357006,-0.0003087061146024165,-0.0,-0.0011065903845806102,-0.0007080381767490112,-0.0003755669765000385,-0.00038236154858234644,-0.0006423437557392614,-0.00033371676088577703,-0.0006967450876828261,-0.0005868398828706157,-0.0006568226537317239,-0.001052077060241191,-0.00013307893146871744,-0.00024777073715680675,-0.0005767670063362181,-0.0009351877626364819,-0.0019086354597289386,-0.0008184455982149395,-0.0010858153952651064,-0.00019786313806988766,0.0003960832871555065,-0.0002456332505564302,-0.000371694819205552,-0.0007596147745705318,-0.0,-0.001385110527408639,-0.0004236615610699688,-0.00011889462522262895,-0.001142510915678769,-0.00034628564479805967,-0.00030389516174622675,-0.0007694497188007513,-0.0011384784509112327,-0.00044503202276012207,-0.0005092332874608293,-0.0008173270478023601,-2.018048963555508e-05,-0.0002915052742886614,-0.0004423984962168045,-0.0001690214738375559,-0.0012665915266858476,-0.00031449223703318527,-0.0012337657799912714,-0.0002849916349851142,-0.0009156593013962365,-2.845885284491298e-06,-0.0001719199222707767,-0.0001492335828626252,-0.000575474341645976,-0.0007058137514306836,-0.0003644600292272154,-0.0005551109332848326,-0.0006450208506644783,-0.00020927535350078627,-0.0006397642159073872,-0.0003268710126103123,-0.00020633171377836102,0.0,-0.0011515357580845409,-0.00047898677519033037,-0.0016854185643691113,-0.001005777659426552,-0.0005427321416098909,0.0,-0.00031626724178817223,-0.00018256250967616888,-0.0012220367527623816,-0.0,-6.49409285685318e-05,-0.000398914207558363,-0.0006567194287452919,-0.0008128307890209781,-0.0005998385785963673,-0.0004912114323528754,-0.00019669237105435862,-0.0015271443876092286
ADAMTS13,0.0005829130363516874,-0.00016658643363376898,-0.0,-0.0006440420781046857,-0.00020823200035449352,-0.0006276836197074074,-0.0,-0.00034024024728778254,-9.632006869815638e-05,0.0,-0.0003154031319845644,-0.00018144082993060818,-0.0,-0.0,-0.0,-0.0007279252035661571,4.016211563066791e-06,-6.840083257354092e-05,1.574496058976681e-05,-0.0,-0.0,-0.0,-0.00033984223279419107,0.0,0.0,-0.00037710136029985686,0.0,-8.747182637106789e-05,-0.00041580654035043005,-8.008241472847272e-05,0.0,-0.0005278306206660541,-0.00013780390251395385,-0.0005474154696430762,-0.0,0.00043553540421534714,-0.0,-0.000295664377004388,-0.00026765461117761924,0.0,-0.0004549294395846814,-2.7586647834581437e-05,-0.00038494234610378397,-0.0008000572564602669,0.0,-0.0,-0.0002659106392722506,0.0003760074598211573,-0.00016197141701378043,0.0,1.8696147752550282e-05,-0.0,0.0,-0.0006033834740101099,-0.0003803490976411934,-0.00021393865834626688,0.0,-0.0010413206860199254,-0.0,-0.00014795671802505554,-0.000463710898302508,-0.00030690075253572203,-0.0003032389287438234,0.0,2.693166189734582e-05,-0.000310683273890569,0.0,-0.00029760787928427584,-0.0,-0.0,-0.0,0.0,-9.025366478562278e-05,0.0,-0.00032611091894645507,5.656930306133053e-05,0.0,-0.00015145349887922077,-0.000896142862512182,0.0,-0.0,0.0,0.0,-0.00013763741702189306,-0.0004847650535671342,0.0001489535175816492,0.0005449185628360852,-0.00038676848583602897,-0.00013251220888829584,-0.00013796354712856729,-0.00040420207500770983,-0.00041527682971523777,-0.0,-0.00022032988818763296,0.0,-0.0,-0.0,-1.5135709018181265e-06,-0.0002306175549755835,0.00036805858951610807
ADAMTS16,0.00020878056880868032,-0.0001702549334324027,-0.00012302611009594005,0.0,0.0,-0.0,-0.0,-0.0,-0.00024339390126990772,0.0005069134231365253,-3.5088913205076825e-05,-0.0,0.0,-0.0005883250202378708,0.0004024115280616286,-0.00021022647158089365,0.00012647517707500955,-0.00019851948131894423,-0.0,-0.00044354865291958655,-0.0,-0.0003861512901862468,-0.0,-0.0,0.00032211637618874856,-3.1812851260005865e-05,-0.000372315358555546,-0.00014607626372808963,-0.0,-0.0009102708479984083,-9.382542271511919e-05,-0.0,-7.933704520545262e-05,-0.0002899080399489886,-4.6301149719142645e-05,0.00040295091031553433,-0.0004982513991075387,0.00012735590342080667,-9.208506393243339e-05,-0.00027072914425463936,-0.0004187896564608965,-0.0,-0.0,-0.0,0.0,0.0,0.0,-3.0838654211161716e-05,0.00030221607133257327,0.0,8.025994149361373e-05,-0.0005682033711088789,-0.00042787662652256294,4.278731010120739e-05,-0.0,0.0,-0.0006860045278310051,0.0,-0.0001053373390824762,0.00017884616935198315,-0.0003952607496598869,-0.00042775564631504086,0.00011942137672910843,0.0,0.0,-0.0,-9.854344345166337e-05,-0.0003808583543761892,-0.0014082241455664797,-0.0,-1.1580396539614505e-05,-0.0002923752763059867,0.0,-0.0,-0.0003375214828098005,-0.0,-0.0002804566243665886,-0.0004457934056920418,-0.0,0.0,0.0,-0.00012524164934431543,-0.0,-0.0005027653343756683,0.00010957336273458956,0.00017974038378426328,-0.00019437885397239824,0.0,-0.00018974362545078971,-0.00020044507351135016,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.096670121556565e-05,0.0,-0.00033021502619726405,-0.0
