,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACAN,0.0016576960495480117,0.000881340486033533,0.0009927862163959186,0.0020291928728751315,0.00036085709426969927,0.001706305639958178,0.0019295890390140806,0.000981918252556547,0.0,0.0024390921201067994,0.001423512810733019,0.0028475704124654847,0.00021979883562006815,0.0005474822626058932,0.0009072481883213883,0.002230194729609187,0.002738102593704466,0.001383228094037017,0.00011699814824834792,0.0006740739655803566,0.0,2.869726966253888e-05,0.0014476059106717485,0.001257291558668472,0.0,0.0008961884677670489,0.0015898969238290989,0.0015613847651159906,0.0021657971365504525,0.002529558476130908,0.000335042424855411,4.304772794410909e-05,0.0020830337579403075,0.0014578955594379505,-0.0,0.0015983943908336332,0.0018868794829153227,0.0011895641424589593,0.0002894812012184164,0.0006192217921997934,0.0011906424002848227,0.0018456493546006507,0.0017182224361833416,0.001248767074851734,-0.0,0.0012693264226855854,0.0008707163273618519,0.001752668730840566,0.0022608211179955848,0.0017065459633993957,0.0025199833286631986,0.0007989012147773928,0.0014513357276544308,0.0012366781283277574,0.00012049930704435844,0.0,0.00045311378533174977,0.0015370196029542314,0.002090347454752903,0.0019872414722892054,0.0011794389215615357,0.0,0.000667285866815584,0.0028428984168111836,6.140997322130188e-05,0.001993781089541342,0.0,0.00026276717761782785,0.0006221045287850351,0.002293951056220726,0.0023221316622058148,0.0021987928554040932,0.0014677650766899938,0.0010784168206071842,0.0014868721916746637,0.00047152684846933125,0.0025783917654640036,8.043871002189025e-06,0.0003172505402135413,0.001957031945289929,0.0022698307870790664,0.0010631015146866816,0.0,0.0007152882752813442,0.0010431626664327673,0.0017617425015178968,0.001954087487720031,9.334527263860139e-05,0.0020933359400462197,0.0011854867119059983,0.0009471126454886272,0.002166746073630269,0.0005246928917859504,0.0004726840418715327,0.0008311096760531964,0.0001947225363908709,8.250689555246557e-05,0.000995888101190998,0.0016113127826740707,-0.0
ACE2,0.00588218241841919,0.004911340816515893,0.0064367020998680104,0.004306565631921093,0.006859724931778154,0.00493139845652103,0.004555398286720317,0.006274571653296319,0.0054812746188106385,0.0069067742998485835,0.006356717764874934,0.003423923389832075,0.0032492364182043335,0.0044546508433645614,0.006135319042517735,0.0045938873755239145,0.004480147806661543,0.005968552614231313,0.004200851245347274,0.006534270387476385,0.004702673887682472,0.005415077888813656,0.004642497139974858,0.005739930132525635,0.005136758218769803,0.0036993827491154908,0.004443061689552638,0.005663435102875766,0.005424460600019974,0.005953381381602432,0.004986938454893262,0.004934803476466537,0.004698075598637515,0.0045278388634300195,0.004437599426661556,0.005366221196160642,0.005478299084384318,0.003997893224941587,0.005529932465850238,0.005699136245701037,0.006369077641718689,0.005102823617215057,0.0052053577042297915,0.0055312347551398425,0.0049197475558077465,0.006154796514018512,0.005536625132684321,0.005989553828907603,0.004261435799045458,0.0031703910132941594,0.0039903556308740745,0.004962512493764505,0.003849439642399027,0.0039386326310818405,0.005678272424280549,0.004488205270813982,0.0050381016575912424,0.004818997680719478,0.005152330508114225,0.005691033814603127,0.007379007577055013,0.00565032648025962,0.004491491305466807,0.005707050918580315,0.004856898133702691,0.004877105464314639,0.0036760995364329037,0.006214813913059262,0.004737029766257727,0.004650394402477868,0.002815115262653443,0.0028694335516914063,0.004490116997778648,0.005400868377697385,0.005910018344844186,0.00691875381176174,0.007222629647871813,0.004524212672512941,0.0045308503577955565,0.004576971411314443,0.005252569795400177,0.00505961643265577,0.005210671144181302,0.005518778749218575,0.0065893261561869665,0.005995222521325665,0.004096567477230415,0.004910169177340569,0.007648273669968025,0.004166560163735619,0.004822167710486987,0.006650832891572194,0.0056252645752156065,0.00466383316163749,0.004447716366759981,0.004218819548897019,0.004560718876616047,0.004524771031471852,0.004877264988267491,0.005742469107014937
ACOX1,-0.000481246317969002,-0.0,-7.711844038430497e-05,-0.0,0.0004875006141773789,-0.0,-0.0001968532683395494,-0.0012566574461118389,0.0,0.0,-0.0004376232750960402,0.0009274135274893598,0.0,-0.0002900407384697937,0.000696247384693601,-0.0,-0.001440002643202992,-0.00032754454724303624,-0.0018580230511696632,0.00028906402244398266,-0.0008146669666115263,-0.0007303730026326344,0.0,-0.0002401338038182747,0.0,-0.0,0.0001725136850840466,-0.00010560899797849041,-0.0,2.6565606607861975e-05,7.977430892622833e-05,-0.0,-0.00045720877548588326,0.0,0.00018833426449911458,0.0005735965537869576,0.0,0.0,-0.0010958368847993573,-0.0003686781232335722,-0.0,0.0001277341864088333,-0.0,-0.0008011582745349635,-0.0001994408285321736,-0.0,-0.0,0.0,-0.00020949053974975067,-0.0005470855101436037,0.0,0.0,-0.00020706627250715296,-0.0,0.0008544253209157415,-0.0002009654293119274,-9.287383647230908e-05,-0.0004358887613019355,-0.00044956909920724927,-0.00042513690766449636,0.0003155557705434459,-6.0223566077831416e-05,-0.0013445970568254596,-5.3806743053847326e-05,-6.065496202623446e-05,-0.0003917158742261422,-0.0003159202649786454,0.0,-0.0007035240476575837,0.0,0.0003134562743641801,-0.0,-0.0,-0.0,-0.0009772976321818282,-0.0,-0.00036186967195361353,-0.0003881310037800128,5.344272729480366e-05,-0.0005763374480501464,-0.0009088398462893774,0.0,-0.0005298603556310395,-0.0010421554410635129,-7.923312500779592e-05,-0.00010171889138206617,0.0,-0.0009589258752091017,-0.0008794749349974077,-0.0009125941196707558,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0006429510966604183,-0.0009859777827491527,-0.0,-0.0014074387044179266
ACP5,0.0022085088621076536,0.0012724517813796762,0.00037924209865636103,-7.616536363194297e-05,0.0,0.0010525769562503772,0.0,0.0009021214617411638,0.000587749360261477,0.0005843543619021455,4.720819817454126e-05,0.0,0.0,0.00043301745392234514,0.0008161349456974498,0.0,-0.000279751160478101,0.000125100821344343,0.0007163005327942464,0.00043404702392004494,0.0004596403961199953,0.0005854785561072483,0.0021620816926100723,0.0004268832967738468,-0.00035031663856471736,2.4183441389652095e-05,-0.0,0.0004914258915159011,0.00040490943189418666,-0.0007693245249070284,-0.000588085927587836,0.0010269380611691158,0.0009339140847343109,0.000758078342037183,0.0003979022617671118,0.0,0.0,0.0009584518564243449,0.0006977887826008596,0.00042705154978540645,0.0005311229438274521,0.0019984294788929556,0.00016883472740920495,0.0,-0.0010372487225343314,-0.0,0.0,0.001485624078785132,0.00037352993619501994,0.0,0.0003512608281982955,0.0008397335328635521,0.00013688930099537216,0.0011473037102975527,0.0015578103484139491,0.0,0.0,0.002356734029166865,0.0,0.000724179621960461,0.0021468878528208327,-0.0,0.0008656569033774653,-0.0,0.0009913272806601383,0.00091888828244743,0.0011705638401894615,0.0005985729710056035,-2.2483653013326537e-06,0.0,0.0004513023372699783,0.00071852515016228,0.0,-0.0002602132168499703,0.00037409526522538724,0.0008467132055672577,7.621781123792173e-05,0.000810390220009111,9.150262066459839e-05,0.0,0.0,0.00194552398418256,0.0,-3.630289764776869e-05,0.0011527484045783427,0.0007967243714977857,0.00193473143239027,0.0002466009313177316,-0.0006854621297521555,-0.0006113003631838922,0.0009042594465414073,0.0002221183183222144,0.00010606015523253146,0.0,0.001038436139304079,0.00011080874553394958,-0.0,0.0003125424164837617,0.00010735701822170334,0.00031977332011807276
ACTA2,0.0,-0.0,9.739573254645722e-05,0.0,0.0009532636532393563,-0.00046731426085068917,3.662567949334865e-05,0.00034185837878099746,-0.0,0.0,0.0,1.7767977381029616e-05,0.0009714354842808331,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0008865711247074806,0.0008051018581537181,-0.0,0.0011228287614523367,-0.0,-0.0005133144286281664,0.0,-0.0,0.0,0.0,-0.0,0.0007583706536835012,0.0,-0.0002286583743790776,0.0,-0.0007288072553568775,0.0009355166212177888,0.00017202295286680968,-0.0006650499683259646,-0.00021765594568845867,0.0,-0.0,-0.0,-0.0,-0.0001425107268823681,-0.0,-7.792769989623395e-05,-6.564411194174988e-06,-0.00040260258801840605,0.0,-0.0003835440001640337,0.0006928601736600854,0.0007565420063256073,-0.00016577125759409877,0.0,-0.0007467256427548003,0.0,0.0004100366805568847,0.00021948574095719664,0.00014493998118175955,0.0008898713761977304,0.0005314288435143325,0.0005083655530134643,0.0007385009789086208,0.00047807672878262216,0.001541894951415734,-0.0,-0.0,0.00011776161078639351,-0.00013961517389246282,3.299970482158132e-05,-0.0,0.0009164120144802286,0.000844886369784847,0.0005346234527853596,0.0004976639557258867,0.0009058039575294113,0.00022768913035089134,-0.00032094956446942563,0.0020805534528362513,0.0,0.0010072822185019285,0.0,0.0006466641671795628,0.0,0.0002105936757157169,-0.00014542314010184768,0.0005104881457789538,0.0,0.0009968413009555095,-0.0002093784809854325,0.0,0.0,0.0,0.00042223698414952824,0.0013061547495270792,5.85022791492213e-05,0.0009341842218830612,0.0008940573789335695,0.0,0.0003993010316299808
ACY1,-0.0008368010982372906,0.0,0.0,-0.0007574306915804665,-0.003276116456021209,-0.0,-0.0008844996926451164,-0.0,-0.0,-0.0014017866575717908,-9.086078366431543e-05,-0.0013559687495381236,-0.002462109208629566,-0.0007179361895544573,-0.001103501005350532,-0.000648365748374017,-0.0,-0.0,0.0,-0.0031297231505743274,-0.0024624095591228613,-0.0007653990501858268,-0.0011334498497892094,-0.0009082122142465925,-0.0,-0.0,-0.0,-0.001559261779463412,-0.0017032314535359997,-0.0,-0.0010829001436889027,-0.0017308275568748714,-0.0019673949397020912,-0.0016832348288864207,-0.001095481746791776,-0.0008878523084035649,-0.0,-0.0009876624823338417,-0.0005729411677992234,-0.0001550775638456698,-0.0,-0.0001364393872169284,-0.0,-0.0,-0.0,-0.0,-0.0021857640569019864,-0.0011089051625865706,-0.0021644244019360455,-0.0,-0.0020258395981113133,-0.0013404389224899015,-0.0011639522489317968,-0.0,-0.0026393363134941646,-0.0002727901963532039,-0.0014445032700659047,-0.0012524517913126627,-0.003749282639011509,-0.0009001764488599939,-0.003224560686832186,-0.0014844362208929049,0.0,-0.0012577441765522564,-0.0013326328271348676,-0.0,-0.0,-0.0001591462651819404,-0.0,-0.0,-0.002474131083836402,-0.0,-0.0006437539376948759,-0.0,-0.0006667240562707723,-0.0009941818308003597,0.0,-0.0007502060698799615,-0.0,-0.0014770455978979958,-0.0005272004644496733,-0.0045070942630189076,-0.00268322267976076,-0.0026908835889680755,-0.0011809608335112702,-0.0006613795256207257,-0.003051621706568709,-0.0011025684668631588,-0.0011208254556433457,0.0,-0.003564359316880241,-0.000673862613940515,-0.001588441943929348,-0.0,-0.0005916634821375111,-0.0026722365691670075,-0.0011233693058563983,-0.0007753603780768595,-0.0024836334159979343,-0.0027836782370835207
ADA2,0.002397998329528765,0.0017130913757667351,0.002267505421273844,0.0010946128154342004,0.0010019217885329848,0.0015200914527771455,0.0010392843403178842,0.0,0.0017548240355951229,0.0008266718499259032,0.00021533882121947963,0.001512346693795909,0.002045344005522368,0.0,0.00248517825751888,0.0014332517406435957,0.0017122466748365672,0.00013392814627267863,0.0031576792963140146,0.002969405493393508,0.0012258664785850394,0.0014434211870242317,0.0025273805255375224,0.0008763775039700594,0.0014373586494533363,0.0011384664880006892,0.001314169144454556,0.002962582874803394,0.002857225724577771,0.0024235933394568484,0.0008901011190669464,0.0006711023462913251,0.0021567170196612347,0.001949387459929899,0.0009277889224229566,0.000495924349415193,0.0006563382663817734,0.0,0.0,0.0009382346532931431,0.0010706226211232841,0.0016328860124809968,0.001444646368508892,0.001742978647046403,0.0030122468000340027,0.001139461559128042,0.00036990865696244035,0.0008197083810844419,0.0014781948620481214,0.0,0.001873437791776866,0.002386827467182201,0.0019623643122986326,0.0018597709084451537,0.001387885191255008,0.002231439314193484,0.0013686986059178313,0.0016784309026151491,0.0002107723794877106,0.0015456797462223355,0.0023224967206614926,0.0026036315289921373,0.0016983062312675536,0.001157804441210361,0.0010149071755548647,0.001186156870407215,0.0009193551506814125,0.002097885631509408,0.003575684527980127,0.003056620535062247,0.0,0.002578385431959274,0.0016507672517010895,0.0031963746187546977,0.002645803317026477,0.0022234406418031394,0.002934828137051334,0.0026265971102585987,0.0030667948978215804,0.0025093688408036312,0.0010947115939769984,0.0012438756487798497,0.001707621387150216,0.0016330174708314973,7.178544314940634e-05,0.0006214149185460662,0.00178796954952218,0.0015282944876631903,0.001197237882217869,0.0018130757736806904,0.0035168859736052108,0.0016301764030811855,0.0010056083781503442,0.002299902057274514,0.0011192894697790107,0.0011353193119920712,0.0009671010114786168,0.00146920431785082,0.0018254553243599876,0.0007433488338455223
ADAM15,-0.0,-0.0006494212716702833,-0.0007008260025430774,-0.00046573628421857393,-0.001132225005583664,-0.0007301201634524933,-0.0007714452157958613,-0.0012042233966425304,-0.0014604845912181915,-0.00022515625689217936,7.5922183691580165e-06,-0.0,-0.0009027270190908903,-0.000442998323406835,-0.0005916016816711404,-0.0,-1.9807676302930336e-07,-0.00060358775878968,-0.001217245686621474,-0.0007397190498503824,-0.00011584080230647954,0.0005204281106557733,-0.0009360627169452193,-0.0,-0.00031306735959825313,-0.0006825147179407784,-0.0006172401604989761,-0.0007892055535028889,-9.875186815640049e-05,-0.00028013624398003534,-0.0012861536783397457,0.0,-0.0006288371768697499,-0.00021265895357798237,-0.000234913430440131,-0.0008330578279529454,-0.0,-0.0,-0.0013028331099047398,-0.0005706331136638796,-0.0009523624110687881,0.0,-0.0003799638476419405,-0.0007331549757363511,0.0,-0.00026668964842110063,-0.0,0.0,-0.0,-0.00041741524467767187,-0.0003136198909691688,0.0,-0.0006866505568727936,-0.0005801236951724979,-0.0,-0.0004801734218716458,-0.0008538546802011869,-0.00039401650385837144,-0.0004965522003840782,-0.0,0.00010482937481094112,-0.0003864203190334667,-0.0010268964859714372,-0.0,0.0,-0.0007068888374011997,-0.0007289512716390954,-0.0010529720806913862,-0.0006482269145119977,-0.0008326303688727183,-0.0,-0.0,-0.0019106107521855873,-0.0011614049252749118,-0.0002603933328594973,-0.0013906693897086473,-0.001120083222877713,-0.0,-0.0012935445376960465,0.0,-0.0008645984363094195,-0.0,-0.00046496802159235053,-0.00016114678586077278,-0.00010570127520129286,-0.0007592474450481249,-0.001170016023134162,0.0,-0.000658035535649702,-0.0010578446521428786,-0.0,-0.0005798968765209465,-8.009188923452221e-05,-0.0009055713429558708,-0.0006938500554387393,-0.00043294825172837057,-6.718372527175981e-05,-0.000649898085113124,0.0,-0.0013616291575709388
ADAMTS13,0.0,-0.0013069875397572074,0.0005935046095082195,0.0002902125532551539,-0.0008445123112077257,-0.0013274879004777618,-0.0,0.0007175294708327838,-0.0003933544120208129,0.0007904355385600953,0.0,0.0,-0.0010128539729720768,-0.0005269748354578126,0.0,-0.0,-3.900796598709758e-05,0.0,0.0,-0.000828425209974355,0.00045158071711510957,-1.634986652166595e-05,-0.0,0.0005694425498442264,0.00010043536619802889,-0.0008776972838036634,-0.0005406218627419853,-0.0008917289742340637,-0.0005982553376592457,0.0,-0.000508097725429187,-0.0006923456356110735,-0.0012665472336888918,0.0,-0.0016047115373342353,-0.0,0.0,-0.0006522421772147649,-0.00033663598409549515,-0.0,-0.0002506480384711595,-0.0005800279481778015,-0.0,-0.0015631513173482861,-0.0006812835398123822,-0.0,-0.0016279935267616576,0.00016949238105570534,-0.0009633073663471002,-0.0,9.960519250925826e-05,-0.0004618910972714408,-0.0,-0.0,-0.0007692522429752458,-0.00037423992901575403,0.0,0.000222532919320962,-0.0003086301806971315,-0.0017882470500490586,-0.0003150102556516926,-0.0012139655517784062,-0.0006598939613159915,-0.00027902279993267644,0.0,-0.00048272567539372585,-0.0006244799007956962,-0.0015883527862780647,-0.0007246800516668822,-0.0002604538250488408,-1.4808764621441195e-05,0.0,-0.0006190949996269808,-0.000903772164147516,-0.0005098799250956477,-0.00039135104637515205,-0.0,-0.00024508525928045586,-0.00038613816992708435,0.0006918449151026938,-0.0008374686166824153,-0.0008190376649485171,-0.0,-0.0002721654650699979,-0.0,-0.0,0.0005820264620155928,-0.0011031693691830556,0.00023713169533207647,0.00015172803110804874,-0.0010198254096578246,-0.0002575565970641035,-0.00017028241894711323,0.00013378888922566419,0.00012816303635388465,-0.00030810248764893044,-0.00022970529047997509,0.0011183773600705075,-0.00024121998288009034,0.0004980961600246894
ADAMTS16,0.0,-0.0,-0.00041363709036598673,0.0,9.75196581127089e-05,-3.137224984324886e-05,-0.0,-0.0005236715423276712,-0.0005323360259455833,-0.0,0.0,-0.00023279277255183644,0.0,-0.0,-0.0,-0.000649038029022386,0.0,-0.00018406588460326235,0.000996985014345364,0.0,-0.0001081046137164158,-0.0005816753787412495,0.0,0.0,-0.0002667971001304671,-0.0005223222368269233,0.0004054839013953086,-0.000493222139554509,0.0,-0.0002989844242053598,0.0,0.0,-0.0004349241657592053,-5.2971288481665996e-05,-0.00019590493335841389,-0.0,-0.00021511916882771686,-0.0009623552264135977,-0.0008036938605918415,-0.00010308582229292717,-0.0,-0.0,0.0001444803692535826,-8.498497135924396e-05,-0.0,0.000281791247660273,-0.0008430420393090921,3.071714502382212e-05,-0.0008093183038967582,0.00029662611140589517,-0.000333994912500799,-0.0007356118691768647,0.00022360526319148804,0.0006040888445127535,-0.0007166290900484116,4.4816134620112305e-05,-0.00021454641513681417,-9.002702971780195e-05,0.0,0.0002279905635718227,-0.00023281984140958062,0.00031157865136213287,0.00041534438525270783,-6.029711822105953e-05,-0.0004426861171301407,-0.00013091324756613542,-0.0002583104121169956,-0.0,-7.733365383092725e-05,0.0004454941042965937,-0.00012969581950821274,0.0,-0.00039626542845207224,0.0003282606175770835,0.0,-5.21535056165131e-05,-0.0015668753908777595,-0.00019225600274767762,-0.0007012097023584589,0.0,-7.264649490641265e-05,-0.0006343793867626327,0.0,0.0,0.0006662089703332959,-0.00012007760625517639,-4.0465059822383734e-05,0.0019944176250770306,-0.0004935747169783354,0.0,-0.0009102728898046734,-0.000752355317058322,-0.0005910826619005432,-0.0,-0.00052629228160576,0.0003964146673799108,-8.88898284232939e-05,0.00022144752083247388,-0.0006546289659337961,-0.00022492421736078924
