,coefficient
ACAN,-0.0
ACE2,0.005057650525419845
ACOX1,-0.0
ACP5,0.0011766574644007858
ACTA2,0.0005489400565026207
ACY1,-0.000606400821852712
ADA2,0.00029335437604465186
ADAM15,-0.0
ADAMTS13,0.0
ADAMTS16,-0.0
ADGRE5,-0.002637180228724168
ADGRG2,0.0
ADH4,-0.0
AGXT,-0.0006708919981157184
AHCY,0.0
AK1,-0.0016607535409323285
AKR1C4,-0.0
ALCAM,0.0015454744614032455
ANG,0.0
ANGPTL1,0.0
ANGPTL3,-0.0
ANPEP,0.0002305322959710469
ANXA4,0.0
AOC3,-0.0
APLP1,0.0
APOM,-0.0006337719955361622
ART3,-0.004476717775105459
AXL,0.0
BAG6,-0.0
BLMH,-0.0
BMP6,-0.0
BOC,0.0
BPIFB1,0.0008862367795109275
C1QTNF1,-0.0002222503302954127
C2,0.0
CA13,-0.0
CA3,0.0
CA4,0.0
CA5A,-0.0
CANT1,-0.0
CASP3,0.0
CBLIF,0.002095360651427258
CCDC80,-0.0
CCL14,0.0
CCL15,0.0
CCL16,-0.0
CCL18,0.0
CCL27,-0.0
CCL5,3.903491616871183e-05
CCN3,0.0003998416959111084
CD14,0.0
CD163,0.001423458778164132
CD209,-0.0
CD2AP,0.0
CD46,0.000562633948167514
CD69,-0.0
CDH17,-0.0005681796153176782
CDH2,0.0
CDH5,-0.0
CDH6,0.0
CDHR5,0.0006009214598464765
CEACAM8,-0.0
CEBPB,0.0
CELA3A,-0.0005240650999378859
CEP43,0.0
CES1,0.0007536453423778554
CGREF1,0.0
CHEK2,-0.0
CHIT1,-0.0010077276848139405
CHL1,-0.0007172927464665922
CHRDL2,-0.002766849521878952
CLC,0.0010600452664009702
CLEC1A,-0.0002511425448056009
CLEC5A,0.0007332134365301893
CLTA,0.0
CLUL1,4.919540519843649e-05
CNDP1,-0.0012824912216446377
CNPY2,-0.0008772521792975544
CNST,-0.0
CNTN1,-0.0
COL18A1,0.0
COL1A1,-0.0005363269688032033
COL4A1,-0.001148506671049751
COL6A3,0.0008745183585161685
COMP,0.0
COMT,0.0
CPA1,-0.0
CPB1,-0.0
CR2,-0.0
CRHR1,-0.001268766890639779
CRTAC1,0.0
CRX,0.00012983298975442067
CST3,-0.0
CTF1,0.0005335883017288957
CTSB,-0.0
CTSH,-0.0006630964498021148
CTSL,0.0020669404418764675
CTSZ,0.0
CXCL16,0.0
CXCL5,-0.0
DCN,0.0
DCTPP1,-0.0
DDC,0.0
DIABLO,0.0
DKK3,0.00031819041748879835
DLK1,-0.004803240914041324
DNAJB8,-0.0009406642688054522
DOK2,-0.0
DPP4,-0.002324130418888101
DPP7,0.0
DPT,0.0006691448875617158
DUOX2,0.0
EDIL3,0.0013830320057756737
EFEMP1,0.0
EGFR,-0.002013129879164183
EIF4EBP1,0.0
ENG,0.0
ENPP2,-0.0015086623803272933
ENTPD5,0.00042432945067983843
ENTPD6,0.0
EPHB4,0.0005230778771123161
EPHX2,0.0005521736374224399
ESAM,-0.0
F7,0.0
F9,0.0
FABP2,-0.0
FABP4,0.004766097223174159
FABP6,0.0008417697559429322
FADD,-0.0
FAM3C,-0.0
FAP,-0.0
FAS,-0.0004912942053955574
FBP1,-0.0
FCGR2A,0.0
FCGR3B,0.0
FCN2,0.0
FCRL1,-0.0002123229436074814
FETUB,0.0026243983611795867
FUCA1,-0.0013763404098077316
GAS6,0.0
GDF15,0.007061147261791144
GDF2,-0.0008739191052342752
GGH,0.002244991507470183
GH1,-0.000535073854948469
GHRL,-0.00116756942804247
GLO1,0.0
GLRX,-0.0
GP1BA,-0.0
GP2,-0.0
GPR37,-0.0
GRAP2,0.0
GRK5,0.0
GSTA1,-0.0
GUSB,0.0011327069168111123
GYS1,-0.0
GZMH,0.0
HEBP1,0.0
HK2,0.00030642699595880116
HMOX1,-0.0029756121161211902
HNRNPK,0.0
HSPB1,-0.0
HSPG2,0.0
HYAL1,0.0
HYOU1,0.0
ICAM1,0.0012172401879109488
ICAM2,0.0
ICAM3,-0.0
ICAM5,-0.0
IGFBP1,-0.0
IGFBP2,-0.0
IGFBP3,-0.0025904015317423455
IGFBP6,0.0
IGFBP7,0.0
IGFBPL1,-0.002827784648092299
IGSF8,0.001158825230278196
IL18BP,-0.0
IL1RL1,-0.0
IL2RA,-0.0
IL6R,-0.0004198065839885946
IL6ST,0.0
IRAG2,0.0
ITGB1,0.0
ITGB1BP2,0.0
ITGB2,-0.0023806909977019597
ITIH3,-0.0
KIT,-0.005122858012517948
KITLG,-0.0
KYAT1,-0.0
LACTB2,-0.0
LBP,0.0
LDLR,0.0
LEP,0.006722671226710346
LEPR,0.0
LGALS1,0.0
LGALS3,0.003623891012892944
LILRA5,0.0
LILRB1,-0.0
LILRB2,-0.0
LILRB5,-0.0008628498637713513
LPL,-0.002149140171916001
LRP11,0.006983996169579943
LTBP2,0.0015695436353080397
MARCO,0.0
MB,0.0
MCAM,0.0002270865992644466
MCFD2,-0.0
MEGF9,0.001013593548361618
MEP1B,-0.002680243534206415
MET,-0.0
MFAP3,-0.0
MFAP5,0.0
MMP7,0.002104054303209812
MNDA,-0.0
MPHOSPH8,0.0
MSMB,-0.0
MSTN,0.0
MTPN,0.0
NADK,-0.0009352723157710663
NCAM1,-0.001604007627502468
NECTIN2,0.0
NID1,-0.0011041335959576261
NOTCH1,0.0
NOTCH3,-0.00029257022311913127
NPDC1,0.0
NPPB,-0.0
NPTXR,-0.0
NRCAM,0.0004415016178666107
NRP1,0.001907315891613373
NTRK2,-0.0
OLR1,0.003970345629536801
OSMR,0.002820358160561768
PAG1,0.0008605062643490651
PAM,-0.0007266834601220897
PCDH17,-0.0
PCSK9,0.00412955238778942
PDCD6,-0.0003427119879174708
PDGFA,-0.0
PDGFRA,-0.0
PDGFRB,0.0012094647860776907
PEAR1,-0.0
PGLYRP1,-0.0023592144178009814
PILRB,1.9394563196195824e-05
PLA2G1B,-0.0018839724159917237
PLA2G2A,-0.0
PLAT,0.0006767403773052918
PLIN3,0.0
PLPBP,-0.0
PLTP,-0.0016477240628160175
PLXNB2,0.0010963368384425895
PLXNB3,-0.0
PM20D1,-0.000978145398761629
