,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
AARSD1,0.0,0.0,-0.015577492573017932,0.0,0.0,0.014943151211816042,0.0,0.0,-0.002208784243768616,0.0,0.0,0.0,0.0,0.0,0.0,-0.004069245882957539,0.0,0.0,0.00030010459693279273,0.0,0.0,0.0,0.0,0.0,0.0,0.010820322052676813,0.0,0.0,0.0,0.0,2.1918010891729158e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.02609311533585437,0.01402437610936651,0.0,0.0,0.0,0.0,0.0,0.0,0.0035783346225539314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007892475755760322,0.0,0.0,0.0,0.0,0.0,0.00610577704829397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00692929700833397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031179094216013596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015411078288881098,0.0,0.0,0.0,0.02156343590387749,0.0,0.0,0.0,0.0,0.015568307102955039,0.007858606482369631,0.0,0.006383199155865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026653685098712795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03231764202939434,0.0,0.0,0.017765296889276302,0.0,0.0,0.0,0.061596397132561966,0.0070212681260346755,0.0,0.0,0.010466904272220743,0.0,0.0,0.0,-0.051092196181201574,0.0,0.0,0.0,0.0,-0.02973912070262065,0.0,0.0,0.03341158164160582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010349117417211326,0.0,-0.00466260240384549,0.008438661047163775,0.0,-0.025143255871198037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABL1,-0.03024483511890823,0.0,0.0,0.0,0.0,0.0,0.0,-8.667016894640216e-05,-0.012239053230839661,0.0,0.0,0.0,-0.0002872812871514531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04168984013444561,0.0,0.0,0.0,0.0,0.0,-0.012486876257118577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016966528930027554,0.0,0.0,0.0,-0.00688381946785111,0.0,0.0,0.0,0.0,0.0,-0.03023292119482311,-0.010380319474401935,0.0,0.0,0.0,0.0,0.0,0.0,-0.04158720905102587,0.0,-0.009482674864908884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008050136392032753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004558567805854969,0.0,0.0,-0.004126129551336991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008860631350551776,0.0,-0.0014939441982575667,0.0,0.0,-0.012381062656273645,0.0,0.0
ACAA1,0.012764860590932499,0.0,0.0,0.003391838644523249,0.0,0.0,0.026799898946024657,0.0,0.0,-0.016578170954433813,0.0,0.0,0.0,-0.01646907662093364,-0.02172200604933152,0.0,-0.022104252097165343,0.0,0.0,-0.004303169605247944,0.0,0.0,0.0,-0.025953421756789094,0.0,-0.01990405020515049,0.0,-0.010863989515689666,0.0,0.0,0.0,0.0,0.0,0.0,0.05151410567745188,0.0,0.0,0.0,0.0,0.0,-0.009851184674978669,0.0,0.0,0.01644523703528813,0.0,0.0,-0.024744789048133122,0.0,-0.027051165525911844,-0.003615081708466411,0.0,0.0,0.0,0.0,0.013933653887470891,0.0,0.0,-0.003697727216017489,0.0,0.0,-0.005434780618069345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017456116748024268,0.0,0.009635135911813494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007297627275658472,0.0,0.0,0.0,0.0,0.0,0.008621294824620524,0.03527166042603814,0.0,0.0
ACAN,0.0,0.0,0.0,0.0,-0.02141278118416055,0.004724258345366494,-0.04008028229372226,0.0,0.0,0.0,0.0,0.0,0.0,-0.009104733475296268,-0.012005882958704526,-0.007369975412446476,0.0,0.0,0.0,0.0,-0.0016215018306343434,0.0,-0.014027949464440323,-0.027579959371775986,0.0,0.0,-0.007221014035453761,0.0,-0.0032292675598305154,0.0,-0.016911672506822233,0.0,-0.030150429930315855,-0.007100616981260471,0.0,0.0,0.0,0.0,0.0,-0.009833085308734862,0.0,0.0,0.0,0.0,0.0,-0.01752884010273666,0.0,0.0,-0.013504502339323658,-0.011486100424887262,0.0,-0.08000090978496309,0.0,0.0,0.0,0.0,0.0,-0.004696892061278775,0.0,0.0,0.00030422477842520436,0.0,0.0,0.0,0.0,-0.05147513794099231,-0.0051255627642225925,0.0,0.0,0.0,-0.02391803855809357,-0.03265561963148088,0.0,0.0,0.0,0.0,0.0,-0.016157033430133704,0.0,0.0,-0.004532822100144587,0.0,-0.00894425006926137,0.0,0.0,0.0,0.0,0.0,0.0,-0.00936435260484326,0.0,-0.010760840469301182,0.0,0.0,0.0,-0.029042848611998472,0.0,-0.013881198981802479,0.0,-0.010983062916294733
ACE2,0.017129838801577337,0.0,0.0,0.02854462755341995,0.0,0.0,0.0,0.02450092184661474,0.0,0.0,0.015103138067500837,-0.01061495244882233,0.0,0.013893052786903252,0.014246606125938031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03429347866866619,0.034669998991091924,0.016630223869544623,0.02289288582259535,0.0019447676609914417,-0.004256856652847378,0.03194215995171894,0.015996889027328487,0.0,0.0,0.0,0.0,0.0,0.0,0.04804836822462698,-0.001063605458412656,0.0,0.005513562588900974,0.020850849776230366,0.01971988200347315,0.0,0.03366995741393458,0.0,0.0,0.0,0.0,0.0,0.02567426459094054,0.0011307432644854626,0.019283567146463083,0.006291772585427341,0.008612594852941174,0.0,0.0,0.0,0.0,0.0,0.0011768564092360851,0.0,0.017620362283528552,0.0,0.02763764759369951,0.014609434961619273,0.016677603515859597,0.004803956270588335,0.0,0.0,0.009655593064381173,0.00786704774457986,0.0009407051416325446,0.006877663258144993,0.0,0.0,0.0,0.008742684173774582,0.0,0.00010821735543978421,0.0,0.0,0.0,0.0368089148467672,0.00927828679719987,0.022430593957730845,0.0,0.0,0.0,0.0,0.007619824989840349,0.022611125081537918,0.03358237909135047,0.017998842834685492,0.02700843365916223,0.0066814266990658676,0.007646939058375223,0.0,0.0,0.014086465266879697
ACOX1,0.0,0.0,-0.024019187172178203,-0.018088453223283674,-0.013733100132336324,-0.017169720379696673,0.0,0.0,0.0,-0.007507925697439012,-0.04479116928042826,-0.01602493462242262,-0.006124512294969505,0.0,-0.012354621256574955,-0.033231233830069845,-0.011128504511615967,-0.024386555124802114,-0.028353703064631603,0.0,-0.02130854391316433,0.0,-0.0008967241454908904,-0.05571555375710202,-0.028068127251035767,0.0,-0.04620788043778448,-0.033460766571603615,-0.04640877308546416,-0.01828668825640129,-0.006349531498631239,-0.009939097515096891,-0.03169020376057087,-0.0380918481447407,-0.013310718875024215,-0.016062386539440206,-0.013586561046129203,-0.029191249431021596,-0.024096192172205117,0.0,-0.019044463743669485,-0.029168414699956253,-0.010084224380284704,0.0,-0.045571411819024334,0.0,-0.026477041486579752,-0.035967098590522835,-0.009993622257911535,-0.0005500780602744949,0.0,-0.05489528711022097,-0.015176471829975767,-0.00835551057760042,-0.05685340180280534,-0.013501301911785758,-0.017032055836158293,-0.004627993479110424,-0.03787821129487489,-0.008534535396476731,-0.009720803817889078,-0.03228213488864369,-0.025267622206467815,-0.003946227789723578,-0.004533359933793886,-0.02041203957285823,-0.010796835941227267,0.0,-0.02155227232502273,-0.018636217234482323,-0.014149429927218576,-0.01931741901298619,-0.010832233776388426,-0.018815397873113593,-0.019135350614852723,-0.032500844190310255,-0.02626141627096149,0.0,0.0,0.0,-0.0157148879665646,-0.009999509322266094,0.0,-0.04833016242568312,-0.05432826096534124,-0.02423082922915655,-0.002744027312221067,-0.016445034476040867,-0.02162395944644068,0.0,-0.013580079374389481,0.0,-0.010738101691358928,-0.031089292956605858,-0.00733431084636497,-0.010038828465447238,-0.00786636339735973,-0.002807957427549281,0.0,0.0
ACP5,0.0,0.01568966748963928,0.0,0.0,0.026816578396484908,0.0151177703784154,0.0,0.004672644798558875,0.01750773309620633,0.027155681651485394,0.020762235811966085,0.0,0.0,0.03559857598079856,0.04182814790632079,0.0,0.0003286665414593223,0.01052561334270605,0.019585832667478657,0.009525240929871647,0.022330319279086682,0.03618026438525813,0.0071449911551641565,0.023995576337642575,0.013526620444077753,0.030270374228430666,0.0,0.0,0.01915084261833279,0.0,0.0,0.007462932751419439,0.0,0.046986109051969795,0.0471785399433171,2.8326094854537076e-05,0.018022228697078056,0.0,0.02081696469006593,0.011535937908544678,0.0,0.019257081057021095,0.0,0.0190200746670968,0.016622527017004257,0.009745564665156293,0.05173800157015642,0.00936058508373207,0.0,0.019331101187767517,0.026952837433730437,0.017786429160588504,0.0,0.0,0.016494472612589368,0.018421257579730937,0.0,0.0,0.0,0.02431033200721521,0.0,0.02692742884000968,0.0,0.015164109014288427,0.023289115651386742,0.02284076191073314,0.013327161296122755,0.01740272779752975,0.0,0.00013583051727896302,0.009729249262224168,0.015076806529037487,0.0,0.0,0.0,0.04037724744563702,0.02635336585830166,0.0,0.01206684773926358,0.006432738408069715,0.025277874215733017,0.005992488436443719,0.031088558858143774,0.0005963060186819731,0.04652874709854134,0.0,0.060839933967728854,0.011712447589948112,0.014890798677793004,0.0,0.002194540799157037,0.04275251382116125,0.02864596804617679,0.0,0.0,0.0,0.015473005591049919,0.017078554178035055,0.020701038290227083,0.026493385436066226
ACP6,-0.02283697375664558,-0.03468529063032334,-0.031098902138434626,-0.022576432029664036,-0.0025666658389737404,-0.0027826977685363502,-0.011094918559735212,0.0,-0.02315354075830756,-0.011529280906252479,0.0,0.0,0.0,-0.024060065034900848,-0.009087851973390574,-0.0011791212913464255,0.0,0.0,-0.010406714973778429,-0.010498848151450826,0.0,0.0,-0.0109500552731615,-0.02256812514770379,-0.019003120734925782,0.0,-0.024704204971823424,-0.037974316063866746,-0.006741177888499149,0.0,0.0,0.0,-0.04164495566168655,0.0,-0.004586030449603439,0.0,-0.03145765406133649,-0.029504223912774494,0.0,0.0,-0.00876430549204279,-0.0031278848569456143,-0.015894832276063857,0.0006589373577553352,-0.03693316958754782,-0.002562159601304814,0.0,0.0,0.0,-0.005783492735006862,-0.012357656836265394,0.0,0.0,-0.013623757654893352,0.0,-0.013719354950544835,0.0,0.0,-0.005306450151076485,-0.015542009484151919,-0.009009325480387473,0.0,-0.004740670618896494,-0.011718260533775482,-0.02983090423529217,0.0,0.0,-0.010703699854720307,-0.01999326255893194,0.0,-0.03623541964529088,0.0,0.017164046330413216,0.0,-0.009344349416484958,0.0,0.0,0.0,0.0,-0.0063875456989679474,-0.0020270576715980364,0.0,-0.037711985934469956,-0.01765374322187329,-0.029467089141556112,-0.0038405439665476827,-0.03437883873872648,0.0,-0.0023981382285582233,0.0,0.0,-0.028324655093440416,-0.0036349902204983755,-0.027473743373273622,0.0,-0.020069420289586987,0.0,-0.024087653559028838,-0.02646726260427162,0.010550187103788194
ACTA2,0.0,-0.021992048256842728,0.0,0.0,3.814743699494612e-05,0.025323264894739364,0.0,0.020965099499074522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007358772122994705,0.0025508306065669013,0.0,0.0,0.0,0.0035671387718032455,0.0,0.0,0.0,-0.0036471220152714326,0.0,0.0,0.0,0.0,0.0,-0.011723907384876315,0.0,0.010262298690111917,0.0,0.0,0.0,-0.008213023765805846,-0.00318961093821247,0.0,0.0,0.006039586592632536,0.0,0.0,0.0,0.0,0.0,0.0,0.010853535013123538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034012907808769685,0.0,0.0,0.00878920842672619,-0.00013427249606650526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168324401104837,0.017679414031186856,0.0,0.0,0.0,0.0,0.0,0.0,0.019302103460917354,0.0,0.0,0.0
