,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACAN,-0.010993361439956382,-0.011948685103801673,0.0,-0.014947543610788013,-0.034739645223911354,0.0,-0.04842571263154849,-0.016738883337314173,0.0,0.0,-0.0005621694862297331,0.0,0.0,-0.006869350741850947,-0.03364597973178077,-0.026782965708309552,-0.0054078789224779175,0.0,0.005907415110273752,-0.013293631531290196,-0.019382552724923813,0.0,-0.02141048008587783,-0.04264485857612001,0.0,-0.004301978728507697,-0.013309161379089855,0.0,-0.026784154956247846,-0.018677136340867633,-0.016103076803869937,0.0,-0.033240325544687116,-0.0052481185378605985,0.0,0.0,0.0,0.0,0.0,-0.023026890980192113,0.0,0.0,0.0,-0.0044671264556233985,-0.004038027840288978,-0.02151985853273091,-0.0006092375946619704,-0.0013669979697139114,-0.014701381977029322,-0.012978843921456058,0.0,-0.07963676816695817,0.0,-0.02961124193001589,0.0,0.0,0.0,-0.013071966582983414,0.0,0.0,0.0,0.0,0.0,0.0,-0.020132549711352178,-0.05592654601237905,-0.009395904314084253,0.0,0.0,0.0,-0.03880610382024064,-0.03384665167820874,0.0,0.0,0.0,0.0,0.0,-0.01732409386687109,-0.00164996593385482,0.0,-0.0040982089800669814,0.0,-0.03417585373083599,-0.0019638572826186436,0.0,0.0,0.0,0.0,0.0,-0.017358658048069305,-0.03462170767031165,-0.020363250859061374,0.0,0.0,-0.001283902429118323,-0.02409541023423783,0.0,-0.018992472631801618,0.0,-0.025920983417084945
ACE2,0.0857494343926244,0.03973522888745205,0.0331447254529241,0.07839537437172035,0.02184342895916406,0.015396942268855568,0.020122599764591957,0.07615219051950349,0.012846976791961735,0.03934239923871429,0.046879487876379876,0.0,0.02650131410924563,0.03871699179472053,0.03443038200356482,0.05294762064142084,0.008323127991002313,0.03291176785311051,0.027127470079129624,0.0025623744525657566,0.016066869684125143,0.058557431167449644,0.03197333933534445,0.07190484270104706,0.07177164755251185,0.06842817175861303,0.06324732421495996,0.04903118834760126,0.001960989636308516,0.07817600638310335,0.0404771631324329,0.04344066472417016,0.0366876752150201,0.04488608557470427,0.016475032920456965,0.03447987615644489,0.02202235469275436,0.06792184311177811,0.0,0.011998463517831064,0.055639959221837385,0.06920642038222884,0.07440024589515525,0.044090412295206126,0.06685262271630851,0.011130086538794754,0.03165148325280775,0.04895875837203711,0.04264459789980305,0.01633694068057786,0.0466428185811188,0.049025127095531466,0.08558015159832591,0.02002717829330561,0.03230549993115602,0.035324968157443376,0.013524519239860876,0.05242708476224309,0.03461339052786055,0.0185297773259503,0.06631910072338193,0.025193651090714017,0.05099196388616049,9.660708444575214e-05,0.05908108858323465,0.06418689957692489,0.06689845902169705,0.03501046407214204,0.029797055131382706,0.028789143070264856,0.05558248807909878,0.030561655479096766,0.03315698393574829,0.04286543067339562,0.03543328437073993,0.0,0.027538220077405876,0.0489881914203378,0.015890006036645036,0.03597491016469432,0.012693592705397803,0.011160426106431223,0.019796684655303178,0.08723938671623686,0.07746210523954214,0.047777151688671235,0.048549917045838435,0.06255247400654484,0.0,0.007683403003495337,0.022515353342268733,0.05617565346449959,0.07575265744218128,0.05393795998343185,0.10353318062583858,0.06772004344369946,0.0343110989550205,0.043653229955472106,0.051107585427026044,0.05531732504439911
ACOX1,0.0,0.0,-0.018150183752769597,0.0,-0.022045538569726488,-0.011456831800463207,0.0,0.0,0.0,0.0,-0.019900358449900856,-0.009352635430732469,0.0,0.0,0.0,-0.017902473816541455,0.0,-0.017326369527101437,-0.02434830492973307,0.0,0.0,0.0,0.0,-0.04739590050320019,-0.010165188968927456,0.0,-0.0306691335996523,-0.02255788596566795,-0.03882303687257083,0.0,-0.0013627777583062896,0.0,-0.02321268298012257,-0.03198874476440011,-0.003915303261956919,-0.005157040379995439,-0.004718971934648925,-0.010798825644020509,-0.014011497966696842,0.0,-4.00831882317753e-05,-0.01569185908611466,0.0,0.0,-0.03299522019914396,0.0049007324193799115,-0.016471317641809723,-0.010758420308978365,0.0,0.0,0.0,-0.04584081462398343,-0.016218975939915226,0.0,-0.049121321774873605,0.0,-0.01477218700372397,-0.0034711768014897538,-0.009700667134614354,-0.005933365816791502,-0.0014073841043972279,-0.016179289601519587,-0.0046368687725405425,-5.208083370941458e-05,0.0,-0.004308550262906241,0.0,0.0,-0.012762782693417163,-0.0032694830896474614,-0.014162187638002666,-0.0026469952818933542,-0.004272255881205861,0.0,-0.013169857972735058,-0.03759402144039272,-0.005430710298002674,0.0,-0.01675762820218617,-0.0023104970417803902,-0.020859577834468297,0.0,0.0,-0.028961336030474308,-0.02955508947466417,-0.01098349266521859,0.0,-0.0035484362845799103,-0.011936172147136404,0.0,0.0,0.0,-0.00424144964682338,-0.007115016355528725,0.0,-0.005284611623113911,0.0,-0.003400013557722095,0.0,0.0
ACP5,0.0,0.017099315265890314,0.0,0.0,0.02433521360240869,0.000419248376822789,-0.008495533938030797,0.007918788659796937,0.012667000809227209,0.012107550482267046,0.010565914102547121,0.009771204521377712,0.0,0.0007776877545172746,0.03860027801625257,0.0,0.003077457514102436,0.011196927120814064,0.016563012835149455,0.012176805362268424,0.0150167309052461,0.018133398458008702,0.0,0.007084171556386267,0.01449174664849874,0.021842602071752898,0.0,-0.002601755718021525,0.0,0.0,0.006833373496723384,0.0,0.0,0.03610894852326054,0.0,0.005326727688106905,0.0044962385466028685,0.0,0.011983147316025951,0.0,0.0,0.01680321258898949,0.0,0.0,0.01545580817019559,0.005312003562561676,0.043448153058464355,0.0,0.0,0.003371145441960031,0.0,0.015834843556985976,0.0,0.0,0.0,0.006075369391515994,0.0,0.0,0.0,0.0,-0.00742995942872115,0.0,-0.025532970625659727,0.009826442268872335,0.010864889778161108,0.0069358417519722595,0.0,0.017221020348917166,0.0,0.0,0.0,0.0004440341452446274,0.0,0.0,0.0,0.01931219204161404,0.022137266396498247,0.0,0.0,0.01609975978619733,0.0005316039438892984,0.0,0.013658508652614193,0.0,0.01877175892290365,0.0,0.03950993736968418,0.0,0.011375510154950034,0.0,0.0,0.02986100771911621,0.01151197166693614,0.0,0.0,0.0,0.002824277453855339,0.002205428499518511,0.02167605645307588,0.020343980315862622
ACTA2,0.0,-0.016982610546888818,0.0,-0.01960153193973494,0.0,0.0,-0.008250125192480487,0.0,0.0,0.0,0.0,-0.020978313414281555,0.0,0.0,0.0,-0.02435976576250555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010848688184739158,0.0,-0.033953373677733656,0.0,0.003029163518188621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008831559723276327,0.0,0.0,0.0,0.0,-0.03985263339236172,0.0,0.0,-0.015349614602692836,0.0,0.0,-0.016395266052151223,-0.010541593872321548,-0.017387381773052865,0.0,-0.008310351079382296,0.0,0.0,0.0,0.0,0.0,-0.017022752067617903,0.01258212717921863,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003495059707689665,-0.034277475125842116,-0.018396808309946777,0.0,0.0,-0.029616604350417526,-0.01799292042017007,-0.006463068858246532,-0.033399365168847193,0.0,0.0,0.0,-0.010489063564757952,0.0,-0.01078242717143648,0.0,0.0,0.0,0.0,0.0,-0.011597397168430527,0.0,0.0,-0.0014407879020354388,0.0,0.026233836270745,0.0,-0.009549356335070027,0.0,0.0,-0.007188645239534303,0.0,0.0,0.0,0.0,-0.013133221654135305
ACY1,-0.10273423194431254,-0.08555586904652746,-0.0971529917279908,-0.09185577902302938,-0.09134414385650302,-0.04855633582538095,-0.07113656866066316,-0.0844824567501694,-0.10121351290075441,-0.05619197304750313,-0.06803763337067234,-0.07557633935530997,-0.028692398089513273,-0.053438457072112255,-0.09768727349874803,-0.08583233703754278,-0.1473190550966075,-0.06270784105679864,-0.05823118424941666,-0.047242700562889955,-0.1223077888011394,-0.11678846703075277,-0.08792290027203754,-0.09298426028738797,-0.12996136659975657,-0.1171147354372482,-0.05607493601076471,-0.012706095647279373,-0.07282997882878778,-0.08311405350645613,-0.11646558749483328,-0.039451301657385265,-0.11944393127929619,-0.08664417148617382,-0.07013498353020041,-0.08764338247010682,-0.09838941768264159,-0.08193786815793394,-0.10024745647801035,-0.08198794869370826,-0.08807246014498464,-0.11745978207039774,-0.02922800432430408,-0.04556326710642102,-0.03320786001942652,-0.06273384339396933,-0.066537838837034,-0.06847239653275265,-0.10038780749618806,-0.07780039977630131,-0.11153782726913482,-0.04410500693901423,-0.06649984623860514,-0.1027032830911369,-0.06433297927449108,-0.0767318313884272,-0.11278049516595522,-0.04331091050352699,-0.11575957663944654,-0.07739695158147987,-0.08561553824305705,-0.04839199293178081,-0.09189312812667937,-0.04611998635048957,-0.12717581915954498,-0.08462296777019512,-0.10867820114668343,-0.14592151968848355,-0.0357445030348699,-0.11955399612788942,-0.12468506046816562,-0.08045519730581177,-0.05287391591416563,-0.18707211366568696,-0.08176502732322243,-0.07710409920651355,0.0,-0.09148704823395531,-0.06653483825133638,-0.047981727229426084,-0.07640306607900577,-0.10234943163109404,-0.10784265661830925,-0.08634600002619032,-0.08464855076073739,-0.09528190980567239,-0.07756167625541142,-0.0891228403497161,-0.061037296360168636,-0.022761729160467446,-0.030986203927753194,-0.09739341727573801,-0.15567734087758592,-0.06959383411668466,-0.13313113697723342,-0.029771163431399256,-0.05380011722082656,-0.10268060706149763,-0.08588126020215603,-0.07432071381285472
ADA2,0.053890613128370214,0.06951979749415195,0.0804280322018177,0.052002213976691566,0.02601784986679487,0.023493249209164437,0.106078231924465,0.04437708729842826,0.05291491993102006,0.05319530441541346,0.084850404011422,0.09173762820761402,0.07621468392590211,0.0766805991982264,0.05443618262606774,0.05791012174216055,0.01276438338158499,0.059886685875569196,0.013937380966943403,0.06924781892887302,0.04124993796808046,0.09055048510610306,0.004829226205441347,0.03381603310102274,0.02894751717072541,0.0473675701645399,0.06574830748030366,0.038205796043490385,0.06409039031250598,0.049869203559199916,0.050879462582541786,0.11033249019376015,0.0639331765660653,0.05517428496413896,0.07278278399031446,0.033671624912370905,0.03974899210736977,0.08308340612901731,0.07444430725584905,0.019517420176483568,0.017929274838427038,0.08210715867478995,0.045296003479413136,0.0792697668775522,0.056806757845907135,0.03532180434322432,0.0736790314366759,0.00970608374278401,0.07022751622335305,0.060292510812879056,0.034018710967112696,0.0502779825921475,0.05353373390543743,0.06614167110209178,0.06180803818508245,0.07885836973665014,0.06700948303859249,0.06349781265979773,0.04792295649412881,0.07655475342104576,0.0707041291788362,0.0,0.048957489240619025,0.030859946846946554,0.08102814863324391,0.04994467062233389,0.0,0.02198895605527207,0.02564822208653736,0.0011974958804643382,0.053861529866353126,0.036938229078524114,0.04581208264176432,0.09940621567043953,0.058822441444474564,0.01804121375779652,0.07628251188924148,0.074535549659986,0.03558939589462794,0.0636003248223828,0.02046557229275188,0.04977827659329428,0.08161447644173887,0.06551928691179804,0.018857254301598077,0.06251020922793431,0.008617261315608696,0.04589558245736964,0.05214989122526988,0.0801372585747895,0.0481852193330894,0.062805960683328,0.08971702097214976,0.0427514872938547,0.05085438302283032,0.07000545112954493,0.02492669760084285,0.06806981964563567,0.0033190167146208258,0.035794846544872014
ADAM15,-0.02099837903394648,-0.0020290112242167648,-0.02285274887145707,-0.03659511584608613,-0.00033492248437138537,-0.05304714989704045,0.0,-0.01670096274493647,-0.036460982338924294,-0.03808366738538398,-0.05279102139257183,-0.018972230620053387,-0.040519757574277476,-0.016042286717305818,-0.0032308827512162277,0.0,-0.02154038107310806,-0.031283859161216176,-0.04779452108801572,-0.0005615741257634327,0.0,-0.06430014440746347,-0.020268406330478744,-0.04753787003612298,-0.029777043569481597,-0.006204735466026702,-0.0379989376691141,-0.045017140940507634,-0.008072109167921001,-0.013859236212561058,-0.07743574423844235,-0.030804126629026353,-0.045625640739071195,-0.049538892254073735,-0.05217852871401805,-0.02645282388882168,-0.031154120231060803,-0.017424086603787314,-0.042095802832445565,-0.02695758732074666,-0.02048190270675228,-0.040170367051678965,-0.013238118751426166,-0.04283545007513228,-0.05009256592084179,-0.0226844364402595,-0.006155270860704895,-0.041131497910596365,-0.029394564135970924,-0.06282854736568336,-0.028658130957376203,-0.04181582363073015,-0.012965497967286594,-0.03669456754590955,-0.050106667281274136,0.0,-0.015396465677304003,0.0,0.0,-0.03566162944101825,-0.0337116014586724,-0.021351658172468643,-0.03608109273389231,-0.03520641201221099,-0.03375756496266929,-0.03406530826119528,-0.022368103210416525,-0.04368380885039914,-0.021952340386572542,-0.004995280593141987,-0.009345060046257658,-0.009811422549387298,-0.0236145972516784,-0.07546528996695417,-0.022417848165973798,-0.016888102340961483,-0.0428931485928091,-0.00889634779947714,-0.04771094043439729,-0.018501059193752268,0.021528659899174605,0.0,-0.01656344579783615,-0.04594393030257157,-0.01351186971078194,-0.002859486355079436,-0.020615215354941933,-0.06264567122271758,-0.015165240118529374,-0.02965707706896459,-0.0450912272139526,-0.05286284775888329,-0.029412617442095054,-0.027287845866965876,-0.029947863525095767,-0.0032201837144475304,-0.0635544560904162,-0.06611328924253031,-0.050611996578394214,-0.05382911643615902
ADAMTS13,0.0,0.008510021488626751,0.005308753997089142,-0.01160070254419202,-0.012180255370866169,0.0,0.015222071857585007,0.0,0.0,-0.0021752525829967315,0.0,0.0,0.0,-0.030304449693217116,-0.0006444230059975261,-0.01175611112446359,0.01515049617196391,0.010533725412069449,0.014626100766895644,0.0,0.0,0.0,0.006967936966441618,-0.027710741186029224,-0.014429699348875901,-0.023885090824436853,0.0,0.013748158481431225,0.0,0.0,-0.009683146990195079,-0.0048770026293358205,0.0,-0.0007117237298828815,0.0,-0.007524367525847031,0.0,0.017028623818636106,0.0,0.0,-0.030702264759935666,0.0,0.0,0.0,0.0,-0.004784273990318135,-0.010657002762851385,0.0,-0.02421621539579565,0.0,-0.01935286111841398,0.01862619569451915,0.0,0.0,0.0,0.0,-0.01989761551520773,-0.009254657429701316,0.025930779168475648,-0.011732544952496088,0.0,0.007067492918738623,-0.018737129699783583,0.0,0.0,0.01608771937281422,-0.013579916347568308,0.009239152089340518,0.0,0.0,-0.016345163261698836,-0.024869643012210733,0.0,0.0,-0.010384330965042515,-0.010609070762960558,0.005401332615930243,0.0,0.0,0.0,0.0,0.0,-0.013432403830672594,0.011429039314153412,-0.01532250975020162,0.0,-0.005723334866824411,0.0,0.0,0.0,0.0,-0.015875654614965283,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004990858099907394,0.0
ADAMTS16,0.0,0.0,0.000852834696732432,0.0,0.0063047149122748185,0.0022181777683925874,0.014354658423663893,0.0,0.019759050314972763,0.0,0.0,-0.013771658844708993,0.0,-0.01569898198994021,0.002850908745313171,0.0,0.0,0.0013666046397698673,0.007347194654427967,0.0,0.007971816729790469,0.020920153235919427,0.006200549049104986,0.0,0.0,0.00410631863127856,0.0,0.0,0.014536157006828155,0.027217599759848155,0.014536172182167049,0.0,0.02493007942345873,0.01931676213962614,0.009540553812798122,0.03261620614312743,0.004652613879155733,0.0,0.018154478948240817,0.003496776262642405,0.0,0.0006845431436559208,0.0,0.0,-0.014758685664460853,0.007414225681912247,0.0,0.01919427111067787,0.0,0.0015359333310088843,0.0,-0.0006885335905053854,0.0,0.014199557069614956,0.007390552937061076,0.0,0.02705716531460348,0.0,0.014002913435253691,0.0,0.011029493500521084,0.00844291279406335,0.018968755729851513,0.022016618628227857,0.0,0.02583614533137764,0.0,0.0,0.0,0.03906259949082204,0.0,0.0,0.0,0.03316730041103413,0.0,0.004312745318909772,0.036147439750583,0.020378967558659793,0.0,0.0,0.0,0.0,0.015383312999323816,0.0,0.0,-0.011911614674228282,-0.02168401129400467,0.0017418611000112583,-0.01540353851359782,0.0016587677853500881,0.006729722163247942,0.013248422852516244,0.01894532640077022,0.0,0.0,0.0,0.0,0.0,0.036811157390701295,0.0
