,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACAN,-0.00397143922056584,0.004922127389414326,0.0,-0.04048662478825213,-0.06938679353363623,-0.005333947703740246,-0.06832320025363567,0.0,0.0,-0.10316683199173383,0.0,0.0,-0.04996101825389739,-0.007771715188134317,-0.07336722346271501,-0.06390316864378434,0.0,-0.023407873418702797,-0.03885217913566414,-0.012562006772853667,0.03572840885717766,-0.03063183538984504,0.01912608029024646,-0.0023226060860460063,-0.02474399986147743,-0.015999659214476932,-0.08121211798368988,-0.007133809140388358,-0.009997433470513089,0.0,0.026029039091455222,-0.045828530966858634,-0.013002622517014121,-0.04781076812107478,0.0,-0.022603602937290357,-0.014821698789639329,-0.05699515198670392,0.002104108238516119,-0.043261629198118066,-0.023584021848877413,0.0,-0.061969201363630835,-0.05646187105672649,0.0,-0.0413872674997215,-0.026544606748730274,-0.06888983805364902,0.0,-0.01274665316507768,0.004278500062464051,0.0,0.0,0.0,0.009579211708747119,0.0,0.0,-0.005890604209641562,-0.060415399787606995,0.0,-0.0009910764038789845,0.0,-0.0802590433259375,0.02268775736612248,-0.04334240492005929,0.0,-0.0494586803312249,-0.018374840334285398,0.0,-0.007359308566135261,-0.04084385097139932,-0.00846761384189467,-0.05467322736725075,-0.024562607323517404,0.0,0.0,0.0,-0.028302300141066956,-0.08685301996124264,-0.04378924056578778,0.015772354639217584,0.0,-0.00940997000516479,0.0,-0.03478067561438287,-0.06604725547886943,-0.0007685520241321767,-0.023109615177194055,0.0,-0.052098612887295656,0.004590655015122796,7.602000672751145e-05,0.0,0.0,0.0,0.0,0.016066275389711716,-0.05177728096653612,-0.0437975010826649,-0.029898092542681023
ACE2,0.0393140422308095,0.01027935655346584,0.024325677067220997,0.03730960598008816,0.0,0.038234807140818866,0.048875378093391944,0.06314311064107812,0.0,0.016910393849483313,0.10036471842057726,0.04948028427509729,0.0107108242475176,0.04801985083471586,0.04194448609156482,0.04093181777222391,0.05887750943083524,0.0818183874926927,0.11214925360515962,0.0009687639618613467,0.07001183585539658,0.020421479563886766,0.07249042543165178,0.020931863474924484,0.07753195042202275,0.09030682296898253,0.07090707211290473,0.03143610810444101,0.0,0.057996244797382523,0.036987424039123556,0.06201942612208927,0.0006548937165961303,0.08617709785274866,0.04892230990022491,0.01967990465292593,0.04619995429708886,0.08206876834379458,0.014097317788586099,0.02999016628514242,0.09063258270602492,0.0,0.09820004714858153,0.06429888820358015,0.08754851935125103,0.04817434835136444,0.056922849548159134,0.014244239134549986,0.08239056110520838,0.07482472596245943,0.04553368916711303,0.02969129290394161,0.03917425450353234,0.0021551955569473987,0.07046949475870351,0.05906300795996476,0.03160179734174152,0.03281371083781036,0.03998073870470571,0.06564143795895867,0.07729342004120017,0.042843726151541695,0.11318573740686802,0.0,0.03960161352984665,0.03846288649490701,0.052661125957569915,0.05218090435233834,0.07003839546381749,0.0943375051327143,0.03949190088363556,0.0,0.0,0.015977024205167476,0.08255492317712018,0.0,0.04928908144421956,0.07883154467066796,0.0,0.10061161331592171,0.06749026336806377,0.06912921128619758,0.0770530766828976,0.03751457397686711,0.05803295546932877,4.8385685742345075e-05,0.0434664101846328,0.0,0.0,0.0,0.021247412760666502,0.08968535523850837,0.06275683149947747,0.08383182269383158,0.11877381102798644,0.06770781794219628,0.0911786084536355,0.01972145500287154,0.05687040136289088,0.09205708438560792
ACOX1,0.0,0.020515632019797145,0.0,-0.033902639838365646,-0.0025064556156222605,0.0,-0.04544664984355673,0.029919638087978716,-0.013528557814386168,-0.0368640076102373,0.0,-0.017984271253110116,0.025173371969203766,-0.0024394397229075097,0.0,0.010379769890696378,0.0,-0.0506412356060261,-0.013075064083243184,0.0,-0.04240691708536022,0.0,0.0,0.0,-0.020497916317512275,0.003142814852355803,-0.019315368426431903,0.021742818944143,0.014510779032210708,0.0,-0.005941251142279987,0.0,-0.01944227754356628,-0.04090624031728351,0.0,-0.02359074485589357,-0.05271097802533318,-0.019031126216561566,-0.009340143627276734,0.04591339984788789,0.0,0.0,-0.03513072730732625,-0.027732750042042315,-0.06494801960322469,0.0,0.0,-0.0032819969969510613,0.0,0.005925045915769138,0.0,-0.057211212180771326,-0.0024960042133193344,-0.012455565422741456,-0.05557912977215623,-0.015429338651033981,0.0,0.0,0.0,-0.055820259250305246,-0.035237755863218624,0.0,-0.08145347994952175,-0.01999220509616333,-0.02745761693455652,-0.031015786654671747,0.0,-0.03342257138496271,0.0,-0.06253164410903427,0.04826959262878729,-0.017108851673119787,0.0,-0.006206202498379983,-0.08106183025378874,0.0,0.0,-0.012063129283621894,0.01700324100067916,-0.007424765173835712,0.0,0.0,0.0,-0.04212917650180811,-0.007050250373474015,0.0,0.0,-0.016129931328445583,0.0015201224662318691,0.020016151622076303,-0.01531510152251397,0.0,-0.030333707957622982,0.0,-0.02441052361968641,0.027733582375318817,0.0,0.0,0.0008816546149573032,0.0
ACP5,0.0213756837585584,0.008437818642502393,0.019122948658008246,0.03613586329498688,0.0,0.005131307689368034,0.0,0.018964474890271303,0.0,0.05280909674464341,-0.006778204201926099,0.011370256733780202,0.0,-0.024785094917677712,0.0,0.040344148675168674,0.004097145802203982,0.022535474268735728,0.007103151399534023,0.0,0.00010826640640945108,0.027667015497820333,0.0,0.0,0.044308683548442626,0.05254502965828058,0.0,0.0,0.02928454892212523,0.0,0.0,0.02309428192425623,0.008913282916790149,0.04488321862718731,0.024585349268701037,0.00327885990180017,0.04165295822782302,0.057665848773610806,0.01117610539177277,0.01963720354921359,0.0,0.018398020266943572,0.016268820567531456,0.010458951491533662,0.0,0.018037203978436736,0.005374673450026993,0.056063401795690894,0.0,0.06921738192879019,0.03534934437389905,0.024828145767750633,0.0,0.0186693556930614,0.0,-0.033184645769643965,-0.05308154130456463,0.0,0.02809307487306741,0.0,-0.008376185649824735,0.010095351559624615,0.012009352982681342,0.0,-0.001337076373998837,0.0,0.0,0.0,0.0,0.0,0.02697622525182843,0.009207124454044239,0.0,0.0,0.0,0.03482526668101104,0.07189127874770702,0.0,0.0,0.0016627020578358844,0.0,0.0,0.003111390506473475,0.0008850586964202993,0.0,0.0,0.03501403794901543,0.03090571389625036,0.0,-0.002103493246527987,0.0,0.0,0.007710052982357506,0.034277410574631434,0.0,0.0,0.0,0.049135265927644035,0.04914012310234316,-0.03200146505773985
ACTA2,0.03111699937557746,0.0,-0.03483329814671428,-0.003479028930452077,0.0,0.0,-0.04418531521580287,0.0,-0.013692790721382925,0.007694696511667273,0.0004700319439706554,-0.004739318518149902,0.0,0.0,0.0,0.0,0.0,0.0,-0.01990085266781099,-0.07609924167400378,-0.02459645387108266,-0.010939667836062567,-0.0003033875989237161,-0.012996155608886095,0.0,-0.015977144127819275,-0.034916495129619037,0.0,-0.02949488536766596,0.0,0.0,-0.003015136569427492,0.0,-0.010879338467256933,-0.02023760510260515,-0.03838954093364409,0.0,-0.018877939530921328,-0.0257401602209087,-0.0061602183285213155,-0.012070081798776024,0.0,0.0,-0.07371587668385418,-0.03360047459398124,-0.024955849565870353,-0.010957784034122623,0.0,-0.024994390383418698,-0.03758106526120712,-0.01622099002242062,0.0,0.025957866474771517,-0.03328015045432945,-0.012002963443482057,0.04630478188045969,-0.0006229918983972569,0.005564068080013474,-0.05088921441217597,0.040463034898195534,0.0,0.0,0.0,-0.008370721141356395,-0.05744709548039344,0.0,-0.031776354292291975,0.0,-0.04373570881389039,-0.09485307781124017,0.022509514086896762,-0.05578987174537614,-0.06018105445225049,-0.06172259039658636,-0.04170703440767464,-0.034315942653816024,-0.04980096584157571,-0.006635485209742152,-0.005480416899713069,-0.0029127684327023852,-0.014345937278067274,0.0,-0.012445218504487295,-0.055050701489277466,0.016163262802303475,0.022094518243430852,0.0,0.0,0.0,0.011838922610537272,-0.03123178091123409,-0.04529951624702749,0.0,-0.01027412582798173,-0.0026012670848470114,-0.008901055059843711,0.0223285928506201,-0.018075707170516993,-0.019452649415853764,-0.02398638903876489
ACY1,-0.15043550031250227,-0.11044261197202075,0.0,-0.03385548239169669,-0.0796042051536564,-0.17044159418407345,-0.047062339398134444,-0.13058160564675164,-0.12997534727266463,-0.17483244043516197,-0.2207666850491434,-0.0848340432178797,-0.08341069508028141,-0.09042710549418699,-0.1338144080632734,-0.13242289049708872,-0.04010204604180396,-0.12215511713521938,-0.18561321970551845,-0.0597236459403871,-0.1029185853625651,-0.18060797391465225,-0.04787882153918078,-0.19132105224215204,-0.13278145011102968,-0.1358080537763567,-0.16938735590713055,-0.021686533446157678,-0.051324101912255365,-0.02985515007891209,-0.13815211997170523,-0.06845053732153905,0.0,-0.05118113803806423,-0.05700899020649791,-0.1259955792648268,-0.10297704576730665,-0.07622808383194497,-0.24483329378576324,-0.07841439187372472,-0.161240638781103,-0.10643343293577129,0.0,-0.07860467535754519,-0.21134109873629242,-0.07887227600718487,-0.1158336710910706,-0.07380302708605396,-0.11293074657051362,-0.14230284129646867,-0.06920690901811825,-0.13201829849513594,-0.039416459968411616,-0.13307415782793572,-0.14871463013651776,-0.03004449655979192,-0.06969923005079581,-0.09156291774241655,-0.08260108797926305,-0.032924927223608784,0.0,-0.01585519326854259,-0.1052576799064225,-0.12048940708934962,-0.13553782669583403,-0.12255256844869013,-0.14428211263611432,-0.1276645690161186,-0.14380766495613065,-0.14750047243850545,-0.10441097154298244,-0.030434167346130702,-0.08883756814618295,-0.12843380027847393,-0.11300331191457928,-0.19469344711573425,-0.06735884857025838,-0.09389249888694552,-0.0529048773103811,-0.09263684494417516,-0.14201853582008253,-0.14498595906247197,-0.19704590565421917,0.0,-0.0617161571468692,-0.10074927841137839,-0.11869135669074411,-0.09136542116213464,-0.07582224886291505,-0.05278251125916527,-0.1570149010647917,-0.19312144938901374,-0.08480789736829689,-0.0533695563238968,-0.04994875011726831,-0.06881510475897046,-0.0954121553464036,-0.08118738285152823,-0.06377387581797782,-0.07846974941125277
ADA2,0.06633342585650383,0.11741742283898281,0.057655271482947704,0.023812033459066812,0.01570318112934109,0.018679129391625193,0.13186401536384335,0.02945028527802779,0.09114090178160288,0.0,0.04689788270727554,0.08664661300499792,0.10779359912087233,0.09813963154668487,0.05637875338969262,0.07810479663424333,0.04826234900489569,0.07376992758418859,0.0,0.08596320034059234,0.05840111034144236,0.06885829307221433,0.04870454444243078,0.037551558850181896,0.03267906027077469,0.04635500026667848,0.01810131409219893,-0.03871433747763933,0.031005986715109367,0.008201795286001018,0.036600623614728774,0.1666311065655986,0.0,0.07219583381309622,0.04638579750966394,0.03420588388186938,0.022320591716759243,0.07528654765273277,0.0337402031222377,0.002553782485704561,0.01871536474266009,0.04497173048839735,0.024547572177849447,0.04359678238323133,0.06260744538008141,0.0037377459894304696,0.09258811562192086,0.026629654709933087,0.01682956473240111,0.014845375186165216,0.05193873260553602,0.03455780055240812,0.05058115966958363,0.04785220289934327,0.09515307311477217,0.0,0.06421134800645245,0.0,0.0823843362125213,0.07050062156498867,0.09989129351511832,0.04453132793289579,0.04688714685259723,0.042174097637865164,0.0,0.01963898862808194,0.0,0.056408812309077155,0.018433594354728244,0.023764068043633638,0.06550805504119865,0.05114127817625905,0.06624802395508499,0.11105126368023553,0.0,0.0,0.0,0.008052580048718653,0.0,0.05150081653515128,0.019339021843032128,0.0,0.09548963988152331,0.01383184437455915,0.051034077504195176,0.0,0.0,0.05725143270483316,0.033418115026349664,0.0,0.09098215874897327,0.1416483678036064,0.08466469889539388,0.0,0.09269346211513997,0.0,0.0437826328410715,0.04458621632818783,0.06055134849980132,0.016129630581978614
ADAM15,-0.02566791615841601,0.0,-0.023628783572707913,0.0,0.0,-0.042952758486945686,-0.06488662773552682,-0.016502087536779852,-0.08509690442849932,-0.040987466091835054,-0.038800922753465174,-0.05930652865287165,-0.0828922822965226,0.0,0.0,-0.04716321987337747,-0.04032919718075068,-0.03977250602457906,-0.022590269208857292,-0.005262715518549029,-0.0029285971882299887,-0.031211218858440692,-0.040400516273104356,-0.053813924155901194,-0.024141732803922015,0.0,-0.06507799448373847,-0.04995028772337148,-0.0394398135922174,0.0,-0.07777561112787715,-0.03926957987535315,-0.06643549349949975,-0.06535505346104024,-0.07747505501477125,-0.08926220697594717,-0.01369493448697886,-0.03325712079001473,-0.03730679126304007,-0.04666809778618688,-0.02972784822806672,-0.035369298867997084,-0.023166384439386217,-0.006164071914521542,-0.08056418500078087,-0.05039046955188575,-0.007376584572755201,-0.03863491420605789,-0.020369799395662965,-0.04343578822501225,-0.02145545709400927,-0.016310663946000968,-0.04459151367321037,-0.02280819183925061,-0.04902637597890444,-0.017400571388939683,-0.03523282416915018,-0.049788047020152784,0.0,-0.060294769821769324,-0.047293454798025464,-0.030904824266916715,0.0,-0.02411938472241122,-0.05568372028306695,-0.05475205670262975,-0.00890788133682998,-0.055609600706383336,-0.07527045892484288,-0.06489314790010964,-0.06187642896856297,-0.050167039022625474,-0.058504067243750055,-0.08627296179506556,-0.04064136773529983,-0.02918884782744701,-0.03348427624156702,0.0,-0.05427287523916608,-0.06799099193214196,0.0,-0.09181434312223177,-0.03198325306045135,-0.0399981645754301,-0.039931133100684954,-0.05927081547423384,-0.013681039506619167,-0.07062729229213364,-0.024547799316959117,-0.0505021483557882,-0.05725991874461563,-0.0920312231839873,-0.04484119828305427,-0.021032430280830725,-0.04688143092788846,-0.08078210440156089,-0.03314303968984577,-0.07423809844405427,-0.08072417992783794,-0.057037310150567504
ADAMTS13,-0.005339490716380145,0.0,0.0,0.0,-0.01792628514956924,-0.02344417469626772,0.02078282307070132,0.02899988575112288,0.0,-0.019470733160730457,-0.04517975015817148,0.00883702284596531,0.0,-0.059102697860869816,0.007175470605103168,0.0,-0.0040884184910785736,0.019127250334334368,0.0,-0.004479856288244114,-0.04969823668350163,-0.05688610003515625,-0.013959591934165221,0.0,-0.021366029131658876,-0.03237941387237016,-0.0082699309845056,0.0,-0.011125085866877577,-0.008597026172053617,-0.0031372928780317943,-0.026322603938676453,0.0,-0.02757260315918279,-0.009614214248505408,-0.006987698323037028,-0.014981339545972104,0.0,0.004294490521825637,-0.03104659351530383,0.0,0.0,-0.03306784727164395,-0.012454295774000245,-0.02990485897050803,0.014661080216269244,-0.0037616343284095992,-0.03236105074307201,-0.006701600463423231,-0.006339259776807395,-0.04904835554472669,0.00675671819155897,-0.021734142256839898,0.0,-0.013576168773003215,0.0,0.0,-0.03096876933644766,-0.06419992884919923,-0.03769788672870931,0.008221702719955358,0.0,-0.012672868229621388,0.0,-0.025905742382562866,0.0,0.0,-0.019919889032653907,0.008228217448941139,-0.01317993275617607,-0.0018368551798103258,0.006217983684785429,0.0,0.0138993779056799,-0.04143258733355768,-0.006867999344880304,-0.0005988041238583095,-0.01899528022299054,0.0,-0.01584645499905538,0.0018564709275831622,0.0,-0.005328363300987299,-0.004976961321030431,-0.019099087383411654,0.00039827349375393903,-0.023489574173597393,-0.010133365927895386,0.0,0.0,0.0,-0.02376769167381251,0.007744266381231827,-0.033595050514271446,-0.04607250116682817,-0.008323185089283008,-0.032324475508056956,-0.04758172916456058,0.02535701593539413,-0.053025380653698724
ADAMTS16,0.0026777492223333085,0.0,0.005879092975466318,0.013493714158126547,0.004903213102099652,0.0050252917921005235,0.0,-0.06162010859012667,0.0,-0.005942308713842033,0.0018821811722543277,-0.016277423812180978,0.0,-0.021299858245689373,0.017093894627497386,0.0,0.0,0.028652828338161306,0.0313158976074222,0.0,0.0508426710600608,0.0,-0.027714186709736584,0.032814564628577236,0.0084432079334213,0.031214276590627678,0.002088945273717698,0.0,-0.0038231720621324434,0.01839578175020257,0.0005175609156594326,0.0,0.0,0.0,0.0,0.055714492766282375,0.0,0.015413096436534551,-0.04795598793095476,0.0,0.007836078024703949,0.0,0.0013551006124413788,0.011621335783141552,0.011551093551299602,0.04500146287691702,0.01694464281424005,0.0,0.010390846850091333,0.01167350994569994,0.0,0.0,-0.013506002650173503,0.054298439380106873,0.018319494320796555,0.0,-0.009321791414390513,-0.004480818300962618,0.03859332045942525,-0.001852684523508541,0.028957529916239816,0.01090073589451907,0.0028588492597038293,0.0,-0.00501065272883876,0.01280673996153809,0.0,-0.004221099681728925,0.0,0.015014101612631593,0.043409348520159936,0.0,0.0,0.0565957698772501,0.0016868802678958316,0.04214658525408948,0.01784439459411725,0.0,-0.017311457086910245,0.03280722713403463,0.0,0.0,-0.006316201421125615,0.0,-0.0012824025945630214,-0.03816285812174896,0.0,0.0,-0.01630134797866821,0.039794334600915464,-0.016163631502372287,-0.02330811349265597,0.053007468434463266,0.0,0.005735687470507126,0.0005467879289281199,-0.0003771823853232869,0.0,0.014395154175151819,0.0011354375632145945
