,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient
ACAN,-0.07836166307544562,-0.0833637759543851,-0.1016119819189485,-0.06806017486541036,-0.13899785825758254,0.0,0.0,0.01860200197484136,0.03154725492562587,-0.19343981698144505,0.0,0.0,-0.01879340435122032,0.0,-0.007861257536921481,-0.11448804582696079,0.0,-0.04883846767864371,-0.10122249760166455,0.04694587855403884,0.056356463031232665,-0.020599849373513314,0.007278462028560218,0.0,-0.020593169096388204,0.03229432791399127,-0.042116117437114645,0.023795917876741433,-0.0018028737983121247,-0.049221527277251514,0.0,-0.05828841770731442,-0.038934614992784944,0.012715892698693956,-0.023850877505872028,-0.0057992149820143574,-0.05044922707499097,-0.17159491216794184,0.06524116337404498,0.0,-0.15377749233439109,-0.033935646072433226,-0.15300404364068051,-0.1395333643611047,-0.03748608722160328,-0.0700244173133236,-0.04668337510261551,-0.14945421851524635,-0.10739144564039561,-0.03999791939389738,0.0,-0.04392075374260824,0.0,0.0,0.09977217454473089,0.012976896979782023,-0.08794356035323041,0.0,0.0,0.08672700576057739,-0.045472251053569245,0.0,-0.007730672989570412,0.15012211043988669,0.06394678882718928,0.0,-0.006892548266467783,0.0,0.08525036218439404,0.0,-0.01581798327590445,0.0,-0.005905563071330904,-0.010339509561139996,-0.07739033340198767,-0.1311747873641071,0.06214851443449613,-0.06391426971780065,-0.11264875270928223,-0.054120008299406004,0.07418252707259498,0.0,-0.04307692059953969,0.061628197643938044,-0.04955079209226328,0.0,0.0,0.0,-0.00432497214658843,-0.02890405553475712,0.08439398391150718,0.10844939877423973,-0.04700466734364753,-0.019737372529110883,0.0,0.0,-0.04094234044768858,-0.0049616276658496165,-0.15647886494822708,0.0739887754016792
ACE2,0.05257790137680403,0.0,0.0,0.15452957280145316,0.04232112441216862,0.059753846190017966,0.03452187429818794,0.014649772130666613,0.0,0.007401166669199478,0.154880823177914,0.1141034765444213,0.009702990088899615,0.030252264673009618,0.07729649138562678,0.014407898147097713,0.09207970820770645,0.036137049496999446,0.07662985085941768,0.04090430382246358,0.10336180898247106,-0.03606329802000341,0.041473906658384935,0.013419678044578767,0.048862399196013796,0.10406767544275466,0.0,0.1387206357556538,0.0,0.07561087660262289,0.05319953867388655,0.05409208095493529,0.010803767415860905,0.08294663213462848,0.13646773263463388,0.11953307242768728,0.1081872640173352,0.059182347249761715,0.0,0.04471561871873155,0.0,0.0,0.1459422660269497,0.10950647854125961,0.08030207530923807,0.0,0.06189302381059094,0.09114570716359925,0.03767568458394629,0.1194035975703318,0.03786515506104175,0.2598654716658241,0.015515069922824627,0.007843621803290294,0.03518777551850407,0.09660923954786643,0.0,0.025217719741282722,0.03388793996307286,0.16551538101107238,0.0544126002499337,0.007693367396437267,0.07246160657443258,0.03240032643598979,0.023527787442267505,0.09971442969175558,0.04790043935435278,0.004579842958805375,0.010844061280325014,0.11075114943449242,0.07377495734428739,0.0,0.021481935805278785,0.0017113109431043968,0.13814037390942474,0.0,0.11529891789447841,0.07925572932675533,0.0,0.16917349943337714,0.0822637767203013,0.12287387318227265,0.13433904563458854,0.12913229136628035,0.08026925474031393,0.05827235272544945,0.0720485041526607,0.0,0.08487589079688879,0.01188636104446112,0.0,0.17357448388649865,0.04809088054249458,0.09734316273928814,0.1342311699846512,0.12895114445785769,0.051292583006582744,0.0,0.1643679693604712,0.08453337895276633
ACOX1,0.0,0.04979703155050997,0.01689612601450547,-0.043388606886025256,0.0,-0.025930886390732252,-0.01653031270465499,0.04896877323447352,0.00016177159564048928,-0.06054476056296958,-0.0645851629229491,-0.09808627240782503,0.0,0.0,0.03779052435612677,0.05659938036525918,0.0,-0.02898203421211215,-0.0017202691262896254,0.03525521388788536,0.0,-0.06513583416305829,-0.06006964709320314,-0.003500384953194553,-0.10813642246834711,0.008922658600425917,-0.03449822826348217,0.07811409060926226,0.004115732456313241,0.0,0.0,0.05921005575619106,-0.023080046213950753,-0.08820261177350522,0.0,-0.09775751558443103,0.0,0.12314188829864776,-0.03441382847699018,0.041627467284403974,0.0,-0.045861973283751634,-0.04607789120611755,-0.059692242904077056,-0.060328312086858876,0.07991808647024899,-0.017490545195720658,-0.052707901929049075,0.02809152388784315,0.0,0.0,0.0,-0.0541446031379013,0.0,0.010090636268629737,-0.05177299404711118,0.07891215250080899,0.009303674469702445,0.034432404457085876,0.0,-0.10022376502372589,0.08365648820680141,-0.07636071076999291,-0.035959382932204145,-0.04232825339264967,0.0,-0.03093939871251998,-0.007018352147995415,0.0,-0.16097699585934,0.11622698640797482,-0.030552154096099512,0.012312977999985044,0.0013449238589264103,0.0,0.0,0.05828934824895063,-0.006780951382340868,0.1383832865174645,0.0,0.0,-0.015902185846621293,0.0,-0.0786020958659425,0.1287171047804144,0.021950631236051753,-0.003934762863800755,-0.02126366838297222,0.0,0.0,0.0,-0.023407539451401237,0.0,0.0,0.0,0.0,-0.01883579888743467,0.07019919054049552,0.07723045671440565,-0.02700691377973278
ACP5,0.0,0.0,0.032040689853752385,0.07928637714706636,0.06674602204637005,-0.05697904298151731,-0.03203428055116403,0.03054173214487787,-0.013246209303703321,0.15286183751527052,-0.10516568287599214,0.087493381071599,0.04638400900698356,0.0,-0.04197020915721721,0.02315285186840779,0.11623079757046613,-0.022804595246761407,0.02532728977767154,0.006446650268344939,0.0,0.0,-0.059401509464391614,-0.06263113220206268,0.13888966505066044,0.040455347870803,-0.05276306383577368,0.0,0.0,0.0,-0.0313609375067373,0.05945585535390896,0.0,0.0,0.0,0.07211475685835218,0.11208893273750536,0.0799873105314093,0.09411609613639806,0.08626123365084533,-0.04927847927095007,-0.04219619887805694,0.0,0.05740024029584693,0.0,0.0,0.011445955518326112,-0.01089591860182978,0.019730045861474102,0.11712639158841105,0.0,-0.013781823757049566,-0.009270387116227269,-0.009386332992006932,0.007251512714424697,0.0,-0.0370133015610131,0.03687891046485758,0.0,-0.008734725785685106,0.03862125245732113,0.014471321966879114,0.03414059559829324,0.0,-0.020283943776062775,0.0132636576155319,-0.05035307901831076,-0.09689099425993006,-0.029031817026781506,0.0,0.036056607760088275,0.018003008437958507,0.0232144053478026,0.03794012268926001,-0.002109414119869341,0.0,0.020184514902572177,0.007905154155227412,0.0693776222786997,0.0,0.0,0.007665795804300755,0.0117824502402205,0.0500711965032175,0.0,-0.01594223738225863,-0.00018183078395237325,0.007895952051409649,0.0,0.0,0.005911514003345518,-0.016766429136700026,0.10598716832246728,0.0,0.0,0.0,0.05912816267521965,0.0,0.0,-0.04074273215936684
ACTA2,0.01716002649845378,0.0,-0.02310621377673413,-0.08904463867240248,-0.025914981031538737,0.0,-0.03113637275123895,0.0,-0.10876244504938092,0.0664490100562727,0.01216241487745407,0.0,0.0,-0.0383630059231698,0.0,0.0,0.02932822408400459,0.0,0.0,-0.09451455113479239,-0.04458113821762908,-0.038959697447589425,0.04643924297852724,0.038361794633266964,-0.06253132872779266,0.014799619084379571,0.0,0.0008771384449283014,-0.012516128700183071,-0.01893786384751249,0.054118987311628876,-0.03709555049682295,0.01942479117675002,0.0,0.0,0.014726763707589827,-0.047079046422500576,0.0,-0.11831193302482657,0.0,-0.10616480406922518,-0.07003025649983324,0.0,-0.12081266634335422,-0.1195448215955691,-0.13096880382839882,0.0,0.08386008538550924,-0.04885850162822223,-0.06988013135863376,-0.020733628430706107,-0.035643986903928095,0.0,-0.10130611433976577,-0.013061999079148864,0.0,-0.0014949950519688318,0.0,-0.11823707862283951,0.0,0.0,0.0717039324194003,-0.09877040225538275,0.08352200244678402,-0.09438475634651265,0.0,-0.12020885010403129,0.018398747407491155,0.0,-0.08866530748711694,-0.014703988595206205,-0.1645334376152074,-0.04640834295411691,-0.07678197768181903,-0.013758681141168674,0.0,-0.08467655737520476,0.12383204524411355,0.0,-0.008671913154710739,-0.04726857450266583,0.054967389586081314,-0.014027828138577947,-0.1626770963410328,0.002435010619011493,0.0,0.0,-0.006650391615059454,0.02994431582510527,-0.07166862338533891,-0.03565852823494328,-0.08390054867097353,0.011720197083584261,-0.021805086159615544,0.040178203423869636,-0.060485998184175375,0.10453133747341344,-0.0606272212378026,0.020153638691316415,-0.058064106732611996
ACY1,-0.14158935217287416,0.0,0.015838252033603856,-0.26300588367594796,-0.019875099089296577,-0.0760947383498886,0.0,-0.1640911557348946,-0.2013762042977377,-0.19811485751392915,-0.17595589276801538,-0.11975736707453392,-0.09968776604056563,0.0,-0.11761587092905171,-0.04885538391333677,0.0,-0.12585254025845016,-0.30361652258044164,-0.020165995891393982,-0.05810292618572562,-0.34734896352911393,0.0,-0.1960297653854922,-0.17305381118721738,-0.20987175220154328,-0.28505608103877356,-0.19493119183233643,0.0,-0.25061068253822727,-0.18276511071430832,-0.0393463107454637,0.0,0.0,-0.13021626257863586,-0.17124105984387558,-0.0828082509572577,-0.014910333738617675,-0.16842644959595718,-0.05483082412772959,-0.14114875752142436,-0.04133036324107309,0.0,-0.015631244196664743,-0.318637039827257,-0.08067578530745974,-0.16269000648319148,-0.07072530062217625,-0.1528880672686235,-0.15621194059998667,-0.10826904711135302,-0.0927182146872337,-0.08472621711744481,-0.026715833818903526,-0.0255825990544483,-0.1507328146983523,-0.13141100194136876,-0.0766515743687438,-0.17672392088651964,0.0,-0.057905241686381274,-0.09714397531128309,-0.0482910255247308,-0.16263652282164084,-0.11212458509462984,-0.12197928630143917,-0.20152220899587903,-0.1774901780890308,-0.11814362706558666,-0.2634876691376013,-0.28008703159871684,-0.0459021468791781,-0.27933053517277634,-0.031205157160009076,-0.0655306064890363,-0.20031035967072777,-0.24713351400693426,-0.07414340760119514,0.0,-0.2603116604664595,-0.23458705755304735,-0.16379666259116402,-0.45846713173902925,0.0,-0.1547602216151366,-0.2923927717265254,-0.13592176966525146,0.0,-0.16408839868879782,0.0,0.0,-0.44690087291804026,-0.1813890705677544,-0.044806406741077526,-0.03540782862445987,-0.07776503596683895,-0.1829254991332339,-0.15451787617851662,-0.09667383920445818,-0.1832556906614562
ADA2,0.09592773069512328,0.102679640743955,0.06702247451835491,0.06813858237169239,0.0,0.11021892928418581,0.1130318577368349,0.0,0.23074854400946132,0.09746450636723189,0.01651098851392594,0.059468209294753126,0.09847324346152658,0.0438995115960921,0.06302260336066653,0.05290649839472676,0.0,0.04398443433092275,-0.030706054314145536,0.0,0.038124208106714526,0.0,0.131890687189421,0.1332151504354203,0.1045120749760287,0.02301156776379454,0.005576008681999993,0.014872788794449867,0.006846533384402585,0.0,0.0,0.012983138554327173,0.0,0.025073739201274314,0.0,0.0,0.15136434130673554,0.04552771160096851,0.06160096661464599,0.045908349052370935,-0.04884974535960673,0.04830346037049145,0.054372422196380506,0.1252612437542767,0.09647791138370979,0.0812163231674027,0.13298695469057897,0.0,0.0,0.11650026243165292,0.062463039852308895,0.28979508953247707,0.0931192960954234,0.06455530675646602,0.08666371946152798,0.0,0.0,0.015233333029723756,0.018009204901781702,0.0,0.06279192796168434,0.053135447828152396,0.06849037417348879,0.09507892198644748,-0.122676315256561,0.05045939836013048,0.0,0.11547739065000129,0.05136427534461006,0.0,0.0030625624782608207,0.0,0.07027040887733106,0.046361336462834704,0.0,0.0,0.0,0.07259263051679489,0.04914943262078068,0.026774200297406923,0.0,0.009371771853206479,0.08126954899973324,0.0,-0.0013988475667972085,0.0,0.0,0.016018642886396886,0.05361872373798998,0.09747497069129171,0.09464516095468346,0.1923587452314532,0.14958646426826733,0.09911610656256588,0.24799115456190324,0.003940159664902891,0.12590692788462673,0.14732560026378771,0.023215584889409703,0.017708042107642586
ADAM15,-0.05905126939217129,-0.049065948227439746,-0.033859849893229994,-0.056922613223267964,-0.05008124416698747,-0.1339020245810064,0.020866757206272527,-0.028091044162188564,-0.08566370488926693,-0.13710196502438,-0.11761313476074203,-0.04062772199962742,-0.06598099079722484,-0.07667894800203819,0.0,-0.0810372445694028,-0.08801868570820602,-0.023429010117414134,-0.04728245127436995,0.01579129440520748,-0.06103110887997089,0.0,-0.06657187354079246,-0.10937820433097402,-0.05354127543224171,-0.10371675377691633,-0.19272338367693234,-0.049011073522530535,-0.001875977379570279,-0.006938243281154748,-0.11857741321659766,0.0,-0.0516748530224657,-0.053398630260286066,-0.02710236558399466,-0.0828487775217424,-0.02437160926926479,-0.07060514234838539,-0.06098875181163909,0.0,-0.10655471342097189,-0.05501485306541552,0.0,0.0,-0.0861118571989093,-0.10263558446638926,0.10660394875359987,0.0,-0.08791842902891671,-0.04285229855022802,-0.005120772049496008,0.0,-0.10128657399731844,0.0,-0.07184589836340613,-0.04697677272623336,-0.010814004256709567,0.0,0.03419404948096351,-0.023989691856850216,-0.0836711502613275,-0.00590597116984165,0.0,-0.02209467873061984,0.0,0.0,-0.06747854591889496,0.0,-0.00961650612171421,-0.07213749994452526,-0.03421680900837094,0.0,0.05041985867665284,-0.1282327018001411,0.0,-0.07811108766092026,-0.10877175750345577,0.09395516757697316,-1.4831531907627794e-05,-0.09808530059829774,-0.07503991764757063,-0.10627378237252859,-0.14502668240093827,-0.1323038479061608,0.0,-0.02415982249651715,0.0,-0.07693887962538457,0.04168807350289177,-0.10691096317044171,-0.01087594550509702,-0.22024843016005743,-0.16317707664232303,-0.07343670530384429,-0.07927816606647228,0.0,-0.14746670657012528,-0.12851816735987576,-0.11325392251653923,-0.0849563651435733
ADAMTS13,-0.032566607971415674,-0.029457969445622553,-0.010734613573668023,-0.08839026358655631,0.0,-0.08378257549100716,0.0,0.06945240678367098,-0.03975523877765786,-0.010537314840055797,-0.10872897328164502,-0.001442989973134404,-0.05476719022279145,-0.07066273785421345,0.014910199927231289,0.015844963134969893,-0.030450121924922427,0.07319631858114599,0.004699738984954368,0.0,0.029648129755082395,-0.05041719966321493,0.0,-0.004652878770779041,-0.018098666246650023,-0.06488208390720619,0.028517566323540303,-0.026662005172876608,-0.05389288401399721,-0.0013961218654320318,-0.032812258415306744,-0.1260237457955563,0.0,0.020140996225456877,-0.06888445740463632,0.0,0.0,0.03520555769649785,0.016886513039244384,-0.02580002775534379,0.01685254026753431,0.03469050974065372,0.0,0.020959665759292725,0.0,-0.044245966274457,0.05354505407529823,-0.013279717868183872,-0.004352651853365829,-0.019721044657223807,0.0,0.016656703290358996,-0.08719390881786987,0.03910885431468778,-0.01889281038178716,-0.008017575586775868,0.0,-0.047386915897166836,-0.08333259090182575,0.0,0.0,0.09072101535832179,0.0,-0.03245310313567085,-0.0403170956901858,0.0,-0.03846809825769421,0.015209320385516943,0.047312367513857,-0.025582764279325113,0.0,0.03588644692794727,0.001481765275417679,0.01061165275010403,-0.15399364481264338,-0.029885983398810063,-0.14526116323846694,0.0017079168093775796,0.05821514320069687,-0.014714351906913843,0.0,0.0,-0.010152473566585923,-0.06141748395267057,-0.05784934033800116,0.0,-0.017955321705251114,-0.06746245366978883,-0.03111720384834433,0.016730874980551546,-0.024195336588352913,0.01418886726222488,-0.021769548278709146,-0.01678764837878855,0.0,0.0,-0.06286020642351613,-0.10472596155404636,0.0,0.0
ADAMTS16,0.07942057975487997,0.04591678087868173,0.00984798270161543,-0.0256773992241034,0.03780382669716854,-0.003275864845578238,-0.05347789374176627,-0.1578215792972701,-0.054871006059692855,0.03152183506712527,0.036502150870034236,-0.0024441717072958137,-0.08518226869613041,0.0,0.0,0.0,0.047746434385945176,-0.027306227699494128,0.04608329301676581,0.0,0.047290324425095766,0.0,-0.15151836508502978,0.10068647565430448,-0.011910238709910143,-0.00526642457474625,0.0895664189346765,-0.023884158202366054,0.0,0.03315558876931287,0.0,-0.023434145008609675,0.02984907636070924,0.019606256201489425,-0.07619732628389088,0.07084347555960406,0.05718718437334233,0.008679917808399325,-0.044312572699708334,0.0,-0.006067190386579353,0.06015451044286328,0.050204156640087406,0.04118763525979009,0.007453082945105933,0.12568289201143631,0.02698451911554973,-0.06198865818474772,0.0,-0.05923587537252052,0.0,0.0,0.018370744978548133,0.09336165907915434,0.052611658096796694,0.023277372957325924,0.0,0.04435543551560923,0.0,0.0,0.024021459946964367,0.0,0.051288307101563735,0.016710141353140483,0.02302911238838442,0.05714154580878158,0.0004223638122494375,-0.03783744926439897,0.018892419354586132,0.0,0.0,0.03438412715874566,-0.036847126576438904,0.03449797793981087,0.0012897988632130798,0.03589559578661598,0.0,-0.05567668912741707,-0.02576044895835585,0.0,0.0,0.007353746715600977,-0.09436771620506591,-0.08000596190551879,-0.15030710436106523,-0.09313608778152292,0.0,-0.029931473078686734,-0.026651602517989308,0.07071239658423216,0.018670808395976738,-0.004669437914424952,0.12093357002649391,-0.022509333814202555,0.004277767369969889,0.004183984752580178,0.0049744627216657305,-0.000679824020293554,0.025255522953229387,0.0
