,coefficient
AARSD1,0.0
ABHD14B,-0.0017543691347284356
ABL1,0.0
ACAA1,0.0
ACAN,0.001458813991138434
ACE2,0.0019501836922575255
ACOX1,-0.00011474935858174433
ACP5,0.0002792905020501247
ACP6,-0.0003318147794748292
ACTA2,0.0
ACTN4,-6.37645296526776e-05
ACVRL1,-0.0017670461382014665
ACY1,-0.0007904936490827285
ADA,0.0003093765354031115
ADA2,0.0022485169283410363
ADAM15,-0.0006594272938381222
ADAM22,-0.0005381944807881981
ADAM23,-0.0
ADAM8,3.97192770257843e-05
ADAMTS13,-0.0
ADAMTS15,0.00034838521692428235
ADAMTS16,0.0
ADAMTS8,-0.0020164353276181267
ADCYAP1R1,8.51328782517806e-05
ADGRB3,-0.0
ADGRE2,-0.0031302338115520483
ADGRE5,-0.0018316174312484551
ADGRG1,0.0
ADGRG2,0.0008780482001871314
ADH4,0.0
ADM,0.000595666728586169
AFP,-0.0001240778208238343
AGER,-0.0011339042447769247
AGR2,0.0011972476955250258
AGR3,9.075995373621134e-06
AGRN,-0.0
AGRP,-0.002937508634205852
AGXT,-0.0011527620282847674
AHCY,0.0
AHSP,0.0006794843320232888
AIF1,-0.00011210956942137223
AIFM1,-0.0008199589766075143
AK1,0.0
AKR1B1,0.0
AKR1C4,-0.00035761845596689676
AKT1S1,0.0
AKT3,-0.0
ALCAM,0.0010540550411328223
ALDH1A1,-0.000934615895887019
ALDH3A1,0.0009527155753544604
ALPP,0.0
AMBN,-2.343604440710064e-05
AMBP,0.0023954644531191814
AMFR,0.0
AMIGO2,-0.0012514557843711857
AMN,0.0006510486170004155
ANG,0.0
ANGPT1,0.0
ANGPT2,0.0
ANGPTL1,0.00025274214204674787
ANGPTL2,0.0
ANGPTL3,-0.0006880873007040605
ANGPTL4,-0.0006277281845659864
ANGPTL7,0.0006277584723338025
ANKRD54,-0.0
ANPEP,0.00012202238572133855
ANXA10,0.0035890239339311622
ANXA11,-0.0
ANXA3,-0.0
ANXA4,-0.0
ANXA5,-0.0
AOC1,0.00012403352719333278
AOC3,0.0
APBB1IP,-0.0
APEX1,-0.0
APLP1,0.0003339683897399984
APOH,0.0007701155409530711
APOM,-0.0003955496652537362
APP,-0.0
APRT,-0.0
AREG,0.001180991434241033
ARG1,-0.0
ARHGAP1,0.0
ARHGAP25,-0.0009876646788026277
ARHGEF12,0.0
ARID4B,-0.0
ARNT,0.000988617136001097
ARSA,-6.245905901570062e-05
ARSB,0.0
ART3,-0.002025985206026622
ARTN,0.0
ASAH2,0.0004680380330956879
ASGR1,0.00254713519932285
ATF2,-0.0
ATG4A,0.0
ATOX1,0.0014270758654848913
ATP5IF1,-0.0
ATP5PO,7.811701746587174e-05
ATP6AP2,0.0
ATP6V1D,5.014560502697469e-06
ATP6V1F,0.0
ATXN10,-0.0
AXIN1,0.001000834419773602
AXL,0.0
B4GALT1,0.0018412901771968659
B4GAT1,-0.00015300837841456357
BACH1,0.0
BAG3,0.0003846315153577316
BAG6,-2.029094407571189e-06
BAIAP2,-0.00010198641501202612
BAMBI,0.0007821276880877046
BANK1,0.0
BAX,-0.0
BCAM,0.0001555994944230923
BCAN,-0.0013467681235987026
BCL2L11,6.461357916080283e-05
BCR,0.0
BGN,-0.00012819031852839615
BID,-0.0009124904217553207
BIN2,-0.0
BIRC2,0.0
BLMH,3.259285699410325e-05
BLVRB,0.0
BMP4,-0.0
BMP6,-0.0010131527339725815
BOC,0.0
BPIFB1,0.0007714875482449229
BRK1,0.0008666492162352693
BSG,-1.4072053302933377e-05
BST1,0.0004799062498286596
BST2,0.003041581408836886
BTC,-0.0006797543368070561
BTN2A1,0.0006006095519036552
BTN3A2,0.0012490645673131073
C19ORF12,-0.0
C1QA,-1.8849917020035918e-05
C1QTNF1,-0.0007284339351917921
C2,-0.0003844111971265199
C2CD2L,4.945410388044447e-05
C4BPB,0.0003551486306199388
CA11,0.0004914107700985271
CA12,-0.00016081007736971936
CA13,-9.084781261081056e-05
CA14,-0.003206910919998985
CA2,0.0
CA3,0.0020270434616511753
CA4,0.00014314538459076463
CA5A,-0.0
CA6,-0.0
CA9,-0.0
CALB1,0.00032203471947413935
CALB2,0.0
CALCA,-0.002145160418874227
CALCOCO1,0.0
CAMKK1,0.0004113435813838668
CANT1,-0.00017609387261473627
CAPG,5.454889087114024e-05
CARHSP1,2.6679407747698046e-05
CASP1,-0.00012337051950496762
CASP10,-0.0
CASP2,0.0
CASP3,0.0
CASP8,-0.0
CBLIF,0.0003449250737906849
CBLN4,0.0007753968329584692
CC2D1A,0.0
CCDC80,-0.0
CCL11,0.0009800750486759786
CCL13,1.7494822765895205e-05
CCL14,0.0
CCL15,1.375352155016612e-05
CCL16,0.00021863845410151377
CCL17,0.0011493070514346309
CCL18,0.0008905606664930834
CCL19,0.0010102250165713526
CCL2,-0.0
CCL20,-0.0
CCL21,0.0018325260705781856
CCL22,0.0
CCL23,-0.001182068067534377
CCL24,-0.0003966269472926404
CCL25,-0.0
CCL26,0.00011156811075806444
CCL27,0.00043381937681142603
CCL28,0.0003399602412877255
CCL3,0.0003440255770610866
CCL4,-0.0
CCL5,1.4396499751350673e-05
CCL7,0.00020896038874683998
CCL8,-8.685445787345143e-05
CCN1,0.0009328575128708535
CCN2,0.00043197164313247156
CCN3,0.0008396976619836116
CCN4,0.00018818719268730267
CCN5,-0.0014421693340015555
CCS,0.0
CCT5,-0.0
CD109,0.00019896342727766274
CD14,-0.0005768579764100157
CD160,-0.0
CD163,0.0
CD164,0.0004424389787969241
CD177,-0.000369292265237846
CD1C,0.0
CD200,0.00015219280677929324
CD200R1,-0.0003954450348774531
CD207,0.0
CD209,-0.00151698653851322
CD22,0.0001415801868602262
CD244,-0.0
CD27,0.00052765748582307
CD274,-0.0
CD276,0.0010360502281412942
CD28,-0.0
CD2AP,-0.0
CD300C,-0.0
CD300E,0.00022465821523249993
CD300LF,0.0003354709779741346
CD300LG,0.0
CD302,0.002172125650346438
CD33,8.187054074704939e-05
CD34,0.0015899362138276562
CD38,-0.0016246627875488961
CD4,0.000298553412734993
CD40,0.0
CD40LG,0.0
CD46,-0.0
CD48,0.0003976495992664818
CD5,0.00032689850227779596
CD58,0.0
CD6,-0.0
CD63,-0.0013176595402706896
CD69,0.0
CD70,-0.0
CD74,0.0013936810430598438
CD79B,0.0
CD83,0.0
CD84,-0.0002707169220946032
CD8A,0.0002620449611804258
CD99,0.0003865937227773359
CD99L2,0.0007035103196937064
CDC27,-8.057871806575439e-05
CDC37,0.0
CDCP1,0.001788985364082343
CDH15,-0.001315800720984674
CDH17,-0.00011338706036403746
CDH2,8.875066026815556e-05
CDH3,-0.0036207410576719716
CDH5,-0.0
CDH6,0.0001281347473644164
CDHR1,0.0003183279289303847
CDHR2,-0.0019756629424297627
CDHR5,0.0006361431530655834
CDKN1A,-0.0
CDKN2D,0.0009217191705503644
CDNF,0.0016506490224299443
CDON,-9.716787777444104e-05
CDSN,0.0007675769664201455
CEACAM1,-0.0013214326128534162
CEACAM21,-0.0
CEACAM3,0.0
CEACAM5,0.0019339873569801393
CEACAM8,0.0
CEBPB,-0.0004779223022971931
CELA3A,-0.0013575176030093195
CEP164,0.0008235950210199805
CEP20,0.0005322825319281746
CEP43,0.00035231617261689927
CEP85,0.0
CERT,-0.0
CES1,-0.0
CES2,0.000644344238310135
CES3,-0.0009672737393161142
CETN2,-0.00045406102929085833
CFC1,0.0007935290487173608
CGA,0.0009131423835620118
CGREF1,0.00088075371181656
CHAC2,-0.000288588577128178
CHEK2,0.0004437024097933654
CHGB,-0.002536528980363503
CHIT1,-0.0003228653882937356
CHL1,-0.0
CHMP1A,-0.0
CHRDL1,-0.0004183751339932456
CHRDL2,-0.00018994452145541888
CIAPIN1,0.0
CKAP4,0.0
CKMT1A_CKMT1B,0.0008420031309429938
CLC,0.0020375777239652624
CLEC10A,4.898399508967265e-05
CLEC11A,0.0
CLEC14A,0.00022730164126780005
CLEC1A,-0.0013498447065791608
CLEC1B,0.0009981254431482558
CLEC4A,-0.00020884478827183455
CLEC4C,-0.0004187157668729901
CLEC4D,0.0006000838781449731
CLEC4G,-0.0002704049536033841
CLEC5A,-8.325902401543594e-05
CLEC6A,-0.0
CLEC7A,0.0
CLIP2,0.0
CLMP,0.0
CLPP,-0.00017607467241356143
CLPS,0.0001756053665158275
CLSPN,0.0
CLSTN1,-0.0007399209707020216
CLSTN2,-0.0
CLTA,0.00041797417016254355
CLUL1,-9.615794035881016e-06
CNDP1,-0.0012637843614341554
CNPY2,-0.0001142566781742177
CNPY4,-0.0
CNST,-0.0014942563964618536
CNTN1,-0.0023001567897799526
CNTN2,0.000540676786244598
CNTN3,-0.00010020745830144688
CNTN4,-1.5747081132486453e-07
CNTN5,-0.000986898180833361
CNTNAP2,0.0
COL18A1,0.0
COL1A1,-0.0013623907752054907
COL4A1,0.0003319107958031053
COL6A3,0.0012925656369015305
COL9A1,0.002232769224247426
COLEC12,0.003079042542455064
COMP,-0.0003318178290300576
COMT,0.0004652625633119413
COPE,-4.338342921522563e-05
COX5B,-0.0
CPA1,0.0
CPA2,-0.0
CPB1,0.0
CPE,-0.000621702665126878
CPM,0.0008700580151857318
CPPED1,0.00018344322127350322
CPVL,8.587318682441921e-05
CPXM1,-8.787078166650684e-05
CR2,0.0006614706625840494
CRACR2A,0.001188173042683556
CRADD,-0.0
CREG1,-0.0015865203928004288
CRELD2,-0.0
CRH,-6.808190551725627e-05
CRHBP,0.0
CRHR1,0.0
CRIM1,0.00128746208267856
CRIP2,0.0
CRISP2,-0.00036484263693948335
CRKL,-0.0
CRLF1,-0.0007959966526729984
CRTAC1,5.052575825323247e-05
CRTAM,2.571967686219208e-05
CRX,0.00024524345978372544
CSF1,0.0010553782331380243
CSF2RA,-0.0
CSF3,-0.0010257161907025454
CST3,-0.0
CST5,-0.0016088137799922973
CST7,-0.0
CTF1,0.0005671391269518501
CTRB1,0.0006277379251987371
CTRC,0.000102785999127243
CTSB,-0.001373245271531578
CTSC,-0.0
CTSF,0.0002170754631173654
CTSH,0.0
CTSL,0.0019412795407241497
CTSO,0.0013685026369017494
CTSV,0.0003254039304821193
CTSZ,-0.0
CX3CL1,-0.0
CXADR,0.00042866359849831446
CXCL1,-0.0
CXCL10,0.0
CXCL11,-0.0
CXCL12,0.0
CXCL13,-0.0010272732542121225
CXCL14,-0.0007221669971751707
CXCL16,0.0
CXCL17,0.0006124275157101195
CXCL3,-9.552481064473175e-05
CXCL5,0.0
CXCL6,0.0
CXCL8,-0.0004322808778289566
CXCL9,-0.0
DAB2,0.0
DAG1,0.0
DAPP1,0.0
DARS1,-0.0
DBI,0.0
DBNL,0.0
DCBLD2,0.0021363558358653725
DCN,0.0003051443845699347
DCTN1,0.00033480523207621196
DCTN2,0.0
DCTN6,0.0004243583875911204
DCTPP1,0.0
DCXR,-0.0022496912870450295
DDAH1,0.0
DDC,-0.000370281011721388
DDR1,-0.0002534618768884182
DDX58,-0.0
DECR1,0.0
DEFB4A_DEFB4B,0.0008897185508413933
DFFA,0.0
DGKZ,7.061671504553658e-05
DIABLO,0.0
DKK1,0.0
DKK3,0.0003993787750967285
DKK4,-0.001215044739380426
DKKL1,0.00012963781864698816
DLK1,-0.0019151088296660913
DLL1,0.0
DNAJA2,0.0
DNAJB1,0.0
DNAJB8,0.0
DNER,-0.0
DNMBP,0.0
DNPH1,-0.0
DOK2,-0.0
DPEP1,0.0
DPEP2,0.0
DPP10,-0.0
DPP4,-0.0018954827667128538
DPP6,0.0
DPP7,0.0
DPT,0.00045032650413233405
DPY30,0.0007919677921529172
DRAXIN,0.0007252036682618419
DRG2,-0.0
DSC2,0.0010449633350022639
DSG2,0.001675105362735095
DSG3,0.002121862662746033
DSG4,-0.0
DTX3,-0.0009320340250717334
DUOX2,-0.000276633317491211
DUSP3,-0.0
EBAG9,-0.0
EBI3_IL27,-0.00023255422524144406
ECE1,4.264206552972825e-05
EDA2R,-0.0002862656739743383
EDAR,-0.0008106409345932822
EDIL3,-5.883038634738146e-05
EFEMP1,0.0
EFNA1,0.0
EFNA4,0.0011507532224696994
EGF,0.0
EGFL7,0.0005312742304047566
EGFR,-0.0024593610146163825
EGLN1,-0.0006559474402055524
EIF4B,-0.0
EIF4EBP1,0.0002186075113709026
EIF4G1,-0.0
EIF5A,-0.00019039139067608568
ELOA,0.0
ENAH,-1.572068507193987e-05
ENG,0.0007599899852735527
ENO1,0.0
ENO2,0.00016069229929315757
ENPP2,-0.0019218974004675297
ENPP5,-0.00031547277627747727
ENTPD2,0.0
ENTPD5,0.00018564987318604736
ENTPD6,0.0
EPCAM,0.0004620309166181561
EPHA1,-0.0020613879421627125
EPHA10,0.00036123066500459066
EPHB4,0.0015491755917787994
EPHB6,-0.0
EPHX2,-0.0
EPO,0.0007398590800478317
EPS8L2,-0.0
ERBB2,0.0003500653424773759
ERBB3,1.6500748051348093e-05
ERBB4,0.0014350467638298981
ERBIN,-0.0
EREG,0.0
ERP44,-0.0006157844153429566
ESAM,0.0
ESM1,-0.00014003483110433255
EZR,6.941163424735208e-05
F11R,0.0
F2R,-0.0
F3,0.0
F7,-0.0
F9,-0.0
FABP1,0.0
FABP2,-0.0
FABP4,0.0
FABP5,0.0
FABP6,0.0005507789684402091
FABP9,-6.757468637619155e-05
FADD,0.0
FAM3B,0.0003567091266949964
FAM3C,-0.0
FAP,0.0
FAS,-0.00012649724590889065
FASLG,-2.5463067564655805e-05
FBP1,-0.00017317201463897927
FCAR,-4.13288821611566e-05
FCER2,0.002001292179413631
FCGR2A,0.0
FCGR2B,-0.00022909132373557693
FCGR3B,0.00052144086790657
FCN2,-0.00014217491677397372
FCRL1,0.0
FCRL2,-0.00037432376267362226
FCRL3,-0.0005095789470755124
FCRL5,-0.0
FCRL6,0.0
FCRLB,-2.4448562244173484e-05
FEN1,0.00042458039461028843
FES,0.0
FETUB,0.0007098604059523153
FGF19,-0.0
FGF2,0.0
FGF21,-0.00011969813222460215
FGF23,-0.0006635166850856862
FGF5,0.0004263285975343215
FGFBP1,0.00037672516233792566
FGFR2,0.0025452565396438323
FGR,0.00016386273704700042
FHIT,0.0
FIS1,0.0
FKBP1B,0.0
