,coefficient
ACAN,0.0024292582808063895
ACE2,0.00478442079184443
ACOX1,-0.0
ACP5,6.221846276035648e-05
ACTA2,0.0
ACY1,0.0005403676390535608
ADA2,0.0024293415872872802
ADAM15,-0.00013657053153025305
ADAMTS13,-7.744367772215795e-05
ADAMTS16,0.0
ADGRE5,-0.006486654600450678
ADGRG2,0.0020129381329658485
ADH4,-0.0010249573323425313
AGXT,0.0007641128174015438
AHCY,0.0002120273839710462
AK1,-0.0011233965018622788
AKR1C4,-0.0004606173566397708
ALCAM,0.005139353934150199
ANG,-0.0009612266179654344
ANGPTL1,0.0
ANGPTL3,-0.0006548430115676584
ANPEP,0.0012788791712900758
ANXA4,0.0
AOC3,0.0001239281749105223
APLP1,0.0
APOM,-0.0004962473716203489
ART3,-0.004897259538303014
AXL,0.0006570602789631183
BAG6,-0.0011644442229743878
BLMH,0.0005644953746819955
BMP6,-0.00298804355217183
BOC,-0.0
BPIFB1,0.0003560744548750235
C1QTNF1,-0.0002312657627650694
C2,-0.0006443314080596835
CA13,-4.031739606454983e-05
CA3,0.001485869029304811
CA4,0.0013280651781433
CA5A,-0.0004127174630292921
CANT1,-0.000611837575862238
CASP3,0.0
CBLIF,0.0011313704641778169
CCDC80,-0.0
CCL14,0.0011471453298902755
CCL15,0.0
CCL16,0.0004925829424525721
CCL18,0.001121232244781724
CCL27,0.00042853243317068636
CCL5,-0.0
CCN3,0.0014077629687162625
CD14,-0.00047813369523375674
CD163,0.0018584176361384928
CD209,-0.0013965133520188928
CD2AP,-0.00043497236434842783
CD46,0.0
CD69,0.0
CDH17,-0.0001225251916478614
CDH2,0.00030792760064897126
CDH5,0.00017304964929664075
CDH6,-0.00010375716299690322
CDHR5,0.00020033906705745278
CEACAM8,-0.0
CEBPB,-0.0015471319106215296
CELA3A,-0.0018034919924373597
CEP43,0.0001369375102622726
CES1,-0.0002627552520487553
CGREF1,0.0011846015278497038
CHEK2,0.00026657082002416163
CHIT1,-0.00026065031534399665
CHL1,-0.0003375911250921381
CHRDL2,-0.0027972329854111517
CLC,0.0022854246856481705
