,coef
ADA2,0.0033986001859534886
ADAMTS8,-0.0037613091959055704
ADGRE2,-0.006466978839579319
AMBP,0.0057648094579076225
ANXA10,0.003214279678907693
BST2,0.004234781972485032
CA14,-0.006603761484564114
COL9A1,0.004278120167654811
CTSL,0.0036747561279772386
DCBLD2,0.0046251896022808416
FGFR2,0.0057660840958140905
GDF15,0.004802486755893377
GZMB,-0.0034344622991731417
IGFBP3,-0.0031847847628341808
ITGAV,-0.004915322163766575
LEFTY2,-0.003900242526805214
LEP,0.009407715500900112
LGALS4,0.004722796960592122
MEPE,-0.004227296164916419
MLN,-0.0033560595143508425
NCS1,0.00506632718300121
ODAM,-0.0034671752987182106
PLA2G7,-0.004405672188931696
PLAUR,0.005299755672553456
PLTP,-0.0031726296174012444
PPY,-0.003169058765844453
PTPRF,-0.003881119075586453
REN,0.004454184374499758
SCGB1A1,-0.003730291610351039
SULT2A1,-0.003173152481277479
TNFSF13B,0.003659286516845575
TSHB,-0.0037276188901679535
