,coefficient
ACAN,0.0013304226240701325
ACE2,0.005001337852968627
ACOX1,-0.0003611431864159472
ACP5,0.0007374653483396133
ACTA2,0.000247141908613411
ACY1,-0.0012730431059129776
ADA2,0.0015404835866784665
ADAM15,-0.0004993794139219497
ADAMTS13,-0.0
ADAMTS16,-0.0
ADGRE5,-0.006391789373291281
ADGRG2,0.0009831595969672282
ADH4,-0.00047258245863899157
AGXT,-0.0
AHCY,3.264247345613911e-05
AK1,-0.0025064887045712666
AKR1C4,-0.0003827853474127188
ALCAM,0.004234558370153254
ANG,-0.0
ANGPTL1,0.0009007505218569454
ANGPTL3,-0.0013316678950362577
ANPEP,0.0020849427665901783
ANXA4,-0.001167208824507919
AOC3,0.00039547416776833415
APLP1,0.0005147615678554171
APOM,-0.0024727282033932007
ART3,-0.004597107306603808
AXL,0.0008104376108850365
BAG6,-0.000589287105428839
BLMH,0.0
BMP6,-0.002129532741370841
BOC,-0.0
BPIFB1,0.0012654791307517403
C1QTNF1,-0.0003360518662305206
C2,-0.0001361166774370025
CA13,-0.00045213123380450607
CA3,0.0020546873421323623
CA4,0.0011833680272417973
CA5A,-0.0
CANT1,-0.0
CASP3,0.0
CBLIF,0.0009215247089031378
CCDC80,-0.0
CCL14,0.0006747613257714631
CCL15,0.00010991079864034935
CCL16,0.0007336087119755468
CCL18,0.0007141635253856744
CCL27,0.00012101140033196696
CCL5,6.23815500167681e-05
CCN3,0.0008303171377987784
CD14,-0.0003063874200250933
CD163,0.0015399565085751923
CD209,-0.0015979889666107255
CD2AP,-0.0
CD46,0.0005064416062419237
CD69,0.0
CDH17,0.00020346842446934641
CDH2,0.0009305483621512016
CDH5,-0.0
CDH6,0.0
CDHR5,0.00043862521327424337
CEACAM8,-0.0
CEBPB,-0.0010927150101883057
CELA3A,-0.0013304061796325934
CEP43,0.0007567179539627328
CES1,-0.0
CGREF1,0.001380558875728676
CHEK2,0.0001985204628973224
CHIT1,-0.00032436212588411614
CHL1,-0.0004174461136238946
CHRDL2,-0.002976020607149957
CLC,0.0020816437886518446
CLEC1A,-0.0019613028236995364
CLEC5A,4.130003996146708e-05
CLTA,0.0003183734833668759
CLUL1,-0.00035195352994453683
CNDP1,-0.0014004179104151447
CNPY2,-0.00010382829045615362
CNST,-0.0006173112730151626
CNTN1,-0.002099384678113656
COL18A1,0.0
COL1A1,-0.0023081920637694157
COL4A1,0.00027169791749515374
COL6A3,0.0033397729145472742
COMP,-0.00026825375877033365
COMT,0.0010694899804193042
CPA1,0.00080735934927939
CPB1,-0.0014204147213017267
CR2,0.0011766264267531424
CRHR1,0.0
CRTAC1,0.0010262365581143512
CRX,0.00010748611123449456
CST3,-0.0
CTF1,0.00019264200207357157
CTSB,-0.0030223849703132355
CTSH,1.0067818823141243e-05
CTSL,0.0030343321072969706
CTSZ,-0.0
CXCL16,0.00045364929990852643
CXCL5,0.0
DCN,8.00578578331178e-05
DCTPP1,0.0006267690210841968
DDC,0.00033502898443223296
DIABLO,-0.0
DKK3,0.0003897631375503855
DLK1,-0.0026636035212653664
DNAJB8,0.0
DOK2,-0.0
DPP4,-0.002196553455647582
DPP7,0.0
DPT,0.0011151750194137635
DUOX2,-0.0006064670003584471
EDIL3,0.0006689152557458266
EFEMP1,0.0004016461795297195
EGFR,-0.003993918006825951
EIF4EBP1,-0.0
ENG,9.661929839098296e-05
ENPP2,-0.0038870077506198432
ENTPD5,0.0003176791172382399
ENTPD6,0.00011145766630652597
EPHB4,0.00254974640728007
EPHX2,0.0
ESAM,0.0
F7,0.00016936954623579577
F9,0.0004827893521569007
FABP2,-0.0004897510076858482
FABP4,0.002740185009736141
FABP6,0.0003986868137985727
FADD,-0.0
FAM3C,-0.0
FAP,-0.0020757090892778926
FAS,-0.0005996631397277646
FBP1,-0.00019780188964038672
FCGR2A,-0.0
FCGR3B,0.00018099672646398153
FCN2,-0.00010891941868845125
FCRL1,-0.00022715119958351351
FETUB,0.0017291769645789046
FUCA1,0.0002728405623864734
GAS6,0.0
GDF15,0.005833917339532019
GDF2,-0.0015609022082663361
GGH,0.0008939179541424117
GH1,-0.0
