,coefficient
ACAN,0.0
ACE2,0.03144295448954831
ACOX1,-0.03778785185125955
ACP5,0.0
ACTA2,-0.016081102061976747
ACY1,-0.10456420915431379
ADA2,0.06877565717969725
ADAM15,-0.03030950300719231
ADAMTS13,-0.009102994764113545
ADAMTS16,0.0
ADGRE5,-0.08925339764527389
ADGRG2,-0.10066324094113596
ADH4,-0.007209169418134757
AGXT,0.03446449691326094
AHCY,0.0
AK1,-0.002062037103502066
AKR1C4,0.0
ALCAM,0.08214117234238584
ANG,0.012997776160614672
ANGPTL1,0.0036793804426110506
ANGPTL3,-0.0367735504167385
ANPEP,0.07218636977917996
ANXA4,0.009352079982034925
AOC3,0.0
APLP1,-0.01170232287714098
APOM,0.028305187116103997
ART3,-0.0691709424025486
AXL,-0.024422087840985592
BAG6,0.0
BLMH,-0.020479811988653566
BMP6,-0.02452876042757115
BOC,0.06714123067874246
BPIFB1,0.0011354449792050092
C1QTNF1,0.0
C2,-0.04154510100327033
CA13,0.0
CA3,0.032897870111500756
CA4,0.01729276761372265
CA5A,0.0
CANT1,0.0
CASP3,0.0
CBLIF,-0.009747898041262804
CCDC80,-0.0032348278663428633
CCL14,0.0
CCL15,0.04981357391908872
CCL16,0.0036789761187919186
CCL18,0.0
CCL27,-0.03714546262764927
CCL5,0.02524213625428916
CCN3,0.0
CD14,0.0
CD163,-0.01845421983901878
CD209,-0.030370894937544878
CD2AP,-0.022280716737847518
CD46,0.0
CD69,0.0
CDH17,0.0
CDH2,-0.056380750768535715
CDH5,0.0
CDH6,0.0
CDHR5,0.0
CEACAM8,0.0
CEBPB,-0.0075972654461928645
CELA3A,0.0
CEP43,-0.012098132237929812
CES1,-0.009341503964521308
CGREF1,0.0
CHEK2,0.03512744960453433
CHIT1,-0.033548958681092894
CHL1,0.012492200427731179
CHRDL2,0.044922876986495955
CLC,-0.05364095109479259
CLEC1A,0.03469234193522839
CLEC5A,0.0
CLTA,-0.026044703456753124
CLUL1,0.007669886005152786
CNDP1,-0.04306259248563409
CNPY2,0.0036107448281392706
CNST,-0.053350835316418724
CNTN1,-0.05502480108904567
COL18A1,0.0
COL1A1,-0.02770839066889011
COL4A1,0.03636285359084162
COL6A3,0.14986942254950122
COMP,0.0
COMT,0.01990056669740258
CPA1,-0.0016454934482553515
CPB1,0.0
CR2,0.0
CRHR1,-0.019080611744104702
CRTAC1,-0.10679105572436967
CRX,0.0
CST3,0.0
CTF1,0.0
CTSB,-0.027730028357822217
CTSH,0.010491858653733855
CTSL,0.029811106866626094
CTSZ,-0.02870375260830429
CXCL16,0.011530329417649842
CXCL5,0.0
DCN,-0.09420867720375753
DCTPP1,0.0
DDC,-0.0188760288549875
DIABLO,0.0
DKK3,-0.017489949019560868
