,coef
ADAM22,-0.10398974565942691
AREG,0.1241335059854584
BOC,0.1382816456622811
CCL27,-0.1101081304243605
CEACAM5,0.13705183068720272
CHRDL2,0.12101546809918548
CRTAC1,-0.15259966224299595
DCN,-0.08100912013977055
DPP6,-0.11052535657776173
GCNT1,-0.04477579006280671
GDF15,0.17383435163981356
GFRA3,-0.08213809642217512
IL6,0.09472569024001345
ITGAV,-0.17678527560386756
LYPD3,0.09128263160356824
NADK,-0.07841428115711711
NEFL,0.1843348442120417
OMD,-0.10801315867047721
PROK1,0.09663627419558161
SCGB1A1,-0.11483286858690835
SPON1,0.13916542965847453
SPP1,0.17865515448528713
TNFRSF6B,0.11928337028465842
