,coef
ACY1,-0.18188508297625597
ADGRG2,-0.17067270535610393
AGXT,0.07177088544106994
ANPEP,0.11441652079453062
COL4A1,0.08026841647777302
COL6A3,0.35205871146254747
CRTAC1,-0.12264871252805327
DCN,-0.11775792721502487
DPT,-0.10074497734321747
ENG,0.0654956823560119
GDF15,0.20245330346478801
GP2,0.0760453167200061
IGFBP6,-0.22579740811884502
IL6R,-0.06917426368192364
LRP11,0.07148169805394676
REN,0.0968979898621313
TFF3,0.1250719255257914
XG,-0.1711883279749662
Omega_3,-0.1708468695983825
GlycA,0.12670715212225295
S_HDL_PL,-0.060125508235696186
