,coefficient
AARSD1,0.0
ABHD14B,0.0
ABL1,0.0
ACAA1,0.0
ACAN,0.0
ACE2,0.0
ACOX1,-0.015555133174390036
ACP5,0.013493370118481791
ACP6,-0.004656827396893558
ACTA2,0.0
ACTN4,0.0
ACVRL1,0.0
ACY1,-0.06193165359453457
ADA,0.0019453689808162815
ADA2,0.07154558499006264
ADAM15,-0.016865458093091725
ADAM22,-0.026091659158488236
ADAM23,0.0
ADAM8,0.0
ADAMTS13,0.0
ADAMTS15,0.013868144870687436
ADAMTS16,0.013167546380994419
ADAMTS8,0.0
ADCYAP1R1,0.0
ADGRB3,0.006049817318773353
ADGRE2,-0.018302326057541105
ADGRE5,0.0
ADGRG1,-0.031999106370087536
ADGRG2,-0.00021372250143994557
ADH4,0.0
ADM,0.01889448169647437
AFP,-0.014967314596395774
AGER,-0.082765025484603
AGR2,0.002218146815854509
AGR3,0.0
AGRN,0.0
AGRP,0.02159340454091369
AGXT,0.04121203102466191
AHCY,0.0
AHSP,-0.011076512840753058
AIF1,0.0
AIFM1,0.0
AK1,0.0
AKR1B1,0.0
AKR1C4,0.0
AKT1S1,0.0
AKT3,-0.031040806362599493
ALCAM,0.03328582728956583
ALDH1A1,0.0
ALDH3A1,0.03228181492062124
ALPP,0.0
AMBN,-0.0003494015746021209
AMBP,0.0022621520052380694
AMFR,0.0
AMIGO2,0.006377484281775694
AMN,0.00853117982108794
ANG,0.0023459600345296806
ANGPT1,0.0
ANGPT2,0.036869164860866444
ANGPTL1,0.005838687680610529
ANGPTL2,0.0
ANGPTL3,-0.007305643077689174
ANGPTL4,0.0
ANGPTL7,0.0
ANKRD54,0.0
ANPEP,0.0
ANXA10,0.0
ANXA11,0.0
ANXA3,0.0
ANXA4,0.0
ANXA5,0.0
AOC1,0.0
AOC3,0.02880229715349477
APBB1IP,0.0
APEX1,0.006300598701338486
APLP1,0.0
APOH,-0.010307961851336046
APOM,0.022684527512859102
APP,0.0
APRT,0.0
AREG,0.05339178841119658
ARG1,-0.0024124932265880733
ARHGAP1,0.0
ARHGAP25,0.0
ARHGEF12,0.0
ARID4B,0.0
ARNT,0.0
ARSA,0.0
ARSB,0.0
ART3,-0.03655446279589152
ARTN,0.016186669165228654
ASAH2,0.010577601423336873
ASGR1,0.0
ATF2,0.0
ATG4A,0.0
ATOX1,0.019634588032114587
ATP5IF1,0.0
ATP5PO,0.0
ATP6AP2,0.012780390892127175
ATP6V1D,-0.01118786850678331
ATP6V1F,0.0
ATXN10,0.0
AXIN1,0.0
AXL,0.0
B4GALT1,0.008967587867012097
B4GAT1,-0.010441687773896128
BACH1,0.0
BAG3,0.0
BAG6,-0.012385529177174523
BAIAP2,0.03778028003897674
BAMBI,0.0
BANK1,0.0
BAX,0.0
BCAM,0.0065131727147709996
BCAN,0.0
BCL2L11,0.0
BCR,0.0
BGN,0.0
BID,0.0
BIN2,0.0
BIRC2,0.0
BLMH,0.0
BLVRB,0.0
BMP4,0.0
BMP6,-0.009738228338634029
BOC,0.05858581017618092
BPIFB1,0.0
BRK1,0.035083448784402886
BSG,0.0
BST1,0.007759591193094281
BST2,0.02068231083614071
BTC,0.0
BTN2A1,0.0
BTN3A2,0.0009375599458322729
C19ORF12,0.0
C1QA,-0.0026322210908349512
C1QTNF1,0.0
C2,0.0
C2CD2L,-0.006920540044260467
C4BPB,-0.03824148796652459
CA11,0.0
CA12,0.0
CA13,0.0
CA14,0.0
CA2,0.0
CA3,0.027226775247350322
CA4,0.0
CA5A,0.006664387828462135
CA6,-0.0036259011891219828
CA9,0.0006937843726744934
CALB1,-0.030582806729950302
CALB2,0.008794663883870384
CALCA,0.025220410709534465
CALCOCO1,0.0
CAMKK1,0.0
CANT1,0.0
CAPG,0.003705117660850517
CARHSP1,0.0
CASP1,0.0
CASP10,0.0
CASP2,0.0
CASP3,0.0
CASP8,0.0
CBLIF,-0.002725055894756205
CBLN4,0.040413281796305746
CC2D1A,0.0
CCDC80,-0.013832851117813042
CCL11,-0.0028865146153491217
CCL13,0.0
CCL14,0.018847642239684437
CCL15,0.039280598956710114
CCL16,0.0
CCL17,0.006660928852081444
CCL18,0.0
CCL19,0.0
CCL2,-0.032055903721398084
CCL20,-0.01999325425537544
CCL21,0.02667171616886016
CCL22,0.05358000988718528
CCL23,0.0
CCL24,0.0
CCL25,0.0
CCL26,0.0053806675273919075
CCL27,-0.05588732424429411
CCL28,-0.023169543391795708
CCL3,0.0
CCL4,0.0
CCL5,0.0
CCL7,0.0
CCL8,0.0
CCN1,0.0
CCN2,0.0
CCN3,0.0
CCN4,0.005354093708735385
CCN5,0.0
CCS,0.0
CCT5,0.004046586365135016
CD109,-0.008389687789525648
CD14,0.0
CD160,0.008795987486131387
CD163,0.0
CD164,0.0
CD177,0.0
CD1C,0.046222314270929654
CD200,0.00998028361584094
CD200R1,0.0
CD207,-0.002753365790193644
CD209,-0.013605709810611656
CD22,0.0
CD244,0.034903302439871435
CD27,-0.02425115996160649
CD274,0.010832842321782317
CD276,0.0
CD28,0.0
CD2AP,0.0
CD300C,0.0
CD300E,-0.004617018062514679
CD300LF,0.004165442190126976
CD300LG,0.0
CD302,0.009023586874142725
CD33,0.00455603506401019
CD34,0.002982720201909544
CD38,-0.025976759975237948
CD4,0.0
CD40,0.0
CD40LG,0.0
CD46,0.0
CD48,0.0
CD5,0.0
CD58,0.0
CD6,0.0
CD63,-0.014156899227513044
CD69,0.0
CD70,0.0
CD74,0.0
CD79B,0.05102553599676938
CD83,0.0
CD84,-0.012973811767890758
CD8A,0.0
CD99,0.0
CD99L2,0.012038838640514608
CDC27,-0.0005177007407199277
CDC37,0.0
CDCP1,-0.03694599132404212
CDH15,-0.0070408365263387816
CDH17,0.0
CDH2,-0.00880511473735536
CDH3,0.0014009859629199827
CDH5,0.0
CDH6,0.0
CDHR1,-0.001253998560260996
CDHR2,-0.07664010896074513
CDHR5,0.0
CDKN1A,0.0
CDKN2D,0.0
CDNF,0.0
CDON,0.04098715143446272
CDSN,0.0
CEACAM1,-0.022629938049044285
CEACAM21,0.004047215455371505
CEACAM3,0.0
CEACAM5,0.0853947820361325
CEACAM8,0.0
CEBPB,0.0
CELA3A,0.0
CEP164,0.0
CEP20,0.0
CEP43,0.0
CEP85,0.0
CERT,0.0
CES1,0.0
CES2,0.0
CES3,0.0
CETN2,0.0
CFC1,0.0
CGA,0.0
CGREF1,0.014123375171359654
CHAC2,0.0
CHEK2,0.02076393190034298
CHGB,-0.02082657101614087
CHIT1,-0.006293458677505606
CHL1,0.0
CHMP1A,0.0
CHRDL1,0.0
CHRDL2,0.02653711158319752
CIAPIN1,0.0
CKAP4,0.030557212050879367
CKMT1A_CKMT1B,-0.004728417758870992
CLC,-0.01745890910437996
CLEC10A,0.0
CLEC11A,-0.007044722197372606
CLEC14A,0.025453806082508197
CLEC1A,0.0
CLEC1B,0.0
CLEC4A,0.0
CLEC4C,-0.0005873204256779104
CLEC4D,0.026488588806069833
CLEC4G,0.0
CLEC5A,-0.012937555629036321
CLEC6A,0.0032487934071221015
CLEC7A,-0.0014539989442700597
CLIP2,0.0
CLMP,0.0
CLPP,-0.008243390730201946
CLPS,0.00517681886256462
CLSPN,0.0
CLSTN1,0.0
CLSTN2,0.005213111244300355
CLTA,0.0
CLUL1,0.0
CNDP1,-0.02414250969823334
CNPY2,0.0
CNPY4,0.0
CNST,0.0
CNTN1,-0.055463321750874296
CNTN2,0.0
CNTN3,0.0
CNTN4,-0.013597530638225823
CNTN5,-0.012291231470096205
CNTNAP2,0.008468511420061149
COL18A1,-0.00021093446326765782
COL1A1,-0.01854581324944193
COL4A1,0.047311557655202556
COL6A3,0.0007129252212747423
COL9A1,0.00018718442515372808
COLEC12,0.0
COMP,-0.02937622434269664
COMT,0.017338040695588017
COPE,-0.008027463879103459
COX5B,0.0
CPA1,0.0
CPA2,-0.012920778001942898
CPB1,0.0
CPE,-0.023675731930653452
CPM,0.02072360901847775
CPPED1,0.014106271210479146
CPVL,0.003693142286779062
CPXM1,0.0
CR2,0.0002908762460966916
CRACR2A,0.0
CRADD,0.0
CREG1,0.0
CRELD2,0.0
CRH,-0.02317058411254132
CRHBP,-0.027331594472428136
CRHR1,0.0
CRIM1,0.0
CRIP2,0.014681504283423302
CRISP2,0.0
CRKL,0.0
CRLF1,0.0
CRTAC1,-0.1091546669286695
CRTAM,0.0
CRX,0.0
CSF1,0.0
CSF2RA,0.006584332865773036
CSF3,0.0
CST3,0.0
CST5,-0.01596867423659991
CST7,-0.0006328944126479067
CTF1,0.0
CTRB1,-0.012757194145563831
CTRC,0.0
CTSB,0.0
CTSC,0.0
CTSF,-0.045148000515792944
CTSH,0.0
CTSL,0.0
CTSO,0.0
CTSV,0.0
CTSZ,0.0
CX3CL1,-0.00033436489975118705
CXADR,0.0
CXCL1,0.0
CXCL10,0.0
CXCL11,0.0
CXCL12,0.004771929030903357
CXCL13,0.012144772309330728
CXCL14,-0.02301147651148349
CXCL16,0.007793448465796924
CXCL17,-0.08263162492896038
CXCL3,0.0
CXCL5,0.0
CXCL6,0.0
CXCL8,0.00802994734330428
CXCL9,0.0
DAB2,0.0
DAG1,0.0
DAPP1,0.0
DARS1,0.0
DBI,0.0
DBNL,0.0
DCBLD2,0.0
DCN,-0.045312102591622765
DCTN1,0.0
DCTN2,0.05589795780114467
DCTN6,0.0
DCTPP1,0.0
DCXR,-0.05282991588133106
DDAH1,0.0
DDC,-0.03150773535203826
DDR1,-0.008264406601836367
DDX58,-0.029127275268979163
DECR1,0.0
DEFB4A_DEFB4B,0.0
DFFA,0.0
DGKZ,0.0
DIABLO,0.0
DKK1,0.0
DKK3,0.0
DKK4,-0.026109452465910475
DKKL1,0.0
DLK1,-0.051010272069398635
DLL1,0.0
DNAJA2,0.0
DNAJB1,-0.004182276040824576
DNAJB8,-0.0010237288161542674
DNER,0.010964505084459944
DNMBP,-0.02055111236711911
