,coefficient
ACAN,-0.0036487594873170943
ACE2,0.036655986713227735
ACOX1,-0.0048093535394540315
ACP5,0.0
ACTA2,0.0
ACY1,-0.07358103510601113
ADA2,0.04686465175342787
ADAM15,-0.028649299441060226
ADAMTS13,0.0
ADAMTS16,0.0
ADGRE5,-0.09515710123228939
ADGRG2,-0.04575766867566744
ADH4,-0.022555161494808892
AGXT,0.03387583881653265
AHCY,0.0
AK1,0.0
AKR1C4,0.0
ALCAM,0.06054865696255401
ANG,0.03700609813178037
ANGPTL1,0.004196613637720063
ANGPTL3,-0.014479709160765481
ANPEP,0.04508478803809486
ANXA4,0.0
AOC3,0.02580964649094553
APLP1,-0.03930481539555692
APOM,0.05499272749212368
ART3,-0.057350660884118096
AXL,-0.01447977980068622
BAG6,-0.003186545344077854
BLMH,-0.008261716265657236
BMP6,-0.03164896954318369
BOC,0.09180490987858599
BPIFB1,0.038578334697133156
C1QTNF1,0.0
C2,-0.0018473867684874108
CA13,0.0
CA3,0.02518584058223224
CA4,0.0029318777243445963
CA5A,0.01005499152575759
CANT1,0.0
CASP3,0.0
CBLIF,-0.014698237164482
CCDC80,-0.011362475813451341
CCL14,0.0034919208948860263
CCL15,0.0354667545685997
CCL16,0.0
CCL18,0.0
CCL27,-0.07414536348553066
CCL5,0.01883886118547935
CCN3,0.0
CD14,0.0
CD163,0.0
CD209,-0.01877179601848781
CD2AP,-0.026566666660184604
CD46,0.0
CD69,0.0
CDH17,0.0
CDH2,-0.050760172307562634
CDH5,0.0
CDH6,-0.007689160418403676
CDHR5,-0.007347455232208503
CEACAM8,0.0
CEBPB,-0.0018132261046639835
CELA3A,0.0
CEP43,-0.0018340924688756578
CES1,0.0
CGREF1,0.0
CHEK2,0.009267485653404756
CHIT1,-0.010518728790798512
CHL1,0.0
CHRDL2,0.06996854066415596
CLC,-0.02707027258678559
CLEC1A,0.008050475179322676
CLEC5A,0.0
CLTA,0.0
CLUL1,-0.003974490711349045
CNDP1,-0.033291101769627046
CNPY2,0.0
CNST,-0.022175790874458107
CNTN1,-0.08251797305661127
COL18A1,-0.006799845161743682
COL1A1,-0.034091558859024415
COL4A1,0.05880411333847672
COL6A3,0.118783175138834
COMP,-0.007218025346799201
COMT,0.00920514063969142
CPA1,0.0
CPB1,0.0
CR2,0.0013485639417524277
CRHR1,-0.0011591221426754013
CRTAC1,-0.12187183264149107
CRX,-0.0032477766270659486
CST3,0.0
CTF1,-0.0011441793232201969
CTSB,0.0
CTSH,0.0
CTSL,0.01419808366324127
CTSZ,-0.008850411014753146
CXCL16,0.03122480509543344
CXCL5,0.0
DCN,-0.04961753580702598
DCTPP1,0.0
DDC,-0.047069486120678725
DIABLO,0.0
DKK3,-0.0170529967651363
DLK1,-0.06558528869336787
DNAJB8,-0.0021512334353633944
DOK2,0.012761910904703327
DPP4,-0.040697182450641876
DPP7,0.0
DPT,-0.015334378989774316
DUOX2,0.008331146105896218
EDIL3,0.0209483049837541
EFEMP1,-0.09142217977484504
EGFR,0.0
EIF4EBP1,-0.005332548561766647
ENG,0.0
ENPP2,-0.01353201232051113
ENTPD5,0.028669280966984765
ENTPD6,0.0
EPHB4,0.010058085286989794
EPHX2,0.0
ESAM,0.0
F7,-0.01228969849906314
F9,0.0
FABP2,0.0
FABP4,0.0
FABP6,0.0
FADD,0.0
FAM3C,-0.004999213179958455
FAP,-0.03695061309439128
FAS,0.0
FBP1,0.0
FCGR2A,0.009091791220261656
FCGR3B,0.0
FCN2,0.0
FCRL1,-0.010722511523153965
FETUB,0.012578235914323879
FUCA1,0.0
GAS6,0.04275227897715848
GDF15,0.1053694521359417
GDF2,-0.013459780860121763
GGH,0.0
GH1,0.0
GHRL,0.0
GLO1,0.030225485589254673
GLRX,0.0
GP1BA,0.0
GP2,0.04968763924546502
GPR37,0.03174572675368191
GRAP2,0.0
GRK5,0.006364747241745656
GSTA1,0.0
GUSB,0.0
GYS1,0.0
GZMH,-0.007860722572961441
HEBP1,-0.020930190780347843
HK2,0.0
HMOX1,-0.020983678459320077
HNRNPK,0.0
HSPB1,0.0
HSPG2,0.0
HYAL1,0.0
HYOU1,0.054928054049122176
ICAM1,0.03547760461067902
ICAM2,-0.013087360691303222
ICAM3,0.06746609659763973
ICAM5,0.05860006169437139
IGFBP1,0.0368953751060178
IGFBP2,0.0
IGFBP3,-0.04395326355063268
IGFBP6,-0.06708691261232529
IGFBP7,0.05507689761748629
IGFBPL1,0.0013765902587056483
IGSF8,0.0
