,coefficient
BOC,0.11439118033501479
BPIFB1,0.12164771850440478
CCL27,-0.07467210021238439
CHRDL2,0.08829967052257486
CNTN1,-0.08433090530321105
COL1A1,-0.06871227890318796
COL6A3,0.21965660594316602
CRTAC1,-0.14673495039463946
DCN,-0.0665741264320122
DLK1,-0.14765101522492385
DPT,-0.0618901445132991
GDF15,0.269662200629724
ICAM1,0.12253369737831324
ITGB2,-0.13404512702245103
KITLG,-0.09994142117172887
PCSK9,0.05919763539780693
REN,0.10758725862081485
SPARCL1,-0.047931594357134476
SPP1,0.1723264370158389
XG,-0.07228794358505553
